7:1|The high priest asked, “Are these things true?”|Preserves the judicial speaker and direct question.
11:21|The Lord’s hand was with them, and a great number believed and turned to the Lord.|Keeps divine-hand image, large response, belief, and turning.
11:22|News of this reached the church in Jerusalem, and they sent Barnabas as far as Antioch.|Preserves report, sending community, named emissary, and destination.
11:23|When he arrived and saw God’s grace, he rejoiced and encouraged everyone to remain devoted to the Lord with steadfast hearts.|Keeps sight of grace, joy, inclusive exhortation, and heart purpose.
11:24|Barnabas was a good man, full of the Holy Spirit and faith, and a large crowd was added to the Lord.|Names Barnabas for clarity and retains character, Spirit, faith, and growth.
11:25|Then Barnabas went to Tarsus to look for Saul,|Keeps searcher, destination, and purpose.
11:26|and when he found him, he brought him to Antioch. For a whole year they met with the church and taught a large crowd. It was in Antioch that the disciples were first called Christians.|Preserves finding, movement, exact year, teaching, crowd, location, and first naming.
11:27|During those days prophets came down from Jerusalem to Antioch.|Keeps time, prophetic role, and route.
11:28|One of them, named Agabus, stood up and indicated through the Spirit that a severe famine would come over the whole inhabited world. This happened during the reign of Claudius.|Preserves name, Spirit agency, famine severity and scope, and imperial timing.
11:29|So each of the disciples, according to their means, decided to send relief to the brothers and sisters living in Judea.|Keeps individual ability, deliberate aid, inclusive community, and destination.
11:30|They did this, sending their gift to the elders through Barnabas and Saul.|Preserves completed action, recipients, and named carriers.
12:1|About that time King Herod began to mistreat some who belonged to the church.|Keeps time, royal title, deliberate harm, and victims.
12:2|He had James, the brother of John, killed with the sword.|Preserves Herod’s agency, kinship, death, and weapon.
12:3|When he saw that this pleased some Jewish leaders, he went on to arrest Peter as well. This happened during the Festival of Unleavened Bread.|Avoids blaming an entire people while retaining political calculation, arrest, and festival.
12:4|After arresting Peter, he put him in prison and assigned four squads of four soldiers each to guard him. Herod intended to bring him out before the people after Passover.|Keeps prisoner, four-by-four guard detail, Herod’s purpose, audience, and timing.
12:5|So Peter was kept in prison, but the church was praying fervently to God for him.|Preserves imprisonment, contrast, communal prayer, intensity, and beneficiary.
12:6|On the night before Herod was to bring him out, Peter was sleeping between two soldiers, bound with two chains, while guards in front of the door watched the prison.|Keeps timing, two soldiers, two chains, door guards, and confinement.
12:7|Suddenly an angel of the Lord appeared, and a light shone in the cell. The angel struck Peter on the side and woke him, saying, “Get up quickly!” The chains fell from his hands.|Preserves sudden appearance, light, forceful waking, urgent command, and falling chains.
12:8|The angel told him, “Get dressed and put on your sandals.” Peter did so. Then the angel said, “Wrap your cloak around you and follow me.”|Keeps embodied commands, compliance, clothing, and movement.
12:9|Peter went out and followed him. He did not realize that what the angel was doing was real; he thought he was seeing a vision.|Preserves movement and Peter’s mistaken perception.
12:10|They passed the first and second guard posts and came to the iron gate leading into the city. It opened for them by itself, and they went out and walked the length of one street. Suddenly the angel left him.|Keeps guard sequence, iron gate, automatic opening, one street, and departure.
12:11|Then Peter came to himself and said, “Now I know for certain that the Lord sent his angel and rescued me from Herod’s power and from everything the Jewish people were expecting.”|Preserves realization, certainty, divine mission, rescue, Herod, and public expectation.
12:12|When he understood this, he went to the house of Mary, the mother of John called Mark, where many people had gathered and were praying.|Keeps recognition, host’s full identity, crowd, and prayer.
12:13|When Peter knocked at the outer gate, a servant girl named Rhoda came to answer.|Preserves action, gate, social role, name, and purpose.
12:14|She recognized Peter’s voice and was so overjoyed that she did not open the gate but ran inside and announced that Peter was standing outside.|Keeps voice recognition, joy, comic delay, movement, and report.
12:15|They told her, “You are out of your mind!” But she kept insisting it was true. Then they said, “It must be his angel.”|Preserves disbelief, her persistence, and their alternative explanation.
12:16|Meanwhile Peter kept knocking. When they opened the gate and saw him, they were astonished.|Keeps continued action, sight, and reaction.
12:17|He motioned with his hand for them to be quiet and described how the Lord had brought him out of prison. He said, “Tell James and the brothers and sisters about this.” Then he left and went to another place.|Preserves gesture, divine rescue, named recipient, inclusive community, and discreet departure.
12:18|At daybreak there was no small disturbance among the soldiers over what had become of Peter.|Keeps timing, emphatic disturbance, soldiers, and uncertainty.
12:19|Herod searched for him but did not find him. After questioning the guards, he ordered them to be taken away for execution. Then Herod went down from Judea to Caesarea and stayed there.|Preserves failed search, interrogation, fatal order, movement, and residence.
12:20|Herod had been furious with the people of Tyre and Sidon. They came to him together, and after winning over Blastus, the king’s chamberlain, they asked for peace because their country depended on the king’s country for food.|Keeps royal anger, cities, collective approach, official, peace request, and economic dependence.
12:21|On the appointed day, Herod dressed in royal robes, sat on the judgment seat, and delivered a public speech to them.|Preserves fixed day, regalia, seat, and oratory.
12:22|The crowd shouted, “This is the voice of a god, not a man!”|Keeps acclaim, divine-human contrast, and direct quotation.
12:23|Immediately an angel of the Lord struck him because he did not give glory to God. He was eaten by worms and died.|Retains divine judgment, reason, graphic bodily harm, and death.
12:24|But the word of God continued to grow and multiply.|Keeps contrast and organic growth image.
12:25|Barnabas and Saul returned after completing their relief mission in Jerusalem, taking with them John who was called Mark.|Keeps the pinned phrase “in Jerusalem” with the completed mission while avoiding a direction not explicit in the displayed source.
13:1|In the church at Antioch there were prophets and teachers: Barnabas; Simeon called Niger; Lucius of Cyrene; Manaen, a close companion of Herod the tetrarch; and Saul.|Preserves church, two roles, all five names, origins, nickname, and Herod relationship.
13:2|While they were worshiping the Lord and fasting, the Holy Spirit said, “Set apart Barnabas and Saul for me for the work to which I have called them.”|Keeps worship, fasting, Spirit speech, two names, separation, work, and prior call.
13:3|Then, after fasting and praying, they laid their hands on them and sent them away.|Preserves spiritual practices, physical commissioning, and departure.
13:4|So, sent out by the Holy Spirit, they went down to Seleucia and sailed from there to Cyprus.|Keeps Spirit agency and exact travel route.
13:5|When they arrived at Salamis, they proclaimed the word of God in the Jewish synagogues. They also had John as their assistant.|Preserves location, venue, message, and John’s role.
13:6|After traveling across the whole island as far as Paphos, they found a Jewish man named Bar-Jesus who was a magician and false prophet.|Keeps extent, destination, ethnicity, name, and two negative roles.
13:7|He was with the proconsul Sergius Paulus, an intelligent man. The proconsul summoned Barnabas and Saul because he wanted to hear the word of God.|Preserves association, Roman title, name, intelligence, summons, and desire.
13:8|But Elymas the magician—for that is how his name is translated—opposed them and tried to turn the proconsul away from the faith.|Keeps translated name, opposition, official, and purpose.
13:9|Then Saul, who was also called Paul, filled with the Holy Spirit, stared at him|Preserves both names, Spirit fullness, and intense gaze.
13:10|and said, “You are full of every kind of deceit and fraud, you son of the devil and enemy of everything right! Will you never stop twisting the Lord’s straight ways?|Keeps severe address, deceit, familial insult, righteousness contrast, and road image.
13:11|Now look—the Lord’s hand is against you. You will be blind and unable to see the sun for a time.” Immediately mist and darkness fell over him, and he went around seeking someone to lead him by the hand.|Preserves divine-hand image, temporary blindness, sun, immediacy, darkness, and dependence.
13:12|When the proconsul saw what had happened, he believed, astonished at the teaching about the Lord.|Keeps sight, belief, astonishment, and teaching as focus.
13:13|Paul and his companions sailed from Paphos and came to Perga in Pamphylia. But John left them and returned to Jerusalem.|Preserves Paul’s emerging leadership, route, John’s departure, and destination.
13:14|They continued from Perga and reached Pisidian Antioch. On the Sabbath day they entered the synagogue and sat down.|Keeps travel, precise Antioch, Sabbath, synagogue, and posture.
13:15|After the reading from the Law and the Prophets, the synagogue leaders sent word to them: “Brothers, if you have a word of encouragement for the people, speak.”|Preserves liturgical readings, leaders, kinship address, invitation, and encouragement.
13:16|Paul stood, motioned with his hand, and said, “People of Israel and you who fear God, listen.|Keeps posture, gesture, two audiences, and command.
13:17|The God of this people Israel chose our ancestors and made the people great while they lived as foreigners in Egypt. With uplifted arm he led them out of it.|Preserves election, ancestors, foreign residence, exaltation, arm image, and exodus.
13:18|For about forty years he put up with them in the wilderness.|Retains approximate duration, difficult divine patience wording, and setting.
13:19|After destroying seven nations in the land of Canaan, he gave their land to Israel as an inheritance.|Keeps divine agency, exact number, place, dispossession, and inheritance.
13:20|All this took about 450 years. Afterward God gave them judges until the time of Samuel the prophet.|Preserves the pinned punctuation’s duration, sequence, judges, and Samuel’s title.
13:21|Then they asked for a king, and God gave them Saul son of Kish, a man from the tribe of Benjamin, for forty years.|Keeps request, divine gift, lineage, tribe, and exact reign length.
13:22|After removing him, God raised up David as their king and testified about him: ‘I have found David son of Jesse, a man after my own heart, who will do everything I want.’|Preserves removal, appointment, testimony, lineage, heart, and comprehensive obedience.
13:23|From this man’s descendants, according to promise, God brought Israel a Savior, Jesus.|Keeps Davidic descent, promise, divine agency, Israel, title, and name.
13:24|Before Jesus’ coming, John proclaimed a baptism of repentance to all the people of Israel.|Clarifies referent while preserving sequence, baptism, repentance, and audience.
13:25|As John was completing his course, he said, ‘Who do you suppose I am? I am not the one. But look—one is coming after me whose sandals I am not worthy to untie.’|Keeps race-course image, identity question, denial, coming one, and sandal humility.
13:26|“Brothers and sisters, children of Abraham’s family, and those among you who fear God, this message of salvation has been sent to us.|Uses inclusive address while retaining Abrahamic descent, God-fearers, salvation, and divine sending.
13:27|The residents of Jerusalem and their rulers did not recognize Jesus or understand the words of the prophets read every Sabbath. Yet by condemning him, they fulfilled those words.|Clarifies Jesus as referent and preserves ignorance, weekly reading, judgment, and ironic fulfillment.
13:28|Though they found no grounds for a death sentence, they asked Pilate to have him killed.|Keeps lack of capital charge, Pilate, request, and lethal outcome.
13:29|When they had carried out everything written about him, they took him down from the tree and laid him in a tomb.|Preserves fulfillment, tree image, descent, and burial.
13:30|But God raised him from the dead,|Keeps stark contrast and divine resurrection agency.
13:31|and for many days he appeared to those who had come up with him from Galilee to Jerusalem. They are now his witnesses to the people.|Preserves duration, appearances, travel companions, geography, present witness, and audience.
13:32|We proclaim to you the good news that the promise made to our ancestors|Keeps apostolic proclamation, good news, promise, and ancestry across the sentence boundary.
13:33|God has fulfilled for us, their children, by raising up Jesus. As it is written in the second psalm: ‘You are my Son; today I have begotten you.’|Preserves fulfillment, generational link, raising Jesus, psalm number, sonship, and the source’s birth image.
13:34|God raised him from the dead, never again to return to decay. He expressed it this way: ‘I will give you the holy and sure blessings promised to David.’|Keeps resurrection, permanence, decay, divine quotation, holiness, certainty, and David.
13:35|So he also says in another psalm, ‘You will not let your Holy One see decay.’|Preserves second citation, title, and decay term.
13:36|Now David served God’s purpose in his own generation, then fell asleep, was laid with his ancestors, and saw decay.|Keeps service, divine purpose, generation, death metaphor, burial, and decay.
13:37|But the one God raised did not see decay.|Preserves contrast, divine agency, and repeated key term.
13:38|Therefore, brothers and sisters, understand that through Jesus forgiveness of sins is proclaimed to you.|Uses inclusive address, names Jesus for clarity, and preserves forgiveness and proclamation.
13:39|Through him everyone who believes is justified from everything from which you could not be justified by the law of Moses.|Keeps universal believer, justification, comprehensive scope, and contrast with Mosaic law.
13:40|So take care that what was spoken in the Prophets does not happen to you:|Preserves warning, prophetic source, and audience.
13:41|‘Look, you scoffers! Be amazed and perish, because I am doing a work in your days, a work you would never believe even if someone explained it to you.’”|Keeps severe address, commands, divine work, timing, repetition, and disbelief.
13:42|As Paul and Barnabas were leaving, the people urged them to speak about these things again the next Sabbath.|Names departing speakers for clarity and preserves request, subject, and timing.
13:43|After the synagogue gathering ended, many Jewish people and devout converts followed Paul and Barnabas. They spoke with them and urged them to continue in God’s grace.|Keeps two audience groups, named leaders, conversation, exhortation, and grace.
13:44|On the next Sabbath almost the whole city gathered to hear the word of the Lord.|Preserves day, near-total city, gathering, and purpose.
13:45|But when some Jewish people saw the crowds, they were filled with jealousy. They contradicted what Paul was saying and slandered him.|Avoids treating the whole people as a single actor while retaining seeing, jealousy, contradiction, and abusive speech.
13:46|Then Paul and Barnabas spoke boldly: “It was necessary that God’s word be spoken to you first. But since you reject it and judge yourselves unworthy of eternal life, we are now turning to the Gentiles.|Keeps boldness, priority, rejection, self-judgment, eternal life, and mission turn.
13:47|For this is what the Lord has commanded us: ‘I have appointed you as a light for the Gentiles, to bring salvation to the ends of the earth.’”|Preserves divine command, light image, Gentiles, salvation, and global reach.
13:48|When the Gentiles heard this, they rejoiced and honored the word of the Lord, and all who had been appointed to eternal life believed.|Keeps hearing, joy, honoring, appointment, eternal life, and faith without resolving theological debate.
13:49|The word of the Lord spread throughout the whole region.|Preserves message, movement, and comprehensive geography.
13:50|But some Jewish people stirred up the devout women of high standing and the city’s leading men. They incited persecution against Paul and Barnabas and drove them out of their region.|Avoids treating the whole people as a single actor while keeping influential women and men, persecution, named victims, and expulsion.
13:51|So Paul and Barnabas shook the dust from their feet against them and went to Iconium.|Names agents and preserves symbolic act, opposition, and destination.
13:52|And the disciples were filled with joy and with the Holy Spirit.|Keeps paired fullness of joy and Spirit.
14:1|In Iconium, Paul and Barnabas entered the Jewish synagogue together and spoke so effectively that a great number of both Jewish and Greek people believed.|Names agents for continuity and preserves venue, effectiveness, both groups, scale, and faith.
14:2|But the Jewish people who refused to believe stirred up the Gentiles and poisoned their minds against the brothers and sisters.|Keeps specific unbelieving group, incitement, vivid harm image, Gentiles, and inclusive community.
14:3|So Paul and Barnabas stayed there a long time, speaking boldly for the Lord, who confirmed the message of his grace by granting signs and wonders through their hands.|Preserves duration, bold speech, divine confirmation, grace, miracles, and human agency.
14:4|The people of the city were divided: some sided with the Jewish leaders, others with the apostles.|Keeps civic division and two alignments.
14:5|Then Gentiles and Jewish leaders, together with their rulers, made an attempt to mistreat and stone them.|Preserves coalition, official support, abuse, and intended lethal violence.
14:6|When the apostles learned of it, they fled to the Lycaonian cities of Lystra and Derbe and the surrounding region,|Keeps awareness, flight, precise cities, and wider region.
14:7|and there they continued proclaiming the good news.|Preserves continuity, location, and proclamation.
14:8|In Lystra a man was sitting who had no strength in his feet. He had been unable to walk from birth and had never walked.|Keeps location, person, bodily condition, birth onset, and lifelong duration.
14:9|He listened as Paul spoke. Paul looked intently at him and saw that he had faith to be healed.|Preserves hearing, gaze, discernment, faith, and healing sense of salvation verb.
14:10|Paul said in a loud voice, “Stand upright on your feet!” The man leaped up and began to walk.|Keeps volume, command, sudden leap, and walking.
14:11|When the crowds saw what Paul had done, they shouted in the Lycaonian language, “The gods have come down to us in human form!”|Preserves sight, Paul’s act, local language, divine plurality, descent, and human likeness.
14:12|They called Barnabas Zeus and Paul Hermes, because Paul was the chief speaker.|Keeps both identifications and stated reason.
14:13|The priest of Zeus, whose temple stood just outside the city, brought bulls and wreaths to the gates. He and the crowds wanted to offer sacrifices.|Preserves priest, deity, temple location, animals, wreaths, gates, crowd, and intended ritual.
14:14|But when the apostles Barnabas and Paul heard about it, they tore their clothes, rushed into the crowd, and shouted,|Keeps apostolic title, names, grief gesture, movement, and loud interruption.
14:15|“Men, why are you doing this? We too are human beings with the same nature as you. We are bringing you good news, telling you to turn from these worthless things to the living God, who made heaven, earth, sea, and everything in them.|Preserves question, shared humanity, good news, conversion, idol judgment, living God, and creation scope.
14:16|In past generations he allowed all nations to follow their own ways.|Keeps historical span, divine permission, universal nations, and paths image.
14:17|Yet he did not leave himself without witness: he did good by giving you rain from heaven and fruitful seasons, filling your hearts with food and joy.”|Preserves concession, witness, goodness, rain, seasons, food, and inward joy.
14:18|Even with these words, they barely stopped the crowds from sacrificing to them.|Keeps difficulty, crowd, sacrifice, and mistaken recipients.
14:19|Then some Jewish people came from Antioch and Iconium and won over the crowds. They stoned Paul and dragged him outside the city, thinking he was dead.|Avoids treating the whole people as a single actor while preserving origins, persuasion, stoning, dragging, location, and presumed death.
14:20|But when the disciples gathered around him, he got up and went into the city. The next day he left with Barnabas for Derbe.|Keeps communal presence, recovery, return, next-day departure, companion, and destination.
14:21|After proclaiming the good news in that city and making many disciples, they returned to Lystra, Iconium, and Antioch.|Preserves proclamation, disciple-making, scale, and reverse itinerary.
14:22|They strengthened the disciples and encouraged them to remain in the faith, saying, “We must enter the kingdom of God through many troubles.”|Keeps strengthening, perseverance, shared necessity, kingdom, and suffering.
14:23|They appointed elders for them in every church and, with prayer and fasting, entrusted them to the Lord in whom they had believed.|Preserves local elders, every church, prayer, fasting, entrusting, Lord, and prior faith.
14:24|Then they passed through Pisidia and came to Pamphylia.|Keeps geographic route.
14:25|After speaking the word in Perga, they went down to Attalia.|Preserves message and exact travel.
14:26|From there they sailed back to Antioch, where they had been entrusted to God’s grace for the work they had now completed.|Keeps return voyage, commissioning origin, grace, work, and completion.
14:27|When they arrived, they gathered the church and reported everything God had done with them and how he had opened a door of faith to the Gentiles.|Preserves gathering, comprehensive report, divine agency, door image, faith, and Gentile inclusion.
14:28|They stayed there with the disciples for a long time.|Keeps residence, community, and indefinite long duration.
