1:1|After Ahab’s death, Moab rebelled against Israel.|Retains the immediate political consequence.
8:4|The king was talking with Gehazi, the man of God’s servant. “Tell me all the great things Elisha has done,” he said.|Do not repair the chronology of Gehazi’s appearance after chapter 5.
8:5|Just as Gehazi was telling the king how Elisha had restored the dead to life, the woman whose son he had restored came to appeal to the king for her house and field. Gehazi said, “My lord the king, this is the woman, and this is her son whom Elisha restored to life!”|Keep the timing and both identifications rather than abbreviating the encounter.
8:6|The king questioned the woman, and she told him her story. He assigned a court official to her and said, “Restore everything that belongs to her, including all the produce of the field from the day she left the land until now.”|Retain the full period of restitution and avoid asserting the official’s anatomy.
8:7|Elisha went to Damascus. Ben-hadad king of Aram was ill, and someone told him, “The man of God has come here.”|Keep the foreign setting and the report to the sick king.
8:8|The king said to Hazael, “Take a gift with you and go meet the man of God. Ask the LORD through him, ‘Will I recover from this illness?’”|Make the consultation through the prophet explicit.
8:9|Hazael went to meet him, taking a gift of every kind of fine thing Damascus had to offer—forty camel loads. He stood before Elisha and said, “Your son Ben-hadad king of Aram has sent me to ask, ‘Will I recover from this illness?’”|Preserve forty loads and the diplomatic address your son.
8:10|Elisha said to him, “Go and tell him, ‘You will certainly recover.’ But the LORD has shown me that he will certainly die.”|Follow the read text to him while preserving the tension between the two declarations.
8:11|He held his gaze steady until it became uncomfortable. Then the man of God wept.|Avoid fixing the ambiguous gaze’s participants or inventing a motive for the pause.
8:12|Hazael asked, “Why is my lord weeping?” He answered, “Because I know the harm you will do to the Israelites. You will set their fortresses on fire, kill their young men with the sword, dash their little children to pieces, and rip open their pregnant women.”|Preserve every threatened atrocity without softening or elaborating it.
8:13|Hazael said, “But what is your servant, a mere dog, that he could do such a great thing?” Elisha answered, “The LORD has shown me that you will be king over Aram.”|Keep great thing and dog in Hazael’s response without turning it into a moral denial.
8:14|He left Elisha and returned to his master, who asked, “What did Elisha say to you?” Hazael answered, “He told me that you would certainly recover.”|Preserve the selective report and its omission of the predicted death.
8:15|The next day Hazael took a coverlet, dipped it in water, and spread it over the king’s face, and he died. Hazael became king in his place.|Identify the acting man from context and preserve the concrete killing action.
8:16|In the fifth year of Joram son of Ahab, king of Israel, while Jehoshaphat was king of Judah, Jehoram son of Jehoshaphat began to reign as king of Judah.|Retain the overlapping reigns rather than harmonizing the chronology.
8:17|He was thirty-two years old when he became king, and he reigned in Jerusalem for eight years.|Keep both numerical notices intact.
8:18|He followed the way of Israel’s kings, as the house of Ahab had done, for Ahab’s daughter was his wife. He did what was evil in the LORD’s eyes.|Retain the marriage connection and the narrator’s evaluation.
8:19|Yet the LORD was unwilling to destroy Judah because of David his servant, since he had promised to give David a lamp for his sons always.|Preserve the lamp image and the dynastic promise.
8:20|In his days Edom rebelled against Judah’s rule and set up a king of its own.|Keep the political change concrete.
8:21|Joram crossed over to Zair with all his chariots. He rose at night and struck the Edomites surrounding him and the chariot commanders. But his people fled to their tents.|Retain the difficult battle sequence without inventing a decisive victory.
8:22|Edom has remained in rebellion against Judah’s rule to this day. Libnah also rebelled at that time.|Keep the narrator’s to this day and the separate revolt.
8:23|The rest of Joram’s acts, and everything he did, are written in the annals of the kings of Judah.|Retain the source notice and Judah’s identity.
8:24|Joram rested with his ancestors and was buried with them in the City of David. His son Ahaziah became king in his place.|Keep the ancestral death idiom and succession.
8:25|In the twelfth year of Joram son of Ahab, king of Israel, Ahaziah son of Jehoram became king of Judah.|Retain twelfth year despite the eleventh-year notice in 9:29.
8:26|Ahaziah was twenty-two years old when he became king, and he reigned in Jerusalem for one year. His mother’s name was Athaliah, daughter of Omri king of Israel.|Keep twenty-two and the source’s daughter relationship without importing Chronicles.
8:27|He followed the way of the house of Ahab and did what was evil in the LORD’s eyes, as the house of Ahab had done, for he was related by marriage to Ahab’s house.|Preserve the repeated house language and marriage relationship.
8:28|He went with Joram son of Ahab to fight Hazael king of Aram at Ramoth-gilead. The Arameans wounded Joram.|Keep the two allied kings and identify who was wounded.
8:29|King Joram returned to Jezreel to recover from the wounds the Arameans had inflicted on him at Ramah when he fought Hazael king of Aram. Ahaziah son of Jehoram, king of Judah, went down to Jezreel to see Joram son of Ahab because he was wounded.|Preserve both place forms and the relationship between the visit and battle wounds.
9:1|Elisha the prophet called one of the company of prophets and said, “Tuck your robe into your belt, take this flask of oil with you, and go to Ramoth-gilead.|Render girding the waist as preparation for travel while retaining the oil flask.
9:2|When you arrive, find Jehu son of Jehoshaphat, son of Nimshi. Go in, have him rise from among his fellow officers, and take him into an inner room.|Preserve all three generations and the private setting.
9:3|Take the flask of oil, pour it on his head, and say, ‘This is what the LORD says: I anoint you king over Israel.’ Then open the door and flee. Don’t wait.”|Keep the anointing formula and abrupt escape instruction.
9:4|So the young prophet went to Ramoth-gilead.|Combine the repeated young-man description into natural English.
9:5|When he arrived, the army commanders were sitting together. He said, “Commander, I have a message for you.” Jehu asked, “For which of us?” He answered, “For you, commander.”|Keep the uncertainty over the addressee and the repeated title.
9:6|Jehu got up and went into the house. The prophet poured the oil on his head and said, “This is what the LORD, the God of Israel, says: I anoint you king over the LORD’s people, over Israel.|Retain the expanded divine title and repeated people designation.
9:7|You are to strike down the house of Ahab your master, so that I may avenge the blood of my servants the prophets, and the blood of all the LORD’s servants, at Jezebel’s hand.|Keep the blood language and Jezebel’s responsibility within the oracle.
9:8|Ahab’s whole house will perish. I will cut off from Ahab every male who urinates against a wall, bound or free in Israel.|Retain the coarse male image and the uncertain paired social categories.
9:9|I will make Ahab’s house like the house of Jeroboam son of Nebat and the house of Baasha son of Ahijah.|Preserve both dynastic comparisons with their fathers’ names.
9:10|Dogs will eat Jezebel on the plot of land at Jezreel, and no one will bury her.” Then he opened the door and fled.|Keep the specified place and the prophet’s immediate departure.
9:11|Jehu came out to his master’s officers. One asked him, “Is everything all right? Why did that madman come to you?” He answered, “You know the man and his chatter.”|Retain the officer’s dismissive label as speech rather than narrator judgment.
9:12|They said, “That’s a lie! Tell us.” So he said, “He told me this and that, including, ‘This is what the LORD says: I anoint you king over Israel.’”|Preserve the demand and Jehu’s selective quotation.
9:13|At once each of them took his garment and spread it beneath Jehu on the bare steps. They blew the ram’s horn and proclaimed, “Jehu is king!”|Retain garments, the uncertain step location, and the proclamation.
9:14|So Jehu son of Jehoshaphat, son of Nimshi, conspired against Joram. Joram and all Israel had been defending Ramoth-gilead against Hazael king of Aram.|Connect the conspiracy with the military setting without importing motives.
9:15|But King Joram had returned to Jezreel to recover from the wounds the Arameans had inflicted when he fought Hazael king of Aram. Jehu said, “If this is what you want, let no one escape from the city to take word to Jezreel.”|Keep the king’s absence and Jehu’s condition for secrecy.
9:16|Jehu mounted his chariot and went to Jezreel, where Joram lay recovering. Ahaziah king of Judah had come down to visit Joram.|Keep the convergence of all three kings.
9:17|The lookout standing on Jezreel’s tower saw Jehu’s company approaching and said, “I see a company of men.” Joram said, “Send a horseman to meet them and ask, ‘Is it peace?’”|Preserve the watchtower perspective and recurring peace question.
9:18|The horseman rode out to meet him and said, “The king asks, ‘Is it peace?’” Jehu answered, “What have you to do with peace? Fall in behind me.” The lookout reported, “The messenger reached them, but he isn’t coming back.”|Keep question, rebuff, and lookout report in sequence.
9:19|The king sent a second horseman. He reached them and said, “The king asks, ‘Is it peace?’” Jehu answered, “What have you to do with peace? Fall in behind me.”|Repeat the exchange as the source does.
9:20|The lookout reported, “He reached them, but he isn’t coming back. The driving looks like Jehu son of Nimshi’s driving—he drives like a madman.”|Retain the madman link with verse 11 and the shortened patronymic.
9:21|Joram said, “Hitch up!” They hitched his chariot, and Joram king of Israel and Ahaziah king of Judah went out, each in his own chariot. They met Jehu on Naboth the Jezreelite’s plot of land.|Keep the separate chariots and consequential meeting place.
9:22|When Joram saw Jehu, he asked, “Is it peace, Jehu?” Jehu answered, “What peace can there be while your mother Jezebel’s whoring and her many sorceries go on?”|Preserve the accusation’s force without converting its metaphor into biography.
9:23|Joram wheeled around and fled, calling to Ahaziah, “Treachery, Ahaziah!”|Keep the urgent direct warning.
9:24|Jehu drew his bow with all his strength and struck Joram between the shoulders. The arrow came out through his heart, and he slumped in his chariot.|Retain the trajectory and bodily harm without added gore.
9:25|Jehu said to Bidkar his officer, “Pick him up and throw him onto Naboth the Jezreelite’s plot. Remember how you and I rode together behind his father Ahab when the LORD pronounced this burden against him:|Retain the shared memory and prophetic burden image.
9:26|‘Yesterday I saw the blood of Naboth and the blood of his sons, declares the LORD. I will repay you on this plot, declares the LORD.’ So pick him up and throw him onto the plot, according to the LORD’s word.”|Keep Naboth’s sons and yesterday rather than harmonizing with the earlier account.
9:27|When Ahaziah king of Judah saw this, he fled toward Beth-haggan. Jehu pursued him, saying, “Strike him too!” They struck him in his chariot at the ascent of Gur near Ibleam. He fled to Megiddo and died there.|Supply the implied striking action while preserving the route and death location.
9:28|His servants carried him in a chariot to Jerusalem and buried him in his tomb with his ancestors in the City of David.|Keep the return for burial separate from the place of death.
9:29|Ahaziah had become king over Judah in the eleventh year of Joram son of Ahab.|Retain eleventh without silently reconciling 8:25.
9:30|Jehu came to Jezreel. When Jezebel heard, she painted her eyes, arranged her hair, and looked out of the window.|Describe the preparation without inventing seduction or courage as a motive.
9:31|As Jehu entered the gate, she said, “Is it peace, Zimri, murderer of your master?”|Keep the Zimri taunt and repeated peace question.
9:32|He looked up at the window and said, “Who is on my side? Who?” Two or three eunuchs looked down at him.|Retain the uncertain count and court personnel designation.
9:33|He said, “Throw her down!” They threw her down, and some of her blood splashed onto the wall and the horses, and Jehu trampled her.|Retain the command, blood, and singular actor in the trampling; the Hebrew says he trampled her.
9:34|Then he went in and ate and drank. “See to that cursed woman,” he said. “Bury her, for she was a king’s daughter.”|Keep the meal beside the death and the stated reason for burial.
9:35|But when they went to bury her, they found only her skull, her feet, and the palms of her hands.|Retain the exact remaining body parts.
9:36|They returned and told him. He said, “This is the LORD’s word, which he spoke through his servant Elijah the Tishbite: ‘On the plot at Jezreel, dogs will eat Jezebel’s flesh.|Preserve the quotation’s attribution and location.
9:37|Jezebel’s body will be like dung on the face of the field, on the plot at Jezreel, so that no one will be able to say, “This is Jezebel.”’”|Keep the dung image and loss of identifiable remains.
10:1|Ahab had seventy sons in Samaria. Jehu wrote letters and sent them to Samaria, to Jezreel’s leaders, the elders, and the guardians of Ahab’s sons. He wrote:|Retain Jezreel’s leaders in the Hebrew despite the Samaria destination.
10:2|“Your master’s sons are with you, and you have chariots, horses, a fortified city, and weapons. As soon as this letter reaches you,|Keep the challenge’s concrete military resources.
10:3|choose the best and most suitable of your master’s sons, set him on his father’s throne, and fight for your master’s house.”|Preserve the invitation to oppose Jehu rather than paraphrasing its implied threat.
10:4|They were utterly terrified. “Two kings couldn’t stand against him,” they said. “How can we?”|Retain the numerical comparison behind their fear.
10:5|The palace administrator, the city governor, the elders, and the guardians sent word to Jehu: “We are your servants. We will do whatever you tell us. We won’t make anyone king. Do what seems good to you.”|Keep all four responding groups and their submission.
10:6|Jehu wrote them a second letter: “If you are on my side and will obey me, take the heads of your master’s sons and come to me at Jezreel by this time tomorrow.” The seventy royal sons were with the leading men of the city, who were raising them.|Keep the second letter’s deadline and the guardians’ responsibility.
10:7|When the letter reached them, they took the royal sons and slaughtered all seventy. They put their heads in baskets and sent them to Jehu at Jezreel.|Preserve the slaughter and transport without euphemism.
10:8|A messenger came and told him, “They have brought the royal sons’ heads.” He said, “Put them in two heaps at the entrance to the gate until morning.”|Retain two heaps and the public display’s duration.
10:9|In the morning he went out, stood before all the people, and said, “You are innocent. I conspired against my master and killed him. But who struck down all these?|Keep the claim of innocence inside Jehu’s speech rather than endorsing it.
10:10|Know, then, that not one word the LORD has spoken against Ahab’s house will fall to the ground. The LORD has done what he said through his servant Elijah.”|Retain the falling-word image and Jehu’s appeal to prophecy.
10:11|Jehu struck down everyone left of Ahab’s house in Jezreel—all his leading men, his close associates, and his priests. He left him no survivor.|Keep the expanded circle of victims and totality claim.
10:12|Then he set out for Samaria. On the way, at Beth-eked of the Shepherds,|Retain the place name instead of replacing it with an uncertain function.
10:13|Jehu met relatives of Ahaziah king of Judah. “Who are you?” he asked. They answered, “We are Ahaziah’s relatives. We’re going down to greet the king’s sons and the queen mother’s sons.”|Render brothers as wider kin in this context and retain both royal groups.
10:14|He said, “Take them alive!” They took them alive, then slaughtered them at the cistern of Beth-eked—all forty-two men. He left none of them alive.|Preserve the contrast between live capture and subsequent killing.
10:15|He went on from there and met Jehonadab son of Rechab coming toward him. Jehu greeted him and asked, “Is your heart true to mine, as mine is to yours?” Jehonadab answered, “It is.” “If so, give me your hand.” He gave him his hand, and Jehu brought him up into the chariot.|Keep the heart language and the physical pledge of alliance.
10:16|“Come with me,” Jehu said, “and see my zeal for the LORD.” So he had him ride in his chariot.|Retain zeal as Jehu’s own characterization.
10:17|When he came to Samaria, he struck down everyone left to Ahab there, wiping out his house, according to the LORD’s word spoken to Elijah.|Keep the second location and the fulfillment formula.
10:18|Jehu gathered all the people and said, “Ahab served Baal a little; Jehu will serve him much.|Preserve the provocative first-person speech using Jehu’s own name.
10:19|Now call all Baal’s prophets, all his worshipers, and all his priests to me. Let no one be absent, because I have a great sacrifice for Baal. Anyone absent will not live.” Jehu was acting deceitfully, to destroy Baal’s worshipers.|Make the narrator’s explicit disclosure of deceit clear.
10:20|Jehu said, “Proclaim a sacred assembly for Baal.” So they proclaimed it.|Keep the religious assembly language in the deception.
10:21|Jehu sent word throughout Israel, and all Baal’s worshipers came. Not one stayed away. They entered Baal’s temple, and it was filled from end to end.|Retain the total attendance and crowded building.
10:22|He told the keeper of the wardrobe, “Bring out garments for all Baal’s worshipers.” So he brought out garments for them.|Keep the separate provision of identifying clothing.
10:23|Jehu and Jehonadab son of Rechab went into Baal’s temple. Jehu said to Baal’s worshipers, “Search carefully. Make sure no servants of the LORD are here with you, only worshipers of Baal.”|Preserve the distinction used to select the victims.
10:24|They went in to offer sacrifices and burnt offerings. Jehu had stationed eighty men outside and said, “If any of the men I place in your hands escapes, your life will pay for his.”|Retain eighty guards and the life-for-life threat.
10:25|As soon as he finished offering the burnt offering, Jehu said to the guards and officers, “Go in and strike them down. Let no one get out.” They struck them down with the sword. The guards and officers threw the bodies out, then went into the inner part of Baal’s temple.|Keep the massacre and flag the difficult final architectural expression in a note.
10:26|They brought out the sacred pillars from Baal’s temple and burned them.|Retain plural pillars while rendering the collective object naturally.
10:27|They demolished Baal’s pillar, tore down Baal’s temple, and made it a latrine, as it remains to this day.|Preserve the deliberate degradation and narrator’s continuing-time notice.
10:28|So Jehu destroyed Baal worship in Israel.|Render Baal’s removal in terms of the narrated cult destruction.
10:29|Yet Jehu did not turn away from the sins of Jeroboam son of Nebat, which he had caused Israel to commit—the golden calves at Bethel and Dan.|Retain the qualification and both calf locations.
10:30|The LORD said to Jehu, “Because you have done well in carrying out what is right in my eyes, and have done to Ahab’s house all that was in my heart, your sons will sit on Israel’s throne to the fourth generation.”|Keep the specific approval and four-generation promise without expanding it to all Jehu’s conduct.
10:31|But Jehu did not take care to walk in the instruction of the LORD, the God of Israel, with all his heart. He did not turn away from the sins Jeroboam had caused Israel to commit.|Preserve the narrator’s adverse judgment beside verse 30’s approval.
10:32|In those days the LORD began cutting away parts of Israel. Hazael struck them throughout Israel’s territory:|Keep divine agency and the territorial loss image.
10:33|east of the Jordan, all the land of Gilead—the Gadites, Reubenites, and Manassites—from Aroer by the Arnon Valley, including Gilead and Bashan.|Retain tribes and geographic limits without replacing them with a modern map.
10:34|The rest of Jehu’s acts, everything he did, and all his might are written in the annals of the kings of Israel.|Preserve the source notice’s three categories.
10:35|Jehu rested with his ancestors and was buried in Samaria. His son Jehoahaz became king in his place.|Keep burial place and succession.
10:36|Jehu reigned over Israel in Samaria for twenty-eight years.|Retain the full reign length and capital.
11:1|When Athaliah, Ahaziah’s mother, saw that her son was dead, she set out to destroy the entire royal line.|Retain the mother’s agency and dynastic scope of the killing.
11:2|But Jehosheba, King Joram’s daughter and Ahaziah’s sister, took Joash son of Ahaziah and stole him away from the royal sons being killed. She put him and his nurse in a bedroom. They hid him from Athaliah, and he was not killed.|Preserve the rescue, relationships, nurse, and change to plural protectors.
11:3|He remained hidden with her in the LORD’s house for six years, while Athaliah ruled the land.|Keep the simultaneous concealment and reign.
11:4|In the seventh year Jehoiada sent for the commanders of hundreds of the Carites and the guards and brought them to him in the LORD’s house. He made a covenant with them, put them under oath there, and showed them the king’s son.|Retain the named guard group and covenant before revealing the heir.
11:5|He commanded them, “This is what you must do: One third of you coming on duty on the Sabbath will guard the palace,|Keep the first division and Sabbath change of duty.
11:6|one third will be at the Sur Gate, and one third at the gate behind the guards. Keep a close watch over the palace.|Preserve the three posts and leave the difficult final term to a note.
11:7|The other two divisions of you, all those going off duty on the Sabbath, must guard the LORD’s house around the king.|Distinguish off-duty divisions from the preceding incoming guards.
11:8|Surround the king, each man with his weapons in hand. Anyone who breaks through the ranks must be killed. Stay with the king wherever he goes.”|Retain the lethal perimeter instruction and continuous protection.
11:9|The commanders of hundreds did everything Jehoiada the priest commanded. Each brought his men, those coming on duty on the Sabbath and those going off duty, to Jehoiada the priest.|Repeat both shifts in the execution of the order.
11:10|The priest gave the commanders of hundreds the spear and shields that had belonged to King David and were kept in the LORD’s house.|Keep the singular spear and Davidic provenance.
11:11|The guards stood, each with his weapons in hand, from the south side of the house to its north side, around the altar and the house, surrounding the king.|Render right and left by the temple’s orientation while retaining the protective arrangement.
11:12|Jehoiada brought out the king’s son, placed the crown on him, and gave him the covenant testimony. They made him king and anointed him, clapping their hands and calling, “Long live the king!”|Preserve testimony as a distinct coronation object without specifying an unsupported document.
11:13|Athaliah heard the noise of the guards and the people and came to the people at the LORD’s house.|Keep the sound that draws her into the scene.
11:14|She looked, and there was the king standing by the pillar, as was customary. The commanders and trumpeters were beside him, and all the people of the land were rejoicing and blowing trumpets. Athaliah tore her clothes and cried, “Conspiracy! Conspiracy!”|Retain the customary pillar location and doubled cry.
11:15|Jehoiada the priest ordered the commanders of hundreds in charge of the army, “Bring her out between the ranks. Kill anyone who follows her with the sword.” For the priest had said, “She must not be killed in the LORD’s house.”|Keep both the killing order and the restriction on its location.
11:16|They seized her and took her by the horses’ entrance to the palace, and she was killed there.|Keep the route and execution place without importing another account.
11:17|Jehoiada made a covenant between the LORD, the king, and the people, that they would be the LORD’s people. He also made a covenant between the king and the people.|Make the two covenant relationships understandable.
11:18|All the people of the land went to Baal’s temple and tore it down. They smashed its altars and images to pieces and killed Mattan, Baal’s priest, in front of the altars. Then the priest appointed guards over the LORD’s house.|Preserve destruction and killing alongside the new guard arrangements.
11:19|He took the commanders of hundreds, the Carites, the guards, and all the people of the land, and they brought the king down from the LORD’s house. They entered the palace through the Guards’ Gate, and he sat on the royal throne.|Retain all participating groups and the route to enthronement.
11:20|All the people of the land rejoiced, and the city was quiet. Athaliah had been put to death by the sword at the palace.|Keep the concluding contrast without moralizing the quiet.
11:21|Joash was seven years old when he became king.|Bind public 11:21 to original Hebrew 12:1.
12:1|Joash became king in Jehu’s seventh year and reigned in Jerusalem for forty years. His mother’s name was Zibiah, from Beer-sheba.|Retain accession, duration, mother, and origin under public numbering.
12:2|Joash did what was right in the LORD’s eyes throughout the time Jehoiada the priest instructed him.|Preserve the relationship between instruction and conduct without importing later Chronicles events.
12:3|Yet the high places were not removed. The people still sacrificed and burned offerings there.|Keep the qualification to the favorable judgment.
12:4|Joash said to the priests, “All the money brought into the LORD’s house as sacred gifts—the money collected from those counted, the money from personal assessments, and all the money anyone’s heart prompts them to bring to the LORD’s house—|Retain three revenue categories while noting uncertainty in the first expression.
12:5|the priests are to receive, each from his acquaintances. They must repair the house wherever damage is found.”|Keep the personal collection arrangement and comprehensive repairs.
12:6|But by King Joash’s twenty-third year, the priests had still not repaired the damage to the house.|Retain the long delay without alleging unspoken theft.
12:7|So King Joash called Jehoiada the priest and the other priests and asked, “Why aren’t you repairing the damage to the house? From now on, stop taking money from your acquaintances. Hand it over for the repairs.”|Keep the rebuke and change in financial arrangements.
12:8|The priests agreed not to take any more money from the people and not to be responsible for repairing the house.|Preserve both parts of the agreement.
12:9|Jehoiada the priest took a chest, bored a hole in its lid, and placed it beside the altar, on the right as one entered the LORD’s house. The priests guarding the threshold put into it all the money brought to the LORD’s house.|Retain the chest’s construction, position, and collecting officials.
12:10|Whenever they saw that there was a great deal of money in the chest, the king’s secretary and the high priest came up, bagged it, and counted the money found in the LORD’s house.|Keep the joint oversight and the source’s sequence of actions.
12:11|They gave the weighed money to those supervising the work on the LORD’s house. These paid it out to the carpenters and builders working on the house,|Retain weighed money rather than modern coinage or accounting totals.
12:12|to the masons and stonecutters, and for timber and dressed stone to repair the LORD’s house, as well as every other expense of the repairs.|Preserve trades, materials, and other repair costs.
12:13|But none of the money brought into the LORD’s house was used to make silver basins, snuffers, bowls, trumpets, or any gold or silver utensils for the house.|Keep the full excluded utensil list.
12:14|Instead, they gave it to the workers and used it to repair the LORD’s house.|Retain the repeated priority of repairs.
12:15|No accounting was required from the men entrusted with paying the workers, because they acted faithfully.|Keep the stated reason without making it a general financial rule.
12:16|Money from guilt offerings and sin offerings was not brought into the LORD’s house; it belonged to the priests.|Distinguish the two offering revenues from the repair funds.
12:17|Then Hazael king of Aram came up, fought against Gath, and captured it. He turned his attention toward attacking Jerusalem.|Keep Gath’s capture before the threat to Jerusalem.
12:18|Joash king of Judah took all the sacred gifts dedicated by his ancestors Jehoshaphat, Jehoram, and Ahaziah, kings of Judah, along with his own sacred gifts and all the gold found in the treasuries of the LORD’s house and the palace. He sent them to Hazael king of Aram, who withdrew from Jerusalem.|Preserve all named predecessors and both treasuries.
12:19|The rest of Joash’s acts and everything he did are written in the annals of the kings of Judah.|Retain the royal source notice.
12:20|His servants rose up, formed a conspiracy, and struck Joash down at Beth-millo, on the way down to Silla.|Keep the place names and avoid substituting Chronicles’ account.
12:21|His servants Jozabad son of Shimeath and Jehozabad son of Shomer struck him, and he died. They buried him with his ancestors in the City of David. His son Amaziah became king in his place.|Follow the pinned name Jozabad rather than silently importing Jozacar.
13:1|In the twenty-third year of Joash son of Ahaziah, king of Judah, Jehoahaz son of Jehu became king over Israel in Samaria. He reigned for seventeen years.|Keep both kingdoms’ rulers distinct and retain both year counts.
13:2|He did what was evil in the LORD’s eyes and followed the sins of Jeroboam son of Nebat, which he had caused Israel to commit. He did not turn away from them.|Preserve the repeated pattern of inherited royal sin.
13:3|The LORD’s anger burned against Israel, and he kept giving them into the hands of Hazael king of Aram and Ben-hadad son of Hazael.|Retain divine agency and successive Aramean rulers.
13:4|Then Jehoahaz sought the LORD’s favor, and the LORD listened to him, for he saw how the king of Aram was oppressing Israel.|Keep seeing oppression as the stated reason for listening.
13:5|The LORD gave Israel a deliverer, and they escaped Aram’s power. The Israelites lived in their tents as they had before.|Leave the deliverer unnamed and preserve tents rather than modernizing the image away.
13:6|Yet they did not turn away from the sins of Jeroboam’s house, which he had caused Israel to commit. They continued in them, and the Asherah also remained standing in Samaria.|Retain ongoing sin beside rescue and the singular cult object.
13:7|Jehoahaz was left with only fifty horsemen, ten chariots, and ten thousand foot soldiers. The king of Aram had destroyed the rest, making them like dust at threshing.|Preserve all force totals and the threshing image.
13:8|The rest of Jehoahaz’s acts, everything he did, and his might are written in the annals of the kings of Israel.|Keep all categories in the source notice.
13:9|Jehoahaz rested with his ancestors, and they buried him in Samaria. His son Joash became king in his place.|Retain burial and succession.
13:10|In the thirty-seventh year of Joash king of Judah, Jehoash son of Jehoahaz became king over Israel in Samaria. He reigned for sixteen years.|Keep the source’s longer name form and both chronological figures.
13:11|He did what was evil in the LORD’s eyes. He did not turn away from any of the sins of Jeroboam son of Nebat, which he had caused Israel to commit, but continued in them.|Retain the comprehensive negative judgment.
13:12|The rest of Joash’s acts, everything he did, and his might in fighting Amaziah king of Judah are written in the annals of the kings of Israel.|Keep the specific opponent in the source notice.
13:13|Joash rested with his ancestors, and Jeroboam sat on his throne. Joash was buried in Samaria with the kings of Israel.|Retain succession before burial as narrated.
13:14|When Elisha was suffering from the illness that would kill him, Joash king of Israel came down to him and wept over him. “My father, my father!” he said. “Israel’s chariot and its horsemen!”|Repeat the chariot cry linking Elisha’s death to Elijah’s departure.
13:15|Elisha said to him, “Take a bow and arrows.” So he took a bow and arrows.|Preserve instruction and response.
13:16|He told the king of Israel, “Put your hand on the bow.” When he did, Elisha laid his hands on the king’s hands.|Keep the hands-on-hands action without explaining its mechanism.
13:17|“Open the window toward the east,” he said, and the king opened it. Elisha said, “Shoot!” He shot. Then Elisha said, “The LORD’s arrow of victory, an arrow of victory over Aram! You will strike Aram at Aphek until you have finished them.”|Retain direction, place, and doubled victory interpretation.
13:18|Then he said, “Take the arrows.” He took them. Elisha told the king of Israel, “Strike the ground.” He struck three times and stopped.|Preserve the three strikes without deciding whether arrows were shot or struck by hand.
13:19|The man of God was angry with him. “You should have struck five or six times!” he said. “Then you would have struck Aram until you had finished them. Now you will strike Aram only three times.”|Keep the unannounced numerical expectation and limited outcome.
13:20|Elisha died, and they buried him. Moabite raiding bands used to enter the land at the turn of the year.|Retain the seasonal expression without supplying an exact month.
13:21|Once, while people were burying a man, they saw a raiding band. They threw the man into Elisha’s tomb. When his body touched Elisha’s bones, he came to life and stood on his feet.|Preserve the accidental contact and bodily restoration without doctrinal additions.
13:22|Hazael king of Aram oppressed Israel throughout Jehoahaz’s reign.|Keep the full duration of oppression.
13:23|But the LORD was gracious to them, had compassion on them, and turned toward them because of his covenant with Abraham, Isaac, and Jacob. He was unwilling to destroy them, and until then he had not cast them out of his presence.|Preserve the three patriarchs and the temporal qualification until then.
13:24|Hazael king of Aram died, and his son Ben-hadad became king in his place.|Keep the Aramean succession.
13:25|Jehoash son of Jehoahaz took back from Ben-hadad son of Hazael the towns Hazael had taken from his father Jehoahaz in war. Joash defeated him three times and recovered Israel’s towns.|Keep the three victories as fulfillment of the arrow sign.
14:1|In the second year of Joash son of Joahaz, king of Israel, Amaziah son of Joash became king of Judah.|Keep the source’s shortened Joahaz and distinguish the two Joashes.
14:2|He was twenty-five years old when he became king, and he reigned in Jerusalem for twenty-nine years. His mother’s name was Jehoaddan, from Jerusalem.|Follow the read form of the mother’s name and retain both ages.
14:3|He did what was right in the LORD’s eyes, though not like his ancestor David. He did everything as his father Joash had done.|Distinguish David as ancestor from the immediate father.
14:4|Yet the high places were not removed. The people still sacrificed and burned offerings there.|Repeat the recurring qualification consistently.
14:5|Once the kingdom was secure in his hands, he struck down the servants who had killed his father the king.|Retain the timing of the executions.
14:6|But he did not put the killers’ sons to death, in keeping with what is written in the Book of Moses’ Instruction, where the LORD commanded: “Fathers must not be put to death for their children, nor children for their fathers. Each must be put to death for their own sin.”|Preserve the quoted individual-liability rule and its Torah attribution.
14:7|He struck down ten thousand Edomites in the Valley of Salt and captured Sela in battle. He named it Joktheel, the name it bears to this day.|Keep the casualty count and renamed place.
14:8|Then Amaziah sent messengers to Jehoash son of Jehoahaz, son of Jehu, king of Israel: “Come, let us meet face to face.”|Retain the face-to-face challenge and full lineage.
14:9|Jehoash king of Israel sent this reply to Amaziah king of Judah: “A thistle in Lebanon sent word to a cedar in Lebanon, ‘Give your daughter to my son as his wife.’ Then a wild animal in Lebanon passed by and trampled the thistle.|Preserve the entire fable and repeated Lebanon setting.
14:10|You have indeed defeated Edom, and your heart has lifted you up. Enjoy your glory and stay home. Why stir up trouble and bring yourself down, and Judah with you?”|Keep the heart image and threat to the wider kingdom.
14:11|But Amaziah would not listen. Jehoash king of Israel advanced, and he and Amaziah king of Judah met face to face at Beth-shemesh in Judah.|Repeat face to face as the challenge becomes battle.
14:12|Judah was defeated by Israel, and everyone fled to his tents.|Retain the tents idiom.
