6:1|David again gathered Israel’s chosen men, thirty thousand of them.|Retains renewed gathering and the full troop count.
13:39|King David longed to go out to Absalom, for he had found comfort over Amnon’s death.|Uses the common supplied sense of longing while flagging the incomplete Hebrew construction for a note.
14:1|Joab son of Zeruiah knew that the king’s heart was turned toward Absalom.|Keeps heart language and its relation to the preceding difficult verse.
14:2|Joab sent to Tekoa for a wise woman and told her, “Pretend to be in mourning. Put on mourning clothes and do not anoint yourself with oil. Act like a woman who has mourned for the dead a long time.|Keeps the staged performance explicit rather than presenting her account as history.
14:3|Go to the king and speak to him as I tell you.” Then Joab put the words in her mouth.|Preserves the mouth image and Joab’s authorship of the appeal.
14:4|The woman from Tekoa spoke to the king. She fell facedown to the ground, bowed, and said, “Help me, O king!”|Follows pinned spoke rather than silently emending to came.
14:5|The king asked her, “What is wrong?” She answered, “I am a widow. My husband is dead.|Keeps the king’s opening and her claimed condition in direct speech.
14:6|Your servant had two sons. They fought in the field, and there was no one to separate them. One struck the other and killed him.|Retains two sons, absence of intervention, and killing without inventing intent.
14:7|Now the whole clan has risen against your servant. They say, ‘Hand over the one who struck down his brother. We will put him to death for his brother’s life, which he took, and destroy the heir as well.’ They would quench the last ember I have left, leaving my husband no name or survivor on the face of the earth.”|Preserves the clan’s quoted inheritance language and the ember image.
14:8|The king told the woman, “Go home. I will give orders concerning you.”|Keeps the initial general promise distinct from the later oath.
14:9|The woman from Tekoa said, “My lord the king, let the guilt rest on me and my father’s house. May the king and his throne be innocent.”|Preserves her offered liability and the royal throne language.
14:10|The king answered, “If anyone speaks against you, bring him to me. He will not trouble you again.”|Keeps protection directed against the threatening person.
14:11|She said, “Please invoke the LORD your God, so the avenger of blood will not add to the destruction and they will not kill my son.” He answered, “As the LORD lives, not one hair of your son’s head will fall to the ground.”|Retains avenger of blood as a biblical term and the exact protective oath image.
14:12|Then the woman said, “Please let your servant say one more thing to my lord the king.” “Speak,” he answered.|Preserves the transition from fictional petition to its application.
14:13|The woman said, “Why, then, have you planned such a thing against God’s people? In saying what he has said, the king stands guilty, since he does not bring back the one he has banished.|Keeps her accusation and reasoning as persuasive speech rather than narrator judgment.
14:14|We must all die. We are like water spilled on the ground that cannot be gathered up again. Yet God does not take away a life; he devises ways so that someone banished need not remain banished from him.|Retains the difficult assertion about God without substituting an alternative text or turning it into doctrine.
14:15|I have come to say this to my lord the king because the people have frightened me. Your servant thought, ‘I will speak to the king. Perhaps he will do what his servant asks.|Keeps her expressed fear and tentative hope within the devised appeal.
14:16|The king will listen and rescue his servant from the hand of the man who would destroy both me and my son from God’s inheritance.’|Preserves rescue from a hand and the inheritance connection.
14:17|Your servant also thought, ‘May the word of my lord the king bring rest, for my lord the king is like an angel of God in hearing good and evil.’ May the LORD your God be with you.”|Keeps angelic flattery and hearing language without making the king infallible.
14:18|The king answered the woman, “Do not hide anything I am about to ask you.” She said, “Let my lord the king speak.”|Retains the demand for disclosure and respectful reply.
14:19|The king asked, “Is Joab’s hand in all this with you?” The woman answered, “As surely as you live, my lord the king, no one can turn right or left from anything my lord the king says. Yes, your servant Joab commanded me; he put all these words in your servant’s mouth.|Preserves hand and mouth images and her admission of the script.
14:20|Your servant Joab did this to change the course of the matter. But my lord is wise, with the wisdom of an angel of God, and knows everything in the land.”|Unfolds change the face of the matter while keeping extravagant praise in her speech.
14:21|The king told Joab, “Very well. I grant this request. Go and bring back the young man Absalom.”|Keeps the authorized return and young-man designation.
14:22|Joab fell facedown to the ground, bowed, and blessed the king. He said, “Today your servant knows I have found favor in your eyes, my lord the king, because the king has done what your servant asked.”|Follows read your servant and retains favor-in-eyes language.
14:23|Then Joab went to Geshur and brought Absalom to Jerusalem.|Preserves the locations and completed return.
14:24|But the king said, “Let him go to his own house. He must not see my face.” So Absalom went to his own house and did not see the king’s face.|Keeps the repeated restriction and incomplete restoration.
14:25|No man in all Israel was praised for his beauty as much as Absalom. From the sole of his foot to the crown of his head, he had no blemish.|Retains the narrator’s physical description without equating beauty with character.
14:26|Whenever he cut his hair—he cut it each year because it grew heavy on him—he weighed it: two hundred shekels by the royal weight.|Keeps annual timing, reason, amount, and royal standard without modern conversion.
14:27|Absalom had three sons and one daughter named Tamar. She was a beautiful woman.|Retains the children without harmonizing the later no-son statement.
14:28|Absalom lived in Jerusalem for two full years without seeing the king’s face.|Keeps the second duration and repeated denied face.
14:29|He sent for Joab to send him to the king, but Joab refused to come. He sent a second time, and Joab still refused.|Preserves both summonses and refusals.
14:30|Then Absalom told his servants, “Look, Joab’s field is next to mine, and he has barley there. Go and set it on fire.” So Absalom’s servants set the field on fire.|Follows read imperative and keeps the destructive tactic explicit.
14:31|Joab got up and came to Absalom’s house. “Why have your servants burned my field?” he asked.|Retains the compelled visit and direct complaint.
14:32|Absalom answered Joab, “I sent word to you: ‘Come here, so I can send you to the king to ask, “Why did I come from Geshur? I would be better off still there.”’ Now let me see the king’s face. If I am guilty, let him put me to death.”|Clarifies the nested message while preserving the demand and death condition.
14:33|Joab went to the king and told him. The king summoned Absalom, who came and bowed facedown to the ground before him. Then the king kissed Absalom.|Keeps the final gesture without adding a declaration of forgiveness.
15:1|After this, Absalom provided himself with a chariot and horses, and fifty men to run ahead of him.|Retains the royal display and exact escort count.
15:2|He would rise early and stand beside the road to the gate. Whenever a man had a dispute to bring before the king for judgment, Absalom would call to him, “What town are you from?” The man would answer, “Your servant belongs to one of Israel’s tribes.”|Unfolds the habitual scene while retaining the nonspecific tribal reply.
15:3|Absalom would tell him, “Look, your claims are good and right, but the king has no one to hear you.”|Keeps the blanket endorsement and accusation as Absalom’s claims.
15:4|Then Absalom would say, “If only someone would make me judge in the land! Everyone with a dispute or claim could come to me, and I would give him justice.”|Preserves the personal promise and desire for judicial power.
15:5|Whenever a man approached to bow before him, Absalom would reach out, take hold of him, and kiss him.|Keeps the calculated physical familiarity without adding narrator motive.
15:6|Absalom did this to all the Israelites who came to the king for judgment. In this way he stole the hearts of the men of Israel.|Preserves the narrator’s stolen-hearts image and habitual scope.
15:7|At the end of forty years, Absalom said to the king, “Please let me go to Hebron and fulfill the vow I made to the LORD.|Retains pinned forty rather than silently substituting four; the starting point is unstated.
15:8|While your servant was living in Geshur in Aram, I made this vow: ‘If the LORD indeed brings me back to Jerusalem, I will worship the LORD.’”|Follows the read emphatic return and keeps the conditional vow.
15:9|The king told him, “Go in peace.” So he left for Hebron.|Preserves the peaceful dismissal before the conspiracy unfolds.
15:10|But Absalom sent secret messengers through all Israel’s tribes, saying, “When you hear the ram’s horn, announce, ‘Absalom is king in Hebron!’”|Keeps the coordinated signal and proclamation.
15:11|Two hundred men from Jerusalem went with Absalom as invited guests. They went innocently, knowing nothing of the affair.|Retains the number and explicit lack of complicity.
15:12|While offering sacrifices, Absalom sent for David’s adviser Ahithophel the Gilonite from his town of Giloh. The conspiracy grew strong, and more and more people joined Absalom.|Keeps sacrifice, adviser’s origin, and growing support in sequence.
15:13|A messenger came to David and said, “The hearts of the men of Israel have gone after Absalom.”|Retains heart language linking report to the narrator’s earlier assessment.
15:14|David told all his servants with him in Jerusalem, “Get up! We must flee, or none of us will escape Absalom. Hurry, before he overtakes us, brings disaster on us, and strikes the city with the edge of the sword.”|Keeps urgency, feared pursuit, and threatened harm to the city.
15:15|The king’s servants answered, “Your servants are ready to do whatever my lord the king chooses.”|Preserves collective readiness and courtly address.
15:16|The king left, with his whole household following him. He left ten women, his concubines, to look after the house.|Keeps ten women and their vulnerable position without anticipating later events.
15:17|The king set out with all the people following him, and they stopped at the last house.|Reads the distant-house expression spatially, leaving a possible place designation for the note.
15:18|All his servants passed beside him. All the Cherethites and Pelethites, and all six hundred Gittites who had followed him from Gath, passed in front of the king.|Retains each troop group and the six hundred from Gath.
15:19|The king said to Ittai the Gittite, “Why should you go with us too? Go back and stay with the king. You are a foreigner, an exile from your own place.|Keeps king without substituting Absalom into David’s wording and clarifies exile’s relation to home.
15:20|You arrived only yesterday. Should I make you wander with us today, when I myself do not know where I am going? Go back and take your brothers with you. May steadfast love and faithfulness be with you.”|Follows read causative wander and unfolds the elliptical blessing without importing a divine name.
15:21|Ittai answered the king, “As the LORD lives, and as my lord the king lives, wherever my lord the king may be, whether for death or for life, your servant will be there too.”|Retains both oaths and the death-life pledge.
15:22|David told Ittai, “Go on, then. Cross over.” So Ittai the Gittite crossed over with all his men and all the children with him.|Keeps children visible among the departing company.
15:23|The whole land wept aloud as all the people passed by. The king crossed the Kidron Valley, and all the people crossed toward the road into the wilderness.|Retains the collective lament and repeated crossing.
15:24|Zadok was there too, with all the Levites carrying the ark of God’s covenant. They set down the ark of God, and Abiathar came up, until all the people had finished leaving the city.|Keeps the awkward Abiathar action without replacing it with an unattested sacrifice.
15:25|The king told Zadok, “Take the ark of God back to the city. If I find favor in the LORD’s eyes, he will bring me back and let me see it and its dwelling again.|Preserves conditional return and refusal to carry the ark as assurance of victory.
15:26|But if he says, ‘I take no pleasure in you,’ here I am. Let him do to me what is good in his eyes.”|Keeps David’s expressed submission and repeated eyes language.
15:27|The king also said to Zadok the priest, “Are you not a seer? Return to the city in peace. Take your two sons with you: your son Ahimaaz and Abiathar’s son Jonathan.|Retains the difficult seer question and both fathers and sons.
15:28|Look, I will wait in the wilderness plains until word comes from you to inform me.”|Follows read plains rather than written crossings and retains the waiting plan.
15:29|So Zadok and Abiathar took the ark of God back to Jerusalem and stayed there.|Preserves the priests’ compliance and location.
15:30|David climbed the ascent of the Mount of Olives, weeping as he went, his head covered and his feet bare. Everyone with him covered his head and climbed, weeping.|Keeps the repeated ascent and embodied mourning.
15:31|David was told, “Ahithophel is among the conspirators with Absalom.” David said, “Please, LORD, turn Ahithophel’s counsel into foolishness.”|Makes the report intelligible and preserves the prayer’s counsel-foolishness opposition.
15:32|When David reached the summit, where God was worshiped, Hushai the Archite met him with his tunic torn and dirt on his head.|Leaves the worship practice nonspecific and retains Hushai’s mourning signs.
15:33|David told him, “If you cross over with me, you will be a burden to me.|Preserves the practical reason for sending Hushai back.
15:34|But if you return to the city and tell Absalom, ‘I will be your servant, O king; I was your father’s servant before, but now I am yours,’ you can frustrate Ahithophel’s counsel for me.|Keeps the proposed deceptive speech separate from Hushai’s actual later wording.
15:35|Won’t the priests Zadok and Abiathar be there with you? Tell them everything you hear from the king’s house.|Retains the priests’ role as recipients of intelligence.
15:36|Their two sons are there with them: Zadok’s son Ahimaaz and Abiathar’s son Jonathan. Send me everything you hear through them.”|Repeats names and relationships because they establish the message route.
15:37|So Hushai, David’s friend, entered the city as Absalom was entering Jerusalem.|Keeps friend designation and the parallel arrivals.
16:1|David had gone a little beyond the summit when Ziba, Mephibosheth’s servant, met him. He had a pair of saddled donkeys loaded with two hundred loaves, a hundred raisin cakes, a hundred portions of summer fruit, and a skin of wine.|Retains all quantities and avoids identifying the unspecified summer fruit as a particular species.
16:2|The king asked Ziba, “What are these for?” Ziba answered, “The donkeys are for the king’s household to ride. The bread and summer fruit are for the young men to eat, and the wine is for those who grow faint in the wilderness.”|Follows read bread and preserves the stated uses of the provisions.
16:3|The king asked, “Where is your master’s grandson?” Ziba answered, “He is staying in Jerusalem. He said, ‘Today the house of Israel will restore my grandfather’s kingdom to me.’”|Clarifies Saul’s relationship while keeping the disputed accusation in Ziba’s report.
16:4|The king told Ziba, “Everything belonging to Mephibosheth is now yours.” Ziba said, “I bow before you. May I find favor in your eyes, my lord the king.”|Retains the immediate property ruling and deferential response.
16:5|As King David came to Bahurim, a man from Saul’s clan came out. His name was Shimei son of Gera, and he kept cursing as he came.|Preserves kin affiliation and sustained cursing.
16:6|He threw stones at David and all King David’s servants, though all the people and all the warriors were on David’s right and left.|Keeps the attack and surrounding escort without making the warriors Shimei’s supporters.
16:7|As he cursed, Shimei shouted, “Get out! Get out, you man of blood, you worthless man!|Retains the doubled expulsion and blood accusation.
16:8|The LORD has brought back on you all the blood of Saul’s house, in whose place you became king. The LORD has put the kingdom into your son Absalom’s hand. Now disaster has caught you, because you are a man of blood.”|Keeps the alleged divine retribution as Shimei’s interpretation.
16:9|Abishai son of Zeruiah said to the king, “Why should this dead dog curse my lord the king? Let me go over and take off his head.”|Preserves the insulting animal image and proposed beheading.
16:10|The king answered, “What do you and I have to do with this, sons of Zeruiah? Let him curse. If the LORD has told him, ‘Curse David,’ who can ask, ‘Why have you done this?’”|Follows read let him thus curse and retains the possible divine commission as David’s reasoning.
16:11|David told Abishai and all his servants, “Look, my own son, who came from my body, is seeking my life. How much more this Benjaminite! Leave him alone and let him curse, for the LORD has told him to.|Keeps biological-son emphasis and David’s stronger attribution in this verse.
16:12|Perhaps the LORD will see my tears and repay me with good for the curse on me today.”|Renders read my eye through its probable tearful sense; written my guilt and the uncertainty require a note.
16:13|David and his men continued along the road. Shimei walked along the hillside opposite him, cursing, throwing stones toward him, and flinging dust.|Keeps all three continuing hostile actions.
16:14|The king and all the people with him arrived exhausted, and he refreshed himself there.|Retains exhaustion without inserting an unnamed destination.
16:15|Meanwhile, Absalom and all the men of Israel entered Jerusalem, with Ahithophel beside him.|Keeps the rival party’s arrival and adviser’s presence.
16:16|When Hushai the Archite, David’s friend, came to Absalom, he said, “Long live the king! Long live the king!”|Preserves friend identification and doubled acclamation without resolving its potential double meaning.
16:17|Absalom asked Hushai, “Is this your steadfast love for your friend? Why didn’t you go with your friend?”|Keeps the repeated friend and challenge to loyalty.
16:18|Hushai answered Absalom, “No. I belong to the one whom the LORD, these people, and all the men of Israel have chosen. I will stay with him.|Follows read to him and leaves the chosen one unnamed in Hushai’s answer.
16:19|Besides, whom should I serve? Shouldn’t I serve before his son? Just as I served before your father, so I will serve before you.”|Keeps the continuity claim and repeated service language.
16:20|Absalom said to Ahithophel, “Give us your counsel. What should we do?”|Preserves the invitation to counsel that begins the next decisive action.
16:21|Ahithophel told Absalom, “Sleep with your father’s concubines, whom he left to look after the house. All Israel will hear that you have become a stench to your father, and the hands of all who are with you will grow strong.”|Makes the sexual instruction explicit and retains stench and strengthened-hands images.
16:22|They pitched a tent for Absalom on the roof, and he slept with his father’s concubines in the sight of all Israel.|Keeps the public sexual act without inventing the women’s consent or reported words.
16:23|In those days, Ahithophel’s counsel was treated like an answer received by someone consulting God. That was how all his counsel was regarded by both David and Absalom.|Follows supplied read someone and distinguishes perceived authority from narrator endorsement of every counsel.
17:1|Ahithophel said to Absalom, “Please let me choose twelve thousand men. I will set out and pursue David tonight.|Retains the proposed force and immediate pursuit.
17:2|I will come upon him while he is weary and his hands are weak. I will throw him into panic, and everyone with him will flee. Then I will strike down the king alone.|Keeps weakened hands, planned panic, and the single intended target.
17:3|I will bring all the people back to you. Bringing everyone back depends on the man you are seeking. Then all the people will be at peace.”|Unfolds the difficult compressed middle clause without importing a bride simile from another witness.
17:4|The proposal seemed right to Absalom and all Israel’s elders.|Preserves their initial approval.
17:5|But Absalom said, “Please call Hushai the Archite too. Let us hear what he has to say as well.”|Keeps the second consultation that changes the decision.
17:6|Hushai came to Absalom, who told him, “This is what Ahithophel has proposed. Should we do as he says? If not, you tell us.”|Retains the request for an alternative without repeating an unquoted plan.
17:7|Hushai answered Absalom, “This time, Ahithophel’s counsel is not good.”|Preserves this-time qualification rather than denying all his wisdom.
17:8|Hushai continued, “You know your father and his men. They are warriors, bitter in spirit, like a bear robbed of her cubs in the field. Your father is a man of war; he will not spend the night with the people.|Keeps the bereaved-bear image and the adviser’s claims about David’s tactics.
17:9|Even now he is hiding in one of the pits or some other place. If some of your men fall in the first attack, anyone who hears will say, ‘There has been a slaughter among Absalom’s followers.’|Clarifies the threatened casualties while retaining the imagined report as speech.
17:10|Then even the brave man whose heart is like a lion’s will melt with fear. All Israel knows that your father is a warrior and that the men with him are brave.|Preserves lion-heart and melting images and the appeal to reputation.
17:11|My counsel is this: gather all Israel around you, from Dan to Beer-sheba, as countless as the sand by the sea. And you yourself should go into battle.|Keeps full-land extent, sand comparison, and Absalom’s personal participation.
17:12|Then we will come upon David wherever he is found and settle on him like dew falling on the ground. Neither he nor any of the men with him will survive—not one.|Retains the dew image and promised total killing, contrasting the first plan’s single target.
17:13|If he withdraws into a city, all Israel will bring ropes to that city, and we will drag it into the valley until not even a pebble can be found there.”|Keeps the extravagant ropes-and-pebble picture as Hushai’s rhetoric.
17:14|Absalom and all the men of Israel said, “Hushai the Archite’s counsel is better than Ahithophel’s.” For the LORD had determined to frustrate Ahithophel’s good counsel so that the LORD might bring disaster on Absalom.|Retains the narrator’s assessment of good counsel and divine purpose distinctly from the characters’ verdict.
17:15|Hushai told the priests Zadok and Abiathar, “Ahithophel advised Absalom and Israel’s elders in this way, and I advised them in that way.|Keeps the summary report without inventing further dialogue.
17:16|Now send quickly and tell David, ‘Do not spend tonight in the wilderness plains. Be sure to cross over, or the king and everyone with him may be swallowed up.’”|Preserves urgent crossing and the swallowed-up image.
17:17|Jonathan and Ahimaaz were staying at En-rogel. A slave woman would go and give them the news, and they would take it to King David, since they could not risk being seen entering the city.|Keeps the enslaved woman’s essential role and the reason for the relay.
17:18|But a young man saw them and told Absalom. The two hurried away to the house of a man in Bahurim. He had a well in his courtyard, and they climbed down into it.|Preserves discovery, flight, and the specific hiding place.
17:19|The woman of the house took a covering, spread it over the well’s opening, and scattered crushed grain on it. Nothing was noticed.|Keeps her concealment method without adding an unmentioned drying purpose.
17:20|Absalom’s servants came to the woman’s house and asked, “Where are Ahimaaz and Jonathan?” She told them, “They have crossed the water channel.” They searched but found no one, then returned to Jerusalem.|Retains her misleading answer and leaves the rare water expression modestly general.
17:21|After they left, the two climbed out of the well and went to inform King David. They told him, “Get up and cross the water quickly, because this is what Ahithophel has advised against you.”|Keeps the warning focused on Ahithophel’s plan despite the rival advice.
17:22|David and everyone with him got up and crossed the Jordan. By daybreak, not one person remained who had not crossed the Jordan.|Preserves the repeated river and complete crossing before dawn.
17:23|When Ahithophel saw that his counsel had not been followed, he saddled his donkey and went home to his own town. He put his household in order, hanged himself, and died. He was buried in his father’s tomb.|States the death plainly without adding a motive beyond the narrative sequence or procedural detail.
17:24|David reached Mahanaim, while Absalom crossed the Jordan with all the men of Israel.|Keeps the two armies’ movements distinct.
17:25|Absalom had appointed Amasa over the army in Joab’s place. Amasa was the son of a man named Ithra the Israelite, who had slept with Abigail daughter of Nahash, the sister of Joab’s mother Zeruiah.|Preserves pinned Ithra the Israelite and Nahash rather than harmonizing the parallel genealogy.
17:26|Absalom and Israel camped in the land of Gilead.|Retains the camp location without adding a city.
17:27|When David came to Mahanaim, Shobi son of Nahash from Rabbah of the Ammonites, Machir son of Ammiel from Lo-debar, and Barzillai the Gileadite from Rogelim|Keeps all three suppliers and their origins; the sentence continues across verse labels.
17:28|brought bedding, basins, pottery, wheat, barley, flour, roasted grain, beans, lentils, and more roasted grain,|Preserves the repeated roasted item rather than silently deleting it.
17:29|as well as honey, curds, sheep, and cheese from the herd, for David and the people with him to eat. They said, “The people are hungry, weary, and thirsty in the wilderness.”|Uses the probable dairy sense of the difficult herd product and retains all three needs.
18:1|David mustered the people with him and appointed commanders over thousands and over hundreds.|Keeps both levels of military organization.
18:2|He sent the army out in thirds: one under Joab, one under Joab’s brother Abishai son of Zeruiah, and one under Ittai the Gittite. The king told the people, “I will certainly go out with you too.”|Preserves the three equal divisions and emphatic royal intention.
18:3|But the people said, “You must not go. If we flee, they will pay no attention to us. Even if half of us die, they will pay no attention to us. As things stand, there are ten thousand like us. It is better for you to help us from the city.”|Retains pinned now in the difficult numerical clause rather than silently changing it to you; the familiar alternative requires a note.
18:4|The king answered, “I will do what seems best to you.” He stood beside the gate as all the people marched out by hundreds and thousands.|Keeps the accepted advice and review at the gate.
18:5|The king commanded Joab, Abishai, and Ittai, “For my sake, deal gently with the young man Absalom.” All the people heard the king give the commanders this order about Absalom.|Retains the public nature of the order, essential to the later refusal.
18:6|The army went into the field to meet Israel, and the battle took place in the forest of Ephraim.|Keeps the opponents’ narrative designations and forest name.
18:7|There Israel’s army was defeated by David’s servants. The slaughter that day was great: twenty thousand men.|Preserves the full death count and its force.
18:8|The battle spread across the whole region. That day the forest devoured more people than the sword did.|Follows read spread and preserves the devouring forest without inventing mechanisms of death.
18:9|Absalom encountered David’s servants while riding his mule. The mule went under the tangled branches of a great terebinth, and his head caught in the tree. He was left hanging between heaven and earth while the mule beneath him went on.|Retains head rather than substituting hair and preserves heaven-earth suspension.
18:10|A man saw it and told Joab, “I saw Absalom hanging in a terebinth!”|Keeps the eyewitness report and tree continuity.
18:11|Joab said to the man who told him, “You saw him? Why didn’t you strike him to the ground there? I would have given you ten pieces of silver and a belt.”|Retains both promised rewards and Joab’s challenge.
18:12|The man answered Joab, “Even if a thousand pieces of silver were weighed into my hands, I would not raise my hand against the king’s son. We heard the king command you, Abishai, and Ittai, ‘Take care that no one harms the young man Absalom.’|Follows read even if and unfolds the difficult warning without changing its protective force.
18:13|If I had acted treacherously and risked my own life, nothing would have been hidden from the king, and you would have stood aside.”|Follows read my life rather than written his life and preserves his distrust of Joab.
18:14|Joab said, “I will not waste time here with you.” He took three shafts in his hand and drove them into Absalom’s heart while he was still alive in the heart of the terebinth.|Keeps three weapons, continued life, and repeated heart image.
18:15|Then ten young men who carried Joab’s weapons surrounded Absalom, struck him, and killed him.|Retains the distinct final killing by ten attendants.
18:16|Joab blew the ram’s horn, and the army stopped pursuing Israel, for Joab held the people back.|Keeps signal, halted pursuit, and commander’s agency.
18:17|They took Absalom and threw him into a great pit in the forest, then raised a huge pile of stones over him. All Israel fled, each man to his own tent.|Preserves disposal, stone heap, and dispersal.
18:18|During his lifetime, Absalom had set up a pillar for himself in the King’s Valley. He said, “I have no son to keep my name in remembrance.” He named the pillar after himself, and to this day it is called Absalom’s Monument.|Retains the no-son statement without inventing a reconciliation with 14:27.
18:19|Ahimaaz son of Zadok said, “Please let me run and bring the king the good news that the LORD has vindicated him against his enemies.”|Keeps the messenger’s favorable interpretation before the king’s grief.
18:20|Joab told him, “You are not the man to carry news today. You may carry news another day, but today you must not, because the king’s son is dead.”|Retains the repeated today and reason for refusing him.
18:21|Then Joab told the Cushite, “Go and tell the king what you have seen.” The Cushite bowed to Joab and ran.|Keeps Cushite as an origin designation without adding a personal name or status.
18:22|Ahimaaz son of Zadok again said to Joab, “Whatever happens, please let me run after the Cushite too.” Joab asked, “Why do you want to run, my son? This news will bring you no reward.”|Uses the probable reward sense of news that finds while marking its uncertainty for a note.
18:23|“Whatever happens, I will run.” Joab said, “Run.” Ahimaaz ran by the plain road and overtook the Cushite.|Preserves repeated determination and the route that allows him to pass.
18:24|David was sitting between the two gates. The watchman went up to the roof of the gate by the wall, looked out, and saw a man running alone.|Keeps the gate setting and lone runner.
18:25|The watchman called down and told the king. The king said, “If he is alone, he has news to tell.” The runner kept coming closer.|Preserves David’s inference and the gradual approach.
18:26|The watchman saw another man running and called to the gatekeeper, “Another man is running alone!” The king said, “He is bringing news too.”|Keeps the separate sighting and relay through the gatekeeper.
18:27|The watchman said, “The first man runs like Ahimaaz son of Zadok.” The king answered, “He is a good man. He must be coming with good news.”|Retains David’s good-man/good-news inference without confirming it as fact.
18:28|Ahimaaz called to the king, “All is well!” He bowed facedown to the ground before the king and said, “Blessed be the LORD your God! He has handed over the men who raised their hand against my lord the king.”|Keeps peace greeting, homage, and raised-hand image.
18:29|The king asked, “Is the young man Absalom well?” Ahimaaz answered, “I saw a great commotion when Joab sent the king’s servant and me, your servant, but I did not know what it was.”|Retains his evasive account and the source’s two-servant wording without collapsing it.
18:30|The king said, “Step aside and stand here.” So he stepped aside and stood there.|Keeps the repeated compliance that leaves the first runner waiting.
18:31|Then the Cushite arrived and said, “Good news for my lord the king! Today the LORD has vindicated you against all who rose against you.”|Preserves the second messenger’s victory announcement.
18:32|The king asked the Cushite, “Is the young man Absalom well?” The Cushite answered, “May my lord the king’s enemies, and all who rise against you to do harm, become like that young man.”|Keeps the indirect death report and exact repeated royal question.
18:33|The king trembled. He went up to the room above the gate and wept. As he went, he cried, “My son Absalom! My son, my son Absalom! If only I had died instead of you! Absalom, my son, my son!”|Binds public 18:33 to Hebrew 19:1 and preserves every repeated my son in the lament.
19:1|Joab was told, “The king is weeping and mourning for Absalom.”|Binds to Hebrew 19:2 and keeps the report that prompts Joab’s intervention.
19:2|That day, victory became mourning for the whole army, because they heard that the king was grieving for his son.|Retains the reversal of victory into mourning and its stated cause.
19:3|The people slipped into the city that day like men ashamed because they had fled from battle.|Preserves the shame comparison without claiming they had actually lost.
19:4|The king covered his face and cried aloud, “My son Absalom! Absalom, my son, my son!”|Keeps the renewed lament and all repeated family language.
19:5|Joab went into the house to the king and said, “Today you have shamed all your servants, who today saved your life and the lives of your sons, your daughters, your wives, and your concubines.|Retains every household group and Joab’s confrontational claim.
19:6|You love those who hate you and hate those who love you! Today you have made it clear that commanders and servants mean nothing to you. I can see that if Absalom were alive and all of us dead today, you would be pleased.|Follows read if and keeps Joab’s accusatory inference distinct from narrative fact.
19:7|Now get up, go out, and speak to your servants’ hearts. I swear by the LORD that if you do not go out, not one man will stay with you tonight. That would be worse for you than all the troubles that have come on you from your youth until now.”|Preserves heart-directed speech, oath, and threatened desertion.
19:8|The king got up and sat at the gate. The people were told, “The king is sitting at the gate,” and they all came before him. Meanwhile, the Israelites had fled, each to his own tent.|Keeps the public reappearance and distinct notice about the defeated Israelites.
19:9|Throughout Israel’s tribes, all the people were arguing: “The king rescued us from our enemies and delivered us from the Philistines. But now he has fled the land because of Absalom.|Retains the people’s competing memories of rescue and flight.
19:10|And Absalom, whom we anointed over us, has died in battle. Why, then, are you silent about bringing the king back?”|Keeps their acknowledgment of Absalom’s anointing and appeal for David’s return.
19:11|King David sent word to the priests Zadok and Abiathar: “Speak to Judah’s elders. Ask them, ‘Why should you be the last to bring the king back to his house?’” What all Israel was saying had reached the king at his house.|Retains the house reference and message report without moving the king to Jerusalem prematurely.
19:12|“You are my brothers, my own bone and flesh. Why should you be the last to bring the king back?|Keeps the kinship appeal and repeated last-to-return question.
19:13|And tell Amasa, ‘Are you not my own bone and flesh? May God do this to me and more if you do not serve before me as commander of the army from now on in Joab’s place.’”|Preserves the oath and consequential replacement of Joab.
19:14|He turned the hearts of all Judah’s men as one man. They sent word to the king, “Come back, you and all your servants.”|Keeps heart-turning and unity without unnecessarily naming the ambiguous immediate agent.
19:15|So the king began his return and reached the Jordan. Judah came to Gilgal to meet him and bring him across the Jordan.|Preserves the stages and repeated river crossing.
19:16|Shimei son of Gera, the Benjaminite from Bahurim, hurried down with Judah’s men to meet King David.|Keeps identity and urgency linking him to the earlier cursing scene.
19:17|A thousand Benjaminites were with him. Ziba, the servant of Saul’s house, also came with his fifteen sons and twenty servants. They rushed across the Jordan ahead of the king.|Retains every count and both parties without merging their allegiance claims.
19:18|The crossing party went over to bring the king’s household across and do whatever he wished. Shimei son of Gera fell before the king as he was crossing the Jordan.|Reads the difficult crossing noun as a party rather than asserting a ferryboat; the crossing subject remains open.
19:19|He said to the king, “My lord, do not hold me guilty. Do not remember the wrong your servant did on the day my lord the king left Jerusalem. May the king not take it to heart.|Keeps guilt, remembrance, and heart language in Shimei’s plea.
19:20|Your servant knows that I have sinned. That is why I have come down today, the first of all Joseph’s house to meet my lord the king.”|Preserves Joseph’s house despite Shimei’s Benjaminite identity.
19:21|Abishai son of Zeruiah answered, “Shouldn’t Shimei be put to death for this? He cursed the LORD’s anointed!”|Keeps the explicit execution proposal and anointed term.
19:22|David said, “What do you and I have to do with this, sons of Zeruiah? Why should you become my adversaries today? Should anyone in Israel be put to death today? Do I not know that today I am king over Israel?”|Keeps repeated today and renders satan as the human adversary designation in context.
19:23|The king told Shimei, “You will not die,” and gave him his oath.|Retains the unconditional wording of the spoken oath without importing later qualifications.
