2:1|As David’s death drew near, he gave his son Solomon these instructions:|Introduces the approaching death and direct charge without archaic timing.
7:45|and the pots, shovels, and bowls. All these utensils that Hiram made for King Solomon for the LORD’s house were of polished bronze.|Follows the read these form and retains polished material.
7:46|The king had them cast in the clay ground of the Jordan plain between Succoth and Zarethan.|Keeps production method and both geographic limits.
7:47|Solomon left all the utensils unweighed because there were so many. The weight of the bronze was not determined.|Preserves the emphatic quantity and unspecified total.
7:48|Solomon made all the furnishings for the LORD’s house: the gold altar; the gold table for the bread of the Presence;|Keeps the sacred bread designation and gold items.
7:49|the pure-gold lampstands, five on the right and five on the left before the inner sanctuary; the gold flowers, lamps, and tongs;|Preserves the five/five arrangement and accessory list.
7:50|the cups, snuffers, bowls, dishes, and firepans of pure gold; and the gold sockets for the doors of the innermost room, the Most Holy Place, and for the doors of the main hall.|Retains all utensils and both sets of door fittings.
7:51|When all King Solomon’s work on the LORD’s house was finished, he brought in the things his father David had dedicated. He placed the silver, gold, and utensils in the treasuries of the LORD’s house.|Keeps completion and inherited dedicated property distinct.
8:1|Then Solomon assembled Israel’s elders, all the tribal heads and leaders of the ancestral families of the Israelites, before King Solomon in Jerusalem. They were to bring up the ark of the LORD’s covenant from the City of David, which is Zion.|Preserves leadership groups and identifies Zion without erasing the formal royal repetition.
8:2|All the men of Israel gathered before King Solomon at the festival in Ethanim, the seventh month.|Keeps the gendered assembly and both month designations.
8:3|When all Israel’s elders had arrived, the priests lifted the ark.|Retains elders’ arrival before the priests’ action.
8:4|They brought up the LORD’s ark, the tent of meeting, and all the holy utensils in the tent. The priests and Levites brought them up.|Keeps all transported objects and both groups.
8:5|King Solomon and the whole assembly of Israel gathered with him stood before the ark, sacrificing so many sheep and cattle that they could not be counted or numbered.|Retains the repeated counting language and abundance.
8:6|The priests brought the ark of the LORD’s covenant to its place in the house’s inner sanctuary, the Most Holy Place, beneath the cherubim’s wings.|Keeps the nested sacred locations understandable.
8:7|The cherubim spread their wings over the ark’s place, sheltering the ark and its poles from above.|Retains the covering action and poles.
8:8|The poles were so long that their ends could be seen from the Holy Place in front of the inner sanctuary, but not from outside. They are there to this day.|Preserves visibility limits and the narrator’s temporal viewpoint.
8:9|Nothing was in the ark except the two stone tablets Moses had placed there at Horeb, where the LORD made a covenant with the Israelites when they left Egypt.|Keeps the exclusive contents statement without harmonizing other passages.
8:10|When the priests came out of the Holy Place, the cloud filled the LORD’s house.|Retains the sequence of departure and cloud.
8:11|The priests could not stand to minister because of the cloud, for the LORD’s glory filled the LORD’s house.|Keeps inability to minister and repeated divine Name.
8:12|Then Solomon said, “The LORD said he would dwell in thick darkness.|Preserves the darkness image in the opening declaration.
8:13|I have indeed built you a lofty house,\na settled place for you to dwell forever.”|Keeps the emphatic claim and poetic parallel.
8:14|The king turned and blessed the whole assembly of Israel while they stood.|Makes the change of audience explicit.
8:15|He said, “Blessed be the LORD, Israel’s God! With his own mouth he spoke to my father David, and with his own hand he fulfilled it. He said:|Retains the mouth/hand correspondence.
8:16|‘From the day I brought my people Israel out of Egypt, I chose no city among all Israel’s tribes in which to build a house for my name. But I chose David to be over my people Israel.’|Keeps city and David election distinct; adds no missing parallel material.
8:17|My father David had it in his heart to build a house for the name of the LORD, Israel’s God.|Retains the heart intention and Name formula.
8:18|But the LORD told my father David, ‘You did well to have it in your heart to build a house for my name.|Preserves the commendation of the intention.
8:19|Still, you will not build the house. Your son, who comes from your own body, will build the house for my name.’|Makes bodily descent natural without removing it.
8:20|The LORD has fulfilled the word he spoke. I have risen in my father David’s place and sit on Israel’s throne, as the LORD promised. I have built the house for the name of the LORD, Israel’s God,|Keeps succession and building as the speaker’s fulfillment account.
8:21|and made a place there for the ark containing the LORD’s covenant, which he made with our ancestors when he brought them out of Egypt.”|Preserves covenant as the tablets’ designation.
8:22|Solomon stood before the LORD’s altar in front of the whole assembly of Israel and spread his hands toward heaven.|Keeps public location and bodily prayer posture.
8:23|He said, “LORD, Israel’s God, there is no God like you in heaven above or on earth below. You keep covenant and steadfast love with your servants who walk before you with all their heart.|Retains covenant, steadfast love and wholehearted walking.
8:24|You kept what you promised your servant, my father David. Your mouth spoke it; your hand fulfilled it, as we see today.|Keeps the repeated mouth/hand image readable.
8:25|Now, LORD, Israel’s God, keep what you promised your servant, my father David: ‘You will never lack a man to sit before me on Israel’s throne, if only your sons watch their ways and walk before me as you have walked before me.’|Preserves the dynastic condition and repeated walking language.
8:26|And now, God of Israel, please confirm the word you spoke to your servant, my father David.|Follows the singular read form word.
8:27|“But will God really dwell on earth? Heaven, even the highest heavens, cannot contain you—how much less this house I have built!|Preserves the question challenging the building’s capacity.
8:28|Yet turn toward your servant’s prayer and plea, LORD my God. Listen to the cry and prayer your servant offers before you today.|Keeps paired prayer terms and petition for attention.
8:29|May your eyes be open toward this house night and day, toward the place where you said, ‘My name will be there.’ Hear the prayer your servant prays toward this place.|Retains eyes, Name and directional prayer.
8:30|Hear the plea of your servant and your people Israel when they pray toward this place. Hear from heaven, your dwelling place; hear and forgive.|Preserves the repeated hear and concluding forgive.
8:31|“When someone sins against a neighbor and is required to take an oath under a curse, and the oath comes before your altar in this house,|Makes the judicial oath’s curse explicit.
8:32|hear in heaven, act, and judge your servants. Condemn the guilty, bringing their conduct back on their own heads, and vindicate the righteous, giving them what their righteousness deserves.|Keeps both judicial outcomes and returning-conduct image.
8:33|“When your people Israel are defeated by an enemy because they have sinned against you, and they turn back to you, acknowledge your name, and pray and plead with you in this house,|Retains the stated causal claim and return sequence.
8:34|hear in heaven and forgive the sin of your people Israel. Bring them back to the land you gave their ancestors.|Keeps forgiveness and restoration distinct.
8:35|“When heaven is shut and no rain falls because they have sinned against you, and they pray toward this place, acknowledge your name, and turn from their sin because you have afflicted them,|Retains divine affliction and the closed-heaven image.
8:36|hear in heaven and forgive the sin of your servants, your people Israel. Teach them the good way to walk, and send rain on the land you gave your people as an inheritance.|Keeps teaching, walking, rain and inheritance connected.
8:37|“When famine or plague comes on the land, when there is blight, mildew, locusts or devouring locusts, when an enemy besieges them in the land at their gates—whatever plague or sickness there may be—|Preserves the full catalogue and difficult gates expression.
8:38|whatever prayer or plea is offered by any person or by all your people Israel, each knowing the affliction of their own heart and spreading their hands toward this house,|Preserves both individual and collective petition, and the affliction of each heart; focused reread restored the explicit collective scope.
8:39|hear in heaven, your dwelling place. Forgive and act. Give to each according to all their ways, for you know their hearts—you alone know the hearts of all humanity—|Keeps individual judgment and exclusive divine heart knowledge.
8:40|so they may fear you all the days they live on the land you gave our ancestors.|Retains fear and lifelong residence as the stated purpose.
8:41|“And as for the foreigner who does not belong to your people Israel but comes from a distant land because of your name—|Keeps the foreigner’s non-Israelite identity explicit.
8:42|for people will hear of your great name, your strong hand, and your outstretched arm—when that foreigner comes and prays toward this house,|Retains all three expressions of divine renown.
8:43|hear in heaven, your dwelling place, and do all the foreigner asks of you. Then all the peoples of the earth may know your name and fear you as your people Israel do, and know that this house I have built bears your name.|Preserves the expansive foreigner petition without adding conditions.
8:44|“When your people go to war against their enemy along the way you send them, and pray to the LORD toward the city you chose and the house I built for your name,|Keeps divine sending and directional prayer.
8:45|hear their prayer and plea in heaven, and uphold their cause.|Retains the judicial cause idiom.
8:46|“When they sin against you—for there is no one who does not sin—and you become angry with them and give them over to an enemy, so their captors take them to an enemy land, far away or near,|Preserves universal sin, divine anger and captivity without shortening.
8:47|and they come to their senses in the land where they are held captive, turn back, and plead with you there, saying, ‘We have sinned, done wrong, and acted wickedly,’|Retains the threefold confession and change of heart.
8:48|and they return to you with all their heart and all their being in the land of the enemies who captured them, and pray to you toward their own land, which you gave their ancestors, toward the city you chose and the house I built for your name,|Keeps wholehearted return and all three directional objects; follows read I built.
8:49|hear their prayer and plea in heaven, your dwelling place, and uphold their cause.|Preserves the repeated appeal formula.
8:50|Forgive your people who sinned against you, and all their rebellions against you. Grant them compassion in the eyes of their captors, so their captors will show them compassion.|Retains rebellion and repeated compassion, not an invented immediate release.
8:51|For they are your people and your inheritance, whom you brought out of Egypt, out of the iron furnace.|Keeps the furnace image and divine possession.
8:52|May your eyes be open to your servant’s plea and the plea of your people Israel. Listen whenever they call to you.|Preserves eyes and hearing together.
8:53|For you set them apart as your inheritance from all the peoples of the earth, just as you said through your servant Moses when you brought our ancestors out of Egypt, Lord GOD.”|Keeps election, mediation and the closing divine title.
8:54|When Solomon finished all this prayer and pleading to the LORD, he rose from before the LORD’s altar, where he had been kneeling with his hands spread toward heaven.|Retains the kneeling posture without harmonizing it into verse 22.
8:55|He stood and blessed the whole assembly of Israel in a loud voice:|Keeps the public blessing’s volume.
8:56|“Blessed be the LORD, who has given rest to his people Israel just as he promised! Not one word has failed of all the good he promised through his servant Moses.|Retains rest and the no-word-failed declaration.
8:57|May the LORD our God be with us as he was with our ancestors. May he never leave us or abandon us.|Keeps the paired abandonment pleas.
8:58|May he turn our hearts toward him, so we walk in all his ways and keep the commands, statutes, and judgments he gave our ancestors.|Retains divine heart-turning and three instruction terms.
8:59|May these words I have pleaded before the LORD remain close to the LORD our God day and night. May he uphold his servant’s cause and his people Israel’s cause, each day as it requires,|Keeps daily need and both parties’ causes.
8:60|so that all the peoples of the earth may know that the LORD is God. There is no other.|Preserves the universal purpose and exclusive claim.
8:61|Let your heart be wholly with the LORD our God, walking in his statutes and keeping his commands, as you do today.”|Keeps wholehearted devotion as an exhortation.
8:62|Then the king and all Israel with him offered sacrifices before the LORD.|Retains king and people acting together.
8:63|Solomon offered fellowship sacrifices to the LORD: twenty-two thousand cattle and a hundred twenty thousand sheep. So the king and all the Israelites dedicated the LORD’s house.|Preserves offering category and both extraordinary counts.
8:64|That day the king consecrated the middle of the court in front of the LORD’s house. There he offered burnt offerings, grain offerings, and the fat of fellowship offerings, because the bronze altar before the LORD was too small to hold them all.|Retains the extra consecrated space and practical reason.
8:65|At that time Solomon and all Israel with him celebrated the festival before the LORD our God—a great assembly from Lebo-hamath to the Wadi of Egypt—for seven days and another seven days, fourteen days in all.|Keeps all duration expressions and geographic limits.
8:66|On the eighth day he sent the people away. They blessed the king and went home to their tents, joyful and glad of heart for all the good the LORD had done for his servant David and his people Israel.|Retains the eighth-day wording and tents image without smoothing the chronology.
9:1|When Solomon finished building the LORD’s house, the king’s house, and everything else he had desired to make,|Retains all three completion objects.
9:2|the LORD appeared to him a second time, as he had appeared at Gibeon.|Keeps the numbered appearance and earlier setting.
9:3|The LORD said, “I have heard the prayer and plea you offered before me. I have consecrated this house you built, placing my name there forever. My eyes and my heart will be there always.|Preserves Name, eyes and heart in the response.
9:4|As for you, if you walk before me as your father David did, with integrity of heart and uprightness, doing all I command and keeping my statutes and judgments,|Keeps the conditional address to Solomon and moral terms.
9:5|I will establish your royal throne over Israel forever, as I promised your father David: ‘You will never lack a man on Israel’s throne.’|Retains the succession promise within its condition.
9:6|But if you and your descendants turn away from following me, fail to keep the commands and statutes I have set before you, and go to serve other gods and bow down to them,|Preserves plural responsibility and the turn to other gods.
9:7|I will cut Israel off from the land I gave them. This house, which I consecrated for my name, I will cast out of my sight. Israel will become a proverb and a taunt among all peoples.|Keeps the threat against both people and consecrated building.
9:8|And this house, high as it is, will leave everyone who passes it appalled and hissing. They will ask, ‘Why has the LORD done this to this land and this house?’|Retains high from the pin rather than silently replacing it with ruins.
9:9|The answer will be, ‘Because they abandoned the LORD their God, who brought their ancestors out of Egypt. They took hold of other gods, bowed down to them, and served them. That is why the LORD brought all this disaster on them.’”|Preserves the full explanation and divine agency.
9:10|At the end of the twenty years Solomon spent building the two houses—the LORD’s house and the king’s house—|Keeps the combined duration and two structures.
9:11|King Solomon gave Hiram twenty towns in Galilee. Hiram king of Tyre had supplied all the cedar, cypress, and gold Solomon wanted.|Clarifies the exchange’s background without labeling it an unstated debt settlement.
9:12|Hiram came from Tyre to see the towns Solomon had given him, but he was not pleased with them.|Retains his direct assessment.
9:13|“What are these towns you have given me, my brother?” he asked. He called them the land of Cabul, as it is called to this day.|Keeps diplomatic brother language and unexplained place name.
9:14|Hiram sent the king a hundred twenty talents of gold.|Retains the direction and amount of gold.
9:15|This is the account of the forced labor King Solomon conscripted to build the LORD’s house, his own house, the Millo, Jerusalem’s wall, Hazor, Megiddo, and Gezer.|Keeps coercion and the entire project list.
9:16|Pharaoh king of Egypt had attacked and captured Gezer. He burned it, killed the Canaanites living there, and gave it as a marriage gift to his daughter, Solomon’s wife.|Preserves massacre before the marriage gift, without euphemism.
9:17|Solomon rebuilt Gezer and Lower Beth-horon,|Keeps the two named projects.
9:18|Baalath, and Tadmor in the wilderness of the land,|Follows the read Tadmor while noting written Tamar.
9:19|as well as all his storage towns, the towns for chariots and horsemen, and whatever he desired to build in Jerusalem, Lebanon, and all the land he ruled.|Retains infrastructure types and geographic scope.
9:20|All the people remaining from the Amorites, Hittites, Perizzites, Hivites, and Jebusites, who were not Israelites—|Keeps all five peoples and the contrast.
9:21|their descendants left in the land, whom the Israelites had been unable to devote to destruction—Solomon subjected to forced slave labor, as they remain to this day.|Preserves destruction language and continuing enslavement.
9:22|But Solomon did not make slaves of the Israelites. They were his soldiers, servants, officers, aides, and commanders of his chariots and horsemen.|Retains this claim beside the earlier Israelite levy without harmonization.
9:23|There were five hundred fifty chief overseers of Solomon’s work, supervising the people who did it.|Keeps this count distinct from 5:16.
9:24|Pharaoh’s daughter moved up from the City of David to the house Solomon had built for her. Then he built the Millo.|Preserves the move and stated sequence.
9:25|Three times a year Solomon offered burnt offerings and fellowship offerings on the altar he had built for the LORD, burning offerings there before the LORD. So he completed the house.|Keeps the festival frequency and difficult completion clause.
9:26|King Solomon built a fleet at Ezion-geber, near Eloth, on the shore of the Sea of Reeds in Edom.|Retains the Hebrew sea name with geographic context.
9:27|Hiram sent experienced sailors from among his servants to work in the fleet with Solomon’s servants.|Makes maritime expertise clear.
9:28|They sailed to Ophir and brought back four hundred twenty talents of gold to King Solomon.|Preserves the pinned gold amount and destination.
10:1|The queen of Sheba heard of Solomon’s fame in connection with the LORD’s name. She came to test him with riddles.|Retains the divine-Name connection and testing purpose.
10:2|She arrived in Jerusalem with a very large retinue, camels carrying spices, a great quantity of gold, and precious stones. She came to Solomon and spoke with him about everything on her heart.|Preserves gifts and the heart’s full agenda.
10:3|Solomon answered all her questions. Nothing was hidden from the king that he could not explain to her.|Keeps the totality of his response.
10:4|When the queen of Sheba saw all Solomon’s wisdom, the house he had built,|Continues the long seeing list across verse labels.
10:5|the food at his table, his servants’ seating, his attendants at their posts and their clothing, his cupbearers, and the burnt offering he offered at the LORD’s house, she was left breathless.|Follows burnt offering while noting the alternative ascent reading.
10:6|She told the king, “The report I heard in my own land about your words and wisdom was true.|Keeps her own prior report distinct from observation.
10:7|But I did not believe it until I came and saw with my own eyes. Not even half was told to me! Your wisdom and prosperity exceed what I heard.|Retains disbelief, eyewitness recognition and half comparison.
10:8|How fortunate your men are! How fortunate these servants of yours, who stand before you always and hear your wisdom!|Keeps men from the pin, not a harmonized wives reading.
10:9|Blessed be the LORD your God, who delighted in you and placed you on Israel’s throne. Because the LORD loves Israel forever, he made you king to do justice and righteousness.”|Preserves the queen’s link between kingship and justice.
10:10|She gave the king a hundred twenty talents of gold, an immense quantity of spices, and precious stones. Never again did such an abundance of spices arrive as the queen of Sheba gave King Solomon.|Keeps the quantified gold and unequaled spices.
10:11|Hiram’s fleet, which brought gold from Ophir, also brought great quantities of almug wood and precious stones.|Retains the uncertain wood name rather than guessing a species.
10:12|The king used the almug wood for supports in the LORD’s house and the king’s house, and for lyres and harps for the singers. No such almug wood has arrived or been seen to this day.|Keeps architectural and musical uses distinct.
10:13|King Solomon gave the queen of Sheba everything she desired and asked for, besides what he gave her from his royal bounty. Then she and her servants returned to her land.|Preserves requested gifts and additional royal generosity.
10:14|The gold that came to Solomon in one year weighed six hundred sixty-six talents,|Retains the exact annual weight.
10:15|besides what came from traders, merchants’ business, all the kings of the mixed peoples, and the governors of the land.|Preserves the pinned mixed-peoples expression with uncertainty noted.
10:16|King Solomon made two hundred large shields of beaten gold, using six hundred shekels of gold for each.|Keeps shield size category and inferred weight unit noted.
10:17|He also made three hundred smaller shields of beaten gold, using three minas for each, and placed them in the House of the Forest of Lebanon.|Retains minas without harmonizing the parallel weight.
10:18|The king made a great ivory throne and overlaid it with refined gold.|Keeps ivory and gold construction.
10:19|Six steps led up to it. The throne had a rounded top at the back, armrests on either side of the seat, and two lions standing beside the armrests.|Preserves the throne’s arrangement without substituting an animal-shaped back.
10:20|Twelve lions stood on the six steps, one at each end of every step. Nothing like it had been made in any kingdom.|Makes the distribution explicit and retains the superlative.
10:21|All King Solomon’s drinking vessels were gold, and all the vessels in the House of the Forest of Lebanon were pure gold. None were silver; silver counted for nothing in Solomon’s days.|Keeps the repeated gold and devaluation of silver.
10:22|The king had a Tarshish fleet at sea with Hiram’s fleet. Once every three years the Tarshish fleet returned carrying gold, silver, ivory, apes, and peacocks.|Retains the fleet designation and uncertain exotic animal names with notes.
10:23|King Solomon surpassed all the kings of the earth in riches and wisdom.|Keeps the paired royal comparisons.
10:24|The whole earth sought an audience with Solomon to hear the wisdom God had put in his heart.|Retains universal rhetoric and heart-gift language.
10:25|Year after year each brought a gift: silver and gold vessels, garments, weapons, spices, horses, and mules.|Preserves all gift classes and recurrence.
10:26|Solomon gathered chariots and horsemen. He had fourteen hundred chariots and twelve thousand horsemen, stationed in the chariot towns and with the king in Jerusalem.|Keeps both military totals and distribution.
10:27|The king made silver as common in Jerusalem as stones, and cedar as plentiful as the sycamores in the lowlands.|Preserves the two abundance comparisons.
10:28|Solomon’s horses were imported from Egypt and Kue. The king’s merchants bought them from Kue at an agreed price.|Uses geographic Kue interpretation with alternative grouping sense noted.
10:29|A chariot imported from Egypt cost six hundred silver shekels, and a horse a hundred fifty. Through these merchants they were also exported to all the Hittite kings and the kings of Aram.|Keeps prices and the intermediaries’ export role.
11:1|King Solomon loved many foreign women besides Pharaoh’s daughter: Moabite, Ammonite, Edomite, Sidonian, and Hittite women.|Retains all five peoples and the distinct Egyptian marriage.
11:2|They came from nations about which the LORD had told the Israelites, “You must not enter into marriage with them, nor they with you. They will surely turn your hearts after their gods.” Yet Solomon clung to these women in love.|Makes the marriage relation explicit and keeps clinging love.
11:3|He had seven hundred royal wives and three hundred concubines. His wives turned his heart away.|Preserves status distinctions and both counts.
11:4|As Solomon grew old, his wives turned his heart after other gods. His heart was not wholly with the LORD his God, as his father David’s heart had been.|Keeps repeated heart and the narrator’s comparison.
11:5|Solomon followed Ashtoreth, goddess of the Sidonians, and Milcom, the detestable god of the Ammonites.|Retains named deities and evaluative language.
11:6|He did evil in the LORD’s eyes and did not follow the LORD fully, as his father David had.|Preserves the explicit assessment of Solomon himself.
11:7|Then Solomon built a high place for Chemosh, the detestable god of Moab, on the hill facing Jerusalem, and for Molech, the detestable god of the Ammonites.|Keeps Molech rather than harmonizing Milcom; facing Jerusalem expresses the source relation without supplying a compass direction.
11:8|He did the same for all his foreign wives, who burned offerings and sacrificed to their gods.|Preserves women as the worshiping subjects.
11:9|The LORD became angry with Solomon because his heart had turned away from the LORD, Israel’s God, who had appeared to him twice.|Keeps the twice-received revelation in the accusation.
11:10|The LORD had commanded him about this very thing: he must not follow other gods. But Solomon did not keep the LORD’s command.|Retains the specific prohibition and royal failure.
11:11|So the LORD said to Solomon, “Since this is how you have acted, and you have not kept my covenant and the statutes I commanded you, I will surely tear the kingdom away from you and give it to your servant.|Keeps emphatic tearing and covenant breach.
11:12|But for your father David’s sake, I will not do it during your lifetime. I will tear it from your son’s hand.|Preserves delayed judgment and the hand image.
11:13|Still, I will not tear away the whole kingdom. I will give your son one tribe for the sake of my servant David and Jerusalem, which I chose.”|Retains one tribe without arithmetic harmonization.
11:14|The LORD raised up an adversary against Solomon: Hadad the Edomite, of the royal line in Edom.|Keeps adversary as a human opponent raised by God.
11:15|When David was in Edom, Joab the army commander went up to bury the slain and struck down every male in Edom.|Preserves the all-male slaughter and burial context.
11:16|Joab and all Israel stayed there six months, until he had cut off every male in Edom.|Retains duration and repeated totalizing claim.
11:17|Hadad escaped to Egypt with some Edomite servants of his father. He was only a young boy.|Keeps the child survivor and his companions.
11:18|They left Midian and came to Paran. Taking men from Paran with them, they went to Egypt, to Pharaoh king of Egypt. Pharaoh gave Hadad a house, assigned him food, and gave him land.|Unfolds the refugee journey and three provisions.
11:19|Hadad found great favor with Pharaoh, who gave him his wife’s sister in marriage—the sister of Queen Tahpenes.|Makes the marriage relationship clear.
11:20|Tahpenes’ sister bore him a son, Genubath. Tahpenes weaned him in Pharaoh’s house, and he lived there among Pharaoh’s sons.|Keeps the aunt’s role and royal upbringing.
11:21|While in Egypt, Hadad heard that David had lain down with his ancestors and that Joab the army commander was dead. He told Pharaoh, “Let me go back to my own land.”|Preserves both deaths motivating the request.
11:22|Pharaoh asked him, “What do you lack here with me that makes you want to go to your own land?” “Nothing,” he answered. “But please, let me go.”|Retains the unanswered motivation and emphatic request.
11:23|God raised up another adversary against Solomon: Rezon son of Eliada, who had fled from his master Hadadezer king of Zobah.|Keeps distinct names and the fugitive’s former allegiance.
11:24|He gathered men around him and led a raiding band when David slaughtered Hadadezer’s forces. They went to Damascus, settled there, and took power in Damascus.|Clarifies the slaughter’s referent while preserving the plural seizure of rule.
11:25|He was Israel’s adversary throughout Solomon’s days, adding to the harm Hadad did. He loathed Israel and ruled over Aram.|Makes the difficult added-harm clause readable without relocating rule to Edom.
11:26|Jeroboam son of Nebat, an Ephraimite from Zeredah, also raised his hand against the king. He was Solomon’s servant; his mother was a widow named Zeruah.|Retains revolt image, origin and maternal identity.
11:27|This is how he came to raise his hand against the king. Solomon was building the Millo and closing the breach in the City of David his father.|Keeps the construction context of the revolt.
11:28|Jeroboam was a capable man. When Solomon saw how industrious the young man was, he put him over all the forced labor of Joseph’s house.|Preserves ability and the particular labor jurisdiction.
11:29|At that time, as Jeroboam was leaving Jerusalem, the prophet Ahijah of Shiloh met him on the road. Ahijah was wearing a new cloak, and the two were alone in the open country.|Names the likely cloak wearer; ambiguity is noted.
11:30|Ahijah seized the new cloak he was wearing and tore it into twelve pieces.|Keeps the new garment and symbolic number.
11:31|He told Jeroboam, “Take ten pieces. For this is what the LORD, Israel’s God, says: ‘I am tearing the kingdom from Solomon’s hand and giving you ten tribes.|Preserves the ten-piece/ten-tribe interpretation.
11:32|But one tribe will remain his, for the sake of my servant David and Jerusalem, the city I chose from all Israel’s tribes.|Retains one despite twelve pieces and ten allotted.
11:33|This is because they abandoned me and bowed to Ashtoreth, goddess of the Sidonians, Chemosh, god of Moab, and Milcom, god of the Ammonites. They have not walked in my ways, doing what is right in my eyes and keeping my statutes and judgments, as his father David did.|Preserves the plural they and singular his father shift.
11:34|Yet I will not take the whole kingdom from his hand. I will keep him as ruler all his life for the sake of my servant David, whom I chose and who kept my commands and statutes.|Keeps lifetime restraint and the stated reason.
11:35|I will take the kingship from his son’s hand and give you ten tribes.|Retains the delayed transfer and number.
11:36|I will give his son one tribe, so my servant David may always have a lamp before me in Jerusalem, the city I chose for myself to place my name there.|Preserves the lamp image and Name language.
11:37|I will take you, and you will rule over all you desire. You will be king over Israel.|Keeps the breadth of the royal grant.
11:38|If you listen to all I command, walk in my ways, and do what is right in my eyes, keeping my statutes and commands as my servant David did, I will be with you. I will build you an enduring house, as I built for David, and give Israel to you.|Retains Jeroboam’s conditional house promise parallel to David’s.
11:39|For this I will afflict David’s descendants, but not forever.’”|Keeps the limit on affliction without specifying fulfillment.
11:40|Solomon tried to kill Jeroboam. Jeroboam fled to Shishak king of Egypt and stayed in Egypt until Solomon died.|Preserves royal violence and the named protector.
11:41|The rest of Solomon’s history, all he did, and his wisdom—are they not written in the Book of Solomon’s Acts?|Retains the narrator’s source citation as a question.
11:42|Solomon ruled over all Israel from Jerusalem for forty years.|Keeps scope, capital and duration.
11:43|Solomon lay down with his ancestors and was buried in the City of David his father. His son Rehoboam became king in his place.|Retains death idiom, burial and succession.
12:1|Rehoboam went to Shechem, where all Israel had gathered to make him king.|Keeps assembly location and purpose.
12:2|Jeroboam son of Nebat heard about it while he was still in Egypt, where he had fled from King Solomon. Jeroboam was living in Egypt.|Preserves remained in Egypt rather than importing returned.
12:3|They sent for him. Jeroboam and the whole assembly of Israel came and said to Rehoboam,|Makes the summons and joint address sequential.
12:4|“Your father made our yoke harsh. Now lighten the harsh service and heavy yoke your father put on us, and we will serve you.”|Retains yoke and repeated service language.
12:5|He told them, “Go away for three days, then return to me.” So the people left.|Keeps the delay and response.
12:6|King Rehoboam consulted the elders who had served his father Solomon during his lifetime. “How do you advise me to answer these people?” he asked.|Identifies the advisers through their prior service.
12:7|They answered, “If today you become a servant to these people and serve them, responding with good words, they will be your servants always.”|Preserves the servant/serve/servants reversal.
12:8|But he abandoned the elders’ advice and consulted the young men who had grown up with him and now served him.|Keeps generational contrast without inventing their ages.
12:9|He asked them, “What do you advise? How should we answer these people who have asked me, ‘Lighten the yoke your father put on us’?”|Retains the repeated demand within consultation.
12:10|The young men who had grown up with him answered, “Tell these people who said, ‘Your father made our yoke heavy; lighten it for us’: ‘My little finger is thicker than my father’s waist!|Uses traditional finger expansion with the Hebrew little-one ambiguity noted.
12:11|My father loaded you with a heavy yoke; I will add to it. My father disciplined you with whips; I will discipline you with scorpions.’”|Keeps the threat’s paired intensifications and scorpion image.
12:12|Jeroboam and all the people returned to Rehoboam on the third day, as the king had told them: “Return to me on the third day.”|Preserves the repeated appointment.
12:13|The king answered the people harshly. He abandoned the advice the elders had given him|Retains harshness and rejected counsel as narration.
12:14|and spoke as the young men advised: “My father made your yoke heavy; I will add to it. My father disciplined you with whips; I will discipline you with scorpions.”|Keeps the repeated threat but does not import the omitted finger boast.
12:15|The king would not listen to the people. This turn of events came from the LORD, to fulfill the word the LORD had spoken to Jeroboam son of Nebat through Ahijah of Shiloh.|Retains divine agency alongside the king’s refusal.
12:16|When all Israel saw that the king would not listen, the people answered him:\n“What share have we in David?\nWe have no inheritance in Jesse’s son.\nTo your tents, Israel!\nLook after your own house now, David!”\nSo Israel went to their tents.|Preserves the full secession chant as poetry within its verse.
12:17|Rehoboam continued to rule the Israelites who lived in Judah’s towns.|Keeps the population and territory distinction.
12:18|King Rehoboam sent Adoram, who was over the forced labor, but all Israel stoned him to death. Rehoboam hurried into his chariot and fled to Jerusalem.|Retains the labor officer’s death and royal flight.
12:19|Israel has been in rebellion against David’s house to this day.|Preserves the narrator’s ongoing historical horizon.
12:20|When all Israel heard that Jeroboam had returned, they summoned him to the assembly and made him king over all Israel. Only the tribe of Judah remained loyal to David’s house.|Keeps the repeated arrival report and only-Judah claim.
12:21|When Rehoboam reached Jerusalem, he assembled all Judah’s house and the tribe of Benjamin—a hundred eighty thousand chosen warriors—to fight Israel’s house and restore the kingdom to Rehoboam son of Solomon.|Preserves Benjamin here without harmonizing verse 20.
12:22|But the word of God came to Shemaiah, the man of God:|Keeps messenger title and divine interruption.
12:23|“Say to Rehoboam son of Solomon, king of Judah, to all Judah’s house and Benjamin, and to the rest of the people:|Retains the complete addressed groups.
12:24|‘This is what the LORD says: Do not go up to fight your brothers, the Israelites. Each of you must return home, for this has come from me.’” They listened to the LORD’s word and turned back, as the LORD commanded.|Preserves kinship and divine responsibility for the division.
12:25|Jeroboam fortified Shechem in Ephraim’s hill country and lived there. Then he went out from there and fortified Penuel.|Keeps both royal building sites and sequence.
12:26|Jeroboam said in his heart, “Now the kingdom may return to David’s house.|Retains internal deliberation and house theme.
12:27|If these people go up to offer sacrifices in the LORD’s house in Jerusalem, their hearts will turn back to their lord, Rehoboam king of Judah. They will kill me and return to Rehoboam king of Judah.”|Keeps fear as Jeroboam’s forecast, not the narrator’s certainty.
