1:1|The record of the origins of Jesus the Messiah, son of David, son of Abraham.|Keeps genesis/origins broader than a mere name list and preserves the two defining ancestral titles.
8:11|And I tell you, many will come from east and west and take their places at the feast with Abraham, Isaac, and Jacob in the kingdom of heaven.|Makes reclining intelligible as a feast while retaining named ancestors and directions.
8:12|But the heirs of the kingdom will be thrown into the outer darkness. There will be weeping and grinding of teeth.”|Renders sons idiomatically as heirs but retains exclusion and judgment imagery.
8:13|Then Jesus told the centurion, “Go. Let it happen for you as you have believed.” And the servant was healed at that very hour.|Preserves the direct address and precise correspondence in time.
8:14|Jesus went into Peter’s house and saw Peter’s mother-in-law lying sick with a fever.|Makes the relationship explicit without adding a household history.
8:15|He touched her hand, and the fever left her. She got up and began serving him.|Retains female agency and the singular recipient of service.
8:16|That evening, people brought him many who were possessed by demons. He drove out the spirits with a word and healed everyone who was ill.|Distinguishes spirits from illness and retains comprehensive healing.
8:17|This fulfilled what was spoken through the prophet Isaiah:\n“He took our weaknesses\nand carried our diseases.”|Keeps Matthew’s bodily wording and shapes the quotation as poetry within its verse.
8:18|When Jesus saw the large crowds around him, he gave orders to cross to the other side.|Preserves the source’s plural crowds and unspecified destination shore.
8:19|A scribe came up and said, “Teacher, I will follow you wherever you go.”|Retains the trained role and the unqualified offer.
8:20|Jesus answered him, “Foxes have dens, and the birds of the sky have nests, but the Son of Man has nowhere to lay his head.”|Keeps the title and complete animal contrast rather than explaining away the image.
8:21|Another of the disciples said to him, “Lord, first let me go and bury my father.”|Preserves first and the actual request without inventing circumstances of death.
8:22|But Jesus told him, “Follow me, and let the dead bury their own dead.”|Retains the disturbing double use of dead without resolving its metaphor in the text.
8:23|Jesus got into a boat, and his disciples followed him.|Keeps following visible as both action and narrative theme.
8:24|Suddenly a violent disturbance swept over the sea, and waves were covering the boat. But Jesus was asleep.|Renders seismos strongly without deciding that an earthquake caused the waves.
8:25|They went to him and woke him. “Lord, save us!” they said. “We’re going to die!”|Keeps the urgent salvation plea and immediate danger in natural speech.
8:26|He said to them, “Why are you so afraid, you of little faith?” Then he got up and rebuked the winds and the sea, and a great calm came over it.|Retains little faith, rebuke, and the great disturbance/great calm contrast.
8:27|The men were amazed. “What kind of man is this,” they said, “that even the winds and the sea obey him?”|Preserves their unresolved question and the scope of obedience.
8:28|When he reached the other side, in the region of the Gadarenes, two demon-possessed men came out from the tombs to meet him. They were so violent that no one could pass along that road.|Retains two men and the pinned place name without harmonizing other accounts.
8:29|They shouted, “What have you to do with us, Son of God? Have you come here to torment us before the appointed time?”|Preserves title, antagonistic idiom, and premature judgment question.
8:30|A large herd of pigs was feeding some distance away.|Keeps distance and herd size without locating an unmentioned owner.
8:31|The demons begged him, “If you drive us out, send us into the herd of pigs.”|Retains the conditional request and its actual destination.
8:32|“Go,” he told them. They came out and went into the pigs. Then the whole herd rushed down the steep bank into the sea and died in the water.|Preserves the lethal outcome and every stage without softening the loss.
8:33|The herders ran away. They went into the town and reported everything, including what had happened to the demon-possessed men.|Makes the compressed report intelligible without supplying unreported reactions.
8:34|The whole town came out to meet Jesus. When they saw him, they begged him to leave their region.|Keeps the collective response and unexpected request to depart.
9:1|Jesus got into a boat, crossed over, and came to his own town.|Retains own town without inserting its inferred name.
9:2|Some people brought him a paralyzed man lying on a mat. When Jesus saw their faith, he told the man, “Take courage, child. Your sins are forgiven.”|Keeps their plural faith and the affectionate singular address.
9:3|Some of the scribes said to themselves, “This man is blaspheming.”|Preserves the inward accusation without endorsing it as narrator.
9:4|Jesus knew what they were thinking. “Why are you thinking evil in your hearts?” he asked.|Keeps the heart image and explicit moral challenge.
9:5|“Which is easier: to say, ‘Your sins are forgiven,’ or to say, ‘Get up and walk’?|Retains the comparison between sayings, not a claim that either act is easy.
9:6|But so that you may know the Son of Man has authority on earth to forgive sins”—then he said to the paralyzed man, “Get up, pick up your mat, and go home.”|Preserves the interrupted sentence and changed addressee.
9:7|The man got up and went home.|Keeps the concise enacted response without embellishment.
9:8|When the crowds saw this, they were afraid and glorified God, who had given such authority to human beings.|Follows fear and plural humans rather than harmonizing to amazement or Jesus alone.
9:9|As Jesus went on from there, he saw a man named Matthew sitting at the tax booth. “Follow me,” he told him. Matthew got up and followed him.|Keeps the call-response pattern and names the actor for clarity.
9:10|While Jesus was reclining at a meal in the house, many tax collectors and sinners came and reclined with him and his disciples.|Retains reclining and avoids assigning ownership to the unspecified house.
9:11|The Pharisees saw this and asked his disciples, “Why does your teacher eat with tax collectors and sinners?”|Keeps the question directed to disciples and the repeated social categories.
9:12|Jesus heard them and said, “Healthy people don’t need a doctor; sick people do.|Preserves the compact analogy in ordinary spoken English.
9:13|Go and learn what this means: ‘I desire mercy, not sacrifice.’ For I came to call sinners, not the righteous.”|Keeps the scriptural contrast and excludes an unprinted addition about repentance.
9:14|Then John’s disciples came to him. “Why do we and the Pharisees fast often,” they asked, “but your disciples don’t fast?”|Preserves often and both groups without generalizing their practice.
9:15|Jesus said to them, “Can wedding guests mourn while the bridegroom is with them? The days will come when the bridegroom is taken away from them. Then they will fast.|Renders sons of the bridal chamber accessibly and preserves the passive removal.
9:16|No one sews a patch of unshrunk cloth onto an old garment. The patch pulls away from the garment, making the tear worse.|Makes the material action clear without allegorical explanation.
9:17|Nor do people put new wine into old wineskins. If they do, the skins burst, the wine spills, and the skins are ruined. They put new wine into fresh wineskins, and both are preserved.”|Preserves both kinds of loss and the final preservation of both.
9:18|While he was telling them these things, a ruler came and bowed before him. “My daughter has just died,” he said. “But come and lay your hand on her, and she will live.”|Retains has just died and avoids importing a different chronology or office.
9:19|Jesus got up and followed him, along with his disciples.|Preserves Jesus now following the petitioner and the accompanying disciples.
9:20|Just then, a woman who had been bleeding for twelve years came up behind him and touched the fringe of his garment.|Retains duration, approach, and the particular part touched.
9:21|She had been saying to herself, “If I only touch his garment, I will be healed.”|Uses healed for contextual saved while retaining the conditional inner speech.
9:22|Jesus turned, saw her, and said, “Take courage, daughter. Your faith has made you well.” From that moment the woman was healed.|Keeps daughter and the repeated saving/healing language in its bodily setting.
9:23|When Jesus reached the ruler’s house, he saw the flute players and the noisy crowd.|Retains the audible mourning scene without adding hired status.
9:24|“Go away,” he said. “The girl isn’t dead; she is sleeping.” But they laughed at him.|Preserves Jesus’ assertion and ridicule without explaining sleep in the dialogue.
9:25|After the crowd had been put outside, he went in and took her hand, and the girl got up.|Keeps the passive removal and simple rising without added spectacle.
9:26|News of this spread through that entire region.|Keeps the local scope of the report.
9:27|As Jesus went on from there, two blind men followed him, calling out, “Have mercy on us, Son of David!”|Preserves two, the royal title, and the plea for mercy.
9:28|When he entered the house, the blind men came to him. Jesus asked them, “Do you believe I can do this?” “Yes, Lord,” they answered.|Keeps the question about ability and direct collective answer.
9:29|Then he touched their eyes and said, “Let it happen for you according to your faith.”|Retains physical contact and according to without adding a measurable degree.
9:30|Their eyes were opened. Jesus warned them sternly, “See that no one learns about this.”|Preserves the strong warning rather than a casual request.
9:31|But they went out and spread news of him throughout that region.|Keeps the contrast between instruction and actual conduct.
9:32|As they were leaving, people brought him a demon-possessed man who could not speak.|Renders kophos by the speech outcome rather than assuming deafness.
9:33|Once the demon was driven out, the man spoke. The crowds were amazed and said, “Nothing like this has ever been seen in Israel!”|Preserves sequence and the crowd’s sweeping reported claim.
9:34|But the Pharisees said, “He drives out demons by the ruler of demons.”|Retains the counterclaim without presenting it as narrator’s explanation.
9:35|Jesus traveled through all the towns and villages, teaching in their synagogues, proclaiming the good news of the kingdom, and healing every disease and every infirmity.|Preserves the three coordinated activities and repeated every.
9:36|When he saw the crowds, he was moved with compassion for them. They were harassed and helpless, like sheep without a shepherd.|Retains both conditions and the biblical shepherd image.
9:37|Then he told his disciples, “The harvest is plentiful, but the workers are few.|Keeps the large harvest/small workforce contrast.
9:38|So ask the Lord of the harvest to send workers out into his harvest.”|Preserves ownership repeated in the appeal and destination.
10:1|Jesus called his twelve disciples to him and gave them authority over unclean spirits, to drive them out and to heal every disease and every infirmity.|Keeps twelve and the authority linking this mission with Jesus’ work.
10:2|These are the names of the twelve apostles: first, Simon, called Peter, and his brother Andrew; James son of Zebedee and his brother John;|Preserves first and the paired family relationships.
10:3|Philip and Bartholomew; Thomas and Matthew the tax collector; James son of Alphaeus and Thaddaeus;|Retains all names and Matthew’s occupation without harmonizing alternate lists.
10:4|Simon the Zealot and Judas Iscariot, who also handed Jesus over.|Renders Kanana ios as a designation of zeal and links betrayal to handed over.
10:5|Jesus sent these twelve out with these instructions: “Do not go among the Gentiles or enter a Samaritan town.|Preserves the restricted destination of this particular commission.
10:6|Go instead to the lost sheep of the house of Israel.|Keeps the house and sheep images without replacing them with an abstract audience.
10:7|As you go, proclaim, ‘The kingdom of heaven has come near.’|Matches the established proclamation formula and sense of nearness.
10:8|Heal the sick, raise the dead, cleanse those with skin diseases, drive out demons. You received without paying; give without charging.|Preserves all four imperatives and the free receiving/giving balance.
10:9|Do not get gold, silver, or copper for your belts,|Keeps all three metals and the ancient carrying image.
10:10|or a travel bag, or two tunics, or sandals, or a staff. A worker deserves food.|Retains Matthew’s actual equipment restrictions without harmonizing other Gospels.
10:11|Whatever town or village you enter, find out who there is worthy, and stay with that person until you leave.|Preserves discernment of a host and stable lodging.
10:12|As you enter the house, greet it.|Keeps the household addressed through the house image.
10:13|If the house is worthy, let your peace rest on it. If it is not worthy, let your peace return to you.|Preserves the conditional movement of peace in both directions.
10:14|If anyone will not welcome you or listen to your words, shake the dust from your feet as you leave that house or town.|Keeps both refusals and the embodied departure sign.
10:15|Truly I tell you, on the day of judgment it will be more bearable for the land of Sodom and Gomorrah than for that town.|Preserves comparative judgment and both named cities.
10:16|“Look, I am sending you out like sheep among wolves. So be shrewd as snakes and innocent as doves.|Retains all four animals and pairs practical discernment with innocence.
10:17|Watch out for people. They will hand you over to councils and flog you in their synagogues.|Keeps concrete institutional persecution without generalizing it to all Jews.
10:18|You will be brought before governors and kings because of me, as a testimony to them and to the Gentiles.|Preserves purpose, audiences, and cause.
10:19|When they hand you over, do not worry about how to speak or what to say. What you should say will be given to you at that time.|Keeps both anxieties and the passive gift at the needed moment.
10:20|For it will not be you speaking, but the Spirit of your Father speaking through you.|Preserves the personal Father relationship and Spirit’s agency.
10:21|Brother will hand brother over to death, and a father his child. Children will turn against their parents and have them put to death.|Keeps the family roles and actual lethal consequences.
10:22|Everyone will hate you because of my name. But the one who endures to the end will be saved.|Retains the sweeping warning and future promise without resolving end’s referent.
10:23|When they persecute you in one town, flee to another. Truly I tell you, you will not finish the towns of Israel before the Son of Man comes.|Preserves the difficult temporal claim without inserting a later interpretive timetable.
10:24|“A disciple is not above the teacher, nor a slave above the master.|Keeps both unequal relationships and the source’s slave term.
10:25|It is enough for the disciple to become like the teacher, and the slave like the master. If they have called the head of the house Beelzebul, how much more will they malign his household!|Makes the elliptical final comparison readable while retaining the household image and name.
10:26|So do not fear them. Nothing covered up will stay unrevealed, and nothing hidden will remain unknown.|Preserves the paired disclosure assurances and their causal link.
10:27|What I tell you in the dark, speak in the light. What you hear whispered in your ear, proclaim from the rooftops.|Retains dark/light and ear/rooftop contrasts.
10:28|Do not fear those who kill the body but cannot kill the soul. Fear instead the one who can destroy both soul and body in Gehenna.|Keeps soul/body distinction and destroy without importing a theory of punishment.
10:29|Aren’t two sparrows sold for an assarion? Yet not one of them falls to the ground apart from your Father.|Retains coin and the source’s open apart-from phrase rather than specifying causation.
10:30|Even the hairs on your head have all been counted.|Preserves the surprising totality of the image.
10:31|So do not be afraid. You are worth more than many sparrows.|Keeps the many contrast and reassurance grounded in the preceding image.
10:32|“Everyone who acknowledges me before others, I too will acknowledge before my Father in heaven.|Preserves reciprocal public acknowledgment.
10:33|But whoever denies me before others, I too will deny before my Father in heaven.|Keeps the exact opposing structure and consequence.
10:34|“Do not think I came to bring peace to the earth. I came to bring a sword, not peace.|Retains the sharp image before its explanation in family division.
10:35|For I came to set a man against his father, a daughter against her mother, and a daughter-in-law against her mother-in-law.|Preserves all three specifically gendered relationships.
10:36|A person’s enemies will be members of that person’s own household.|Keeps the household focus of the preceding sword image.
10:37|Whoever loves father or mother more than me is not worthy of me. Whoever loves son or daughter more than me is not worthy of me.|Preserves comparative love and both generations without substituting hatred.
10:38|Whoever does not take up their cross and follow me is not worthy of me.|Retains the execution image and repeated worthiness language.
10:39|Whoever finds their life will lose it, and whoever loses their life because of me will find it.|Keeps the paradox and explicit because-of-me qualification.
10:40|“Whoever welcomes you welcomes me, and whoever welcomes me welcomes the one who sent me.|Preserves the linked chain of welcome and sending.
10:41|Whoever welcomes a prophet because that person is a prophet will receive a prophet’s reward. Whoever welcomes a righteous person because that person is righteous will receive a righteous person’s reward.|Unfolds in the name of without losing the repeated identities and rewards.
10:42|And whoever gives even a cup of cold water to one of these little ones because that person is a disciple—truly I tell you, that giver will certainly not lose the reward.”|Preserves the small gift, little ones, disciple qualification, and emphatic assurance.
11:1|When Jesus finished instructing his twelve disciples, he left that place to teach and proclaim his message in their towns.|Preserves the discourse conclusion and the source’s their without inventing a route.
11:2|In prison, John heard about the Messiah’s deeds. He sent word through his disciples|Keeps imprisonment and Messiah as the narrator’s designation.
11:3|to ask Jesus, “Are you the one who is coming, or should we expect someone else?”|Retains the coming-one expression and the genuine alternative in John’s question.
11:4|Jesus answered them, “Go and tell John what you hear and see:|Preserves both forms of testimony in their source order.
11:5|the blind receive sight, the lame walk, people with skin diseases are cleansed, the deaf hear, the dead are raised, and the poor hear good news.|Retains all six groups and distinguishes cleansing, healing, resurrection, and proclamation.
11:6|And blessed is anyone who does not stumble because of me.”|Preserves stumbling as an image rather than reducing it to intellectual disagreement.
11:7|As they were leaving, Jesus began speaking to the crowds about John. “What did you go out into the wilderness to see? A reed swaying in the wind?|Keeps the repeated question and its unresolved image.
11:8|What did you go out to see, then? A man dressed in soft clothes? People who wear soft clothes live in royal houses.|Preserves the contrast between wilderness and luxury without elaborating motive.
11:9|Then what did you go out for? To see a prophet? Yes, I tell you, and more than a prophet.|Follows the pinned punctuation’s emphatic final identification.
11:10|This is the one about whom it is written:\n‘Look, I am sending my messenger ahead of you;\nhe will prepare your way before you.’|Keeps the quotation’s pronouns and double before-you emphasis.
11:11|Truly I tell you, among those born of women no one greater than John the Baptist has arisen. Yet the least in the kingdom of heaven is greater than he is.|Preserves the birth idiom and startling comparison without assigning rank outside the text.
11:12|From the days of John the Baptist until now, the kingdom of heaven has suffered violence, and violent people seize it.|Chooses the passive reading of biazetai with the competing sense reserved for a note.
11:13|For all the Prophets and the Law prophesied until John.|Keeps the unusual Prophets-before-Law order and until’s boundary.
11:14|And if you are willing to accept it, he is Elijah who is to come.|Preserves the conditional invitation and explicit identification.
11:15|Let anyone with ears listen.|Retains the brief listening refrain without an absent expansion.
11:16|“What can I compare this generation to? It is like children sitting in the marketplaces, calling to the others,|Keeps the comparison and public setting.
11:17|‘We played the flute for you, and you didn’t dance;\nwe sang a lament, and you didn’t beat your breasts.’|Preserves the opposing games and bodily mourning gesture as poetic speech.
11:18|John came neither eating nor drinking, and they say, ‘He has a demon.’|Keeps the rhetorical contrast without supplying an absolute dietary interpretation.
11:19|The Son of Man came eating and drinking, and they say, ‘Look at him—a glutton and a drunkard, a friend of tax collectors and sinners!’ Yet wisdom is vindicated by her deeds.”|Follows deeds rather than children and retains wisdom’s female personification.
11:20|Then he began denouncing the towns where most of his mighty works had taken place, because they had not repented.|Preserves the explicit reason for denunciation.
11:21|“Woe to you, Chorazin! Woe to you, Bethsaida! If the mighty works done among you had been done in Tyre and Sidon, they would have repented long ago in sackcloth and ashes.|Retains all four towns and the unreal comparison with visible repentance.
11:22|But I tell you, on the day of judgment it will be more bearable for Tyre and Sidon than for you.|Keeps comparative rather than absolute judgment.
11:23|And you, Capernaum—will you be lifted up to heaven? You will go down to Hades. If the mighty works done in you had been done in Sodom, it would have remained until today.|Retains the question, paired heights/depths, and unreal historical condition.
11:24|But I tell you, on the day of judgment it will be more bearable for the land of Sodom than for you.”|Preserves repeated warning and singular town addressee.
11:25|At that time Jesus said, “I praise you, Father, Lord of heaven and earth, because you have hidden these things from the wise and discerning and revealed them to little children.|Retains hidden/revealed contrast and the infant image without defining social classes.
11:26|Yes, Father, for this was your good pleasure.|Keeps the affirmation of the Father’s will in compact prayer speech.
11:27|“Everything has been handed over to me by my Father. No one knows the Son except the Father, and no one knows the Father except the Son and anyone to whom the Son chooses to reveal him.|Preserves reciprocal knowledge and the final chosen recipient.
11:28|Come to me, all of you who are weary from labor and weighed down, and I will give you rest.|Retains both active toil and imposed load in a direct invitation.
11:29|Take my yoke upon you and learn from me, because I am gentle and humble in heart, and you will find rest for your souls.|Preserves yoke, learning, heart, and soul rather than flattening the images.
11:30|For my yoke is kind, and my burden is light.”|Renders chrestos with its positive quality while retaining the paradox of restful burden.
12:1|At that time Jesus walked through grainfields on the Sabbath. His disciples were hungry and began picking heads of grain and eating them.|Keeps the need that prompts the disputed activity.
12:2|The Pharisees saw it and told him, “Look! Your disciples are doing what is not permitted on the Sabbath.”|Attributes the legal accusation to its speakers.
12:3|He answered them, “Haven’t you read what David did when he and his companions were hungry?|Preserves the appeal to reading and shared hunger.
12:4|He entered the house of God, and they ate the bread of the Presence, which neither he nor his companions were permitted to eat—only the priests.|Follows plural ate and keeps the sacred bread’s recognizable designation.
12:5|Or haven’t you read in the Law that on Sabbaths the priests in the temple profane the Sabbath and yet are innocent?|Retains the provocative profane/innocent contrast.
12:6|I tell you, something greater than the temple is here.|Preserves the neuter something without imposing a personal paraphrase.
12:7|If you had understood, ‘I desire mercy, not sacrifice,’ you would not have condemned the innocent.|Repeats the earlier quotation identically and preserves its practical consequence.
12:8|For the Son of Man is Lord of the Sabbath.”|Keeps the title and explicit relation of authority.
12:9|He left that place and entered their synagogue.|Preserves their without broad ethnic editorializing.
12:10|A man with a withered hand was there. They asked Jesus, “Is it permitted to heal on the Sabbath?” They wanted grounds to accuse him.|Separates the question from the narrator’s stated hostile purpose.
12:11|He said to them, “If one of you has a sheep and it falls into a pit on the Sabbath, won’t you take hold of it and lift it out?|Retains the single animal and concrete rescue actions.
12:12|How much more valuable a human being is than a sheep! So it is permitted to do good on the Sabbath.”|Keeps the comparative argument and broad do-good conclusion.
12:13|Then he told the man, “Stretch out your hand.” He stretched it out, and it was restored, as healthy as the other.|Preserves command, response, and bodily comparison.
12:14|The Pharisees went out and plotted against him, discussing how to destroy him.|Keeps the real threat rather than softening it to disagreement.
12:15|Jesus learned of this and withdrew. Many followed him, and he healed them all.|Preserves withdrawal and all without adding crowds to the pinned phrase.
12:16|He warned them not to make him known.|Keeps the strong prohibition and its personal object.
12:17|This fulfilled what was spoken through the prophet Isaiah:|Leaves the fulfillment introduction connected to the following quotation.
12:18|“Here is my servant, whom I have chosen,\nmy beloved, in whom my soul delights.\nI will put my Spirit upon him,\nand he will announce justice to the nations.|Retains servant, soul, Spirit, and justice with the nations as recipients.
12:19|He will not quarrel or shout;\nno one will hear his voice in the streets.|Keeps the paired negatives and public setting of the quotation.
12:20|He will not break a crushed reed\nor put out a smoldering wick,\nuntil he brings justice through to victory.|Preserves fragile objects and the unusual justice-to-victory movement.
12:21|And the nations will hope in his name.”|Retains name and nations rather than substituting abstract universalism.
12:22|Then a demon-possessed man who was blind and unable to speak was brought to him. Jesus healed him, so that the man could speak and see.|Keeps both disabilities and both outcomes in source order.
12:23|All the crowds were astonished. “Could this be the Son of David?” they asked.|Preserves the tentative question rather than turning it into a confession.
12:24|But when the Pharisees heard this, they said, “This man drives out demons only by Beelzebul, the ruler of demons.”|Keeps the exclusive accusation and named ruler.
12:25|Knowing their thoughts, he said to them, “Every kingdom divided against itself is laid waste. No town or household divided against itself will stand.|Preserves the three scales of division and resulting ruin.
12:26|If Satan drives out Satan, he is divided against himself. How then will his kingdom stand?|Keeps the reductive hypothetical and repeated name.
12:27|And if I drive out demons by Beelzebul, by whom do your own followers drive them out? So they will be your judges.|Renders your sons contextually while preserving the challenge from their own group.
12:28|But if I drive out demons by the Spirit of God, then the kingdom of God has reached you.|Retains the Spirit and actual arrival rather than merely future nearness.
12:29|How can anyone enter a strong man’s house and seize his belongings without first tying up the strong man? Only then can the house be plundered.|Keeps the violent house image and required sequence.
12:30|Whoever is not with me is against me, and whoever does not gather with me scatters.|Preserves the two unqualified antitheses in this context.
12:31|That is why I tell you: every sin and blasphemy will be forgiven people, but blasphemy against the Spirit will not be forgiven.|Keeps the breadth of forgiveness and precise exception.
12:32|Anyone who speaks against the Son of Man will be forgiven. But anyone who speaks against the Holy Spirit will not be forgiven, either in this age or in the age to come.|Preserves the distinct objects and two-age formulation without an added doctrinal system.
12:33|“Either make the tree good and its fruit good, or make the tree rotten and its fruit rotten. A tree is recognized by its fruit.|Keeps the imperative form and consistent tree/fruit character.
12:34|You brood of vipers! How can you speak good things when you are evil? The mouth speaks from what overflows from the heart.|Retains the insult and bodily abundance image.
12:35|A good person brings good things out of a good store, and an evil person brings evil things out of an evil store.|Preserves repeated good/evil without importing heart into an unprinted phrase.
12:36|I tell you, people will give an account on the day of judgment for every careless word they speak.|Keeps every and the accounting image.
12:37|For by your words you will be vindicated, and by your words you will be condemned.”|Preserves the judicial alternatives and repeated basis.
12:38|Then some scribes and Pharisees said to him, “Teacher, we want to see a sign from you.”|Keeps some and the request’s source qualification.
12:39|He answered, “An evil and adulterous generation demands a sign, but no sign will be given to it except the sign of the prophet Jonah.|Retains adulterous as covenantal imagery without substituting an explanation.
12:40|Just as Jonah was in the belly of the sea creature for three days and three nights, so the Son of Man will be in the heart of the earth for three days and three nights.|Keeps exact durations and both bodily location images without chronological harmonization.
12:41|The men of Nineveh will rise at the judgment with this generation and condemn it, because they repented at Jonah’s proclamation. And look—something greater than Jonah is here.|Preserves male reference, repentance, and neuter something greater.
12:42|The queen of the South will rise at the judgment with this generation and condemn it, because she came from the ends of the earth to hear Solomon’s wisdom. And look—something greater than Solomon is here.|Keeps her title, journey, and the repeated comparison.
12:43|“When an unclean spirit leaves a person, it travels through waterless places seeking rest, but finds none.|Retains the spirit’s movement and failed search without modern diagnosis.
12:44|Then it says, ‘I will return to the house I left.’ When it arrives, it finds the house empty, swept, and put in order.|Keeps the three conditions that set up the return.
12:45|Then it goes and brings seven other spirits more evil than itself. They enter and settle there, and that person’s final condition becomes worse than the first. So it will be with this evil generation.”|Preserves seven, escalation, and the explicit application to the generation.
12:46|While he was still speaking to the crowds, his mother and brothers were standing outside, wanting to speak to him.|Retains the familial terms without resolving later kinship debates.
12:47|Someone told him, “Your mother and brothers are standing outside, wanting to speak to you.”|Retains the entire verse printed in the pinned edition.
12:48|He answered the person who told him, “Who is my mother, and who are my brothers?”|Makes the immediate addressee clear and preserves both questions.
12:49|Stretching his hand toward his disciples, he said, “Here are my mother and my brothers!|Retains the identifying gesture and family language.
12:50|For whoever does the will of my Father in heaven is my brother and sister and mother.”|Keeps all three kinship roles, including the newly explicit sister.
13:1|That same day Jesus left the house and sat beside the sea.|Preserves temporal continuity and the teaching posture.
13:2|Large crowds gathered around him, so he got into a boat and sat there while the whole crowd stood on the shore.|Keeps seated teacher/standing crowd and their different locations.
13:3|He told them many things in parables: “Listen! A sower went out to sow.|Retains parable and the sower/sow repetition.
13:4|As he sowed, some seeds fell beside the path, and birds came and ate them.|Makes plural seeds explicit from the grammatical object.
13:5|Others fell on rocky ground with little soil. They sprouted at once because the soil was shallow.|Preserves the stated cause rather than correcting the agricultural image.
13:6|But when the sun rose, they were scorched. Because they had no root, they withered.|Keeps both causal stages and the singular collective root.
13:7|Others fell among thorns. The thorns grew up and choked them.|Retains repeated thorns and the choking image.
13:8|Others fell on good soil and produced a crop: some a hundredfold, some sixty, some thirty.|Preserves all yields in Matthew’s descending order.
13:9|Let anyone with ears listen.”|Matches the established concise refrain.
13:10|The disciples came to him and asked, “Why do you speak to them in parables?”|Preserves the distinction between disciples and them.
13:11|He answered, “You have been given knowledge of the mysteries of the kingdom of heaven, but they have not.|Keeps given knowledge and mysteries rather than making them merely puzzles.
13:12|For whoever has will be given more and will have abundance. But whoever does not have will lose even what they have.|Preserves the paradox without supplying an unstated object of possession.
13:13|That is why I speak to them in parables: though they see, they do not see; though they hear, they do not hear or understand.|Retains Matthew’s because relation and repeated perception terms.
13:14|In them Isaiah’s prophecy is fulfilled:\n‘You will hear and hear, but never understand;\nyou will look and look, but never see.|Keeps emphatic repeated action and emphatic denial as poetry.
13:15|For this people’s heart has grown dull.\nTheir ears are hard of hearing,\nand they have closed their eyes,\nso that they might not see with their eyes,\nhear with their ears,\nunderstand with their heart,\nand turn—and I would heal them.’|Preserves human eye-closing and every member of the extended sensory pattern.
13:16|But blessed are your eyes, because they see, and your ears, because they hear.|Retains blessing addressed to the disciples’ organs of perception.
13:17|Truly I tell you, many prophets and righteous people longed to see what you see but did not see it, and to hear what you hear but did not hear it.|Keeps all repeated verbs and the contrast across generations.
13:18|“So listen to the parable of the sower.|Preserves the invitation introducing the interpretation.
13:19|When anyone hears the word of the kingdom without understanding it, the evil one comes and snatches away what was sown in that person’s heart. This is the one sown beside the path.|Keeps the shifting seed/person metaphor rather than smoothing it away.
13:20|The one sown on rocky ground is someone who hears the word and immediately receives it with joy,|Preserves immediate joy and the unfinished contrast across labels.
13:21|but has no root within and lasts only a little while. When trouble or persecution comes because of the word, that person immediately falls away.|Keeps both pressures, their cause, and the repeated immediacy.
13:22|The one sown among thorns hears the word, but the anxiety of this age and the deceitfulness of wealth choke the word, and it becomes unfruitful.|Preserves wealth’s deception and the word as the choked object.
13:23|The one sown on good soil hears the word and understands it. That person bears fruit and produces a hundredfold, or sixty, or thirty.”|Keeps understanding linked to fruit and repeats the descending yields.
13:24|He set another parable before them: “The kingdom of heaven is like a man who sowed good seed in his field.|Retains kingdom comparison and ownership of the field.
13:25|While people were sleeping, his enemy came, sowed darnel among the wheat, and went away.|Keeps the specific weed term for vocabulary explanation and the covert sequence.
13:26|When the plants sprouted and formed grain, the darnel appeared as well.|Preserves the stage at which the intrusion becomes visible.
13:27|The owner’s slaves came and asked him, ‘Master, didn’t you sow good seed in your field? Where did the darnel come from?’|Retains slavery and their puzzled double question.
13:28|‘An enemy has done this,’ he told them. The slaves asked him, ‘Do you want us to go and gather it?’|Keeps the identified agent and the proposed intervention.
13:29|‘No,’ he said. ‘While gathering the darnel you might uproot the wheat along with it.|Preserves the reason for delay as protection of wheat.
13:30|Let both grow together until the harvest. At harvest time I will tell the reapers: Gather the darnel first and tie it in bundles to burn, but bring the wheat into my barn.’”|Keeps both outcomes and their specified order.
13:31|He set another parable before them: “The kingdom of heaven is like a mustard seed that a man took and sowed in his field.|Preserves the parallel opening and the concrete small seed.
13:32|It is smaller than all the seeds, but when it grows it is larger than the garden plants and becomes a tree, so that the birds of the sky come and nest in its branches.”|Retains the source’s broad size claim and tree image without botanical correction.
13:33|He told them another parable: “The kingdom of heaven is like leaven that a woman took and hid in three measures of flour until it was all leavened.”|Preserves female agency, hidden leaven, exact measures, and complete effect.
13:34|Jesus spoke all these things to the crowds in parables. He said nothing to them without a parable,|Retains the narrative’s broad statement in its discourse setting.
13:35|fulfilling what was spoken through the prophet:\n“I will open my mouth in parables;\nI will utter things hidden since the foundation.”|Follows the pinned text without adding world or a prophet’s name.
13:36|Then he left the crowds and went into the house. His disciples came to him and said, “Explain the parable of the darnel in the field to us.”|Keeps the move to private interpretation and the disciples’ stated request.
13:37|He answered, “The one who sows the good seed is the Son of Man.|Preserves the first explicit identification in the explanation.
13:38|The field is the world. The good seed are the children of the kingdom; the darnel are the children of the evil one.|Retains world rather than church and the parallel family identities.
13:39|The enemy who sowed them is the devil. The harvest is the completion of the age, and the reapers are angels.|Distinguishes world from age and preserves every interpretation.
