1:1|The words of Jeremiah son of Hilkiah, one of the priests at Anathoth in the territory of Benjamin.|Preserves priestly origin and location without identifying Hilkiah with another figure.
7:11|Has this house that bears my name become a robbers’ den in your eyes? Look, I too have seen it,’ declares the **LORD**.|Preserves robbers’ refuge image and divine witness.
7:12|‘Go now to my place at Shiloh, where I first made my name dwell. See what I did to it because of my people Israel’s wickedness.|Keeps historical sanctuary comparison without adding archaeology.
7:13|Now, because you have done all these things,’ declares the **LORD**, ‘and because I spoke to you persistently but you did not listen, called you but you did not answer,|Renders rising-early idiom as persistence and keeps both failed responses.
7:14|I will do to the house that bears my name, the house you trust, and to the place I gave you and your ancestors, what I did to Shiloh.|Preserves threat to both temple and land.
7:15|I will cast you out of my presence, just as I cast out all your brothers, all Ephraim’s offspring.’|Keeps kinship and northern Israel reference.
7:16|“As for you, do not pray for this people. Do not raise a cry or prayer for them; do not intercede with me, for I will not listen to you.|Preserves three prohibitions against prophetic intercession.
7:17|Do you not see what they are doing in Judah’s cities and Jerusalem’s streets?|Keeps geographically public scope.
7:18|The children gather wood, the fathers light the fire, and the women knead dough to make cakes for the Queen of Heaven. They pour drink offerings to other gods to provoke me.|Retains whole-household roles and named female deity title.
7:19|Is it me they provoke?” declares the **LORD**. “Is it not themselves, bringing shame upon their own faces?|Keeps reflexive consequence framed as questions.
7:20|“So this is what the Lord **GOD** says: Look, my anger and fury will pour over this place—over people and animals, over field trees and the ground’s fruit. It will burn and will not be quenched.|Retains nonhuman victims and poured/burning imagery.
7:21|“This is what the **LORD** of hosts, Israel’s God, says: Add your burnt offerings to your other sacrifices and eat the meat!|Preserves sarcastic permission to eat what would otherwise be wholly burned.
7:22|For when I brought your ancestors out of Egypt, I did not speak to them or command them about burnt offerings and sacrifices.|Retains categorical wording without inserting merely or primarily to harmonize.
7:23|But this is what I commanded them: Listen to my voice, and I will be your God and you will be my people. Walk in every way I command you, so it may go well for you.|Keeps covenant formula and obedience linked to welfare.
7:24|Yet they did not listen or incline their ears. They followed their own plans and the stubbornness of their evil hearts; they went backward, not forward.|Preserves directional metaphor and double refusal.
7:25|From the day your ancestors left Egypt until today, I have sent you all my servants the prophets, day after day, persistently sending them.|Keeps long duration and repeated sending.
7:26|But they did not listen to me or incline their ears. They stiffened their necks and did worse than their ancestors.|Retains body idiom and worsening comparison.
7:27|“Tell them all these words, but they will not listen to you. Call to them, but they will not answer you.|Preserves commanded speech despite predicted refusal.
7:28|Say to them: This is the nation that did not listen to the **LORD** its God or accept discipline. Faithfulness has perished; it has been cut off from their mouths.|Keeps nation singular and lost faithfulness image.
7:29|Cut off your hair and throw it away;\nraise a lament on the bare heights,\nfor the **LORD** has rejected and abandoned\nthe generation that aroused his wrath.|Preserves female city mourning commands and cut hair.
7:30|“For the people of Judah have done evil in my eyes,” declares the **LORD**. “They have placed their offensive things in the house that bears my name, defiling it.|Keeps concrete temple defilement.
7:31|They built Topheth’s high places in the Valley of Ben-hinnom to burn their sons and daughters in fire—something I did not command and that never entered my mind.|Preserves both genders of child victims and categorical divine rejection.
7:32|So look, days are coming,” declares the **LORD**, “when it will no longer be called Topheth or the Valley of Ben-hinnom, but the Valley of Slaughter. They will bury people at Topheth for lack of room elsewhere.|Keeps renamed valley and lack of burial space elsewhere as the reason for burial at Topheth.
7:33|The corpses of this people will become food for the birds of the heavens and the animals of the earth, with no one to frighten them away.|Retains exposed dead and unimpeded scavengers.
7:34|I will silence in Judah’s cities and Jerusalem’s streets the sound of joy and gladness, the voice of bridegroom and bride, for the land will become a ruin.”|Preserves four joy/voice terms ending in destroyed land.
