25:1|Of David.\nTo you, LORD, I lift up my life.|Keep title and lifted life as an act of trust.
38:14|I am like a person who hears nothing\nand has no argument to offer.|Retain silence and absence of rebuttal.
38:15|For I wait for you, LORD;\nyou will answer, Lord my God.|Preserve waiting as reason for silence.
38:16|I said, “Do not let them rejoice over me,\nexalting themselves when my foot slips.”|Supply the implied negative request and keep stumbling image.
38:17|I am close to falling;\nmy pain is always before me.|Keep imminence and unrelieved suffering.
38:18|I confess my wrongdoing;\nmy sin fills me with anxiety.|Retain open confession and emotional burden.
38:19|My enemies are vigorous and strong;\nthose who hate me unjustly are many.|Follow pinned living/vigorous rather than replacing it with without cause.
38:20|Those who repay good with evil oppose me\nbecause I pursue what is good.|Follow the read pursuit form and preserve moral tension with confession.
38:21|Do not forsake me, LORD.\nMy God, do not stay far away.|Keep repeated appeal for presence.
38:22|Hurry to help me,\nLord, my salvation.|End with urgency and divine title.
39:1|For the music leader. For Jeduthun. A psalm of David.\nI said, “I will guard my ways so I do not sin with my tongue.\nI will muzzle my mouth while the wicked are before me.”|Retain personal name in title and deliberate restraint image.
39:2|I was silent, saying nothing, holding back even good words;\nbut my pain grew worse.|Keep the cost of silence and ambiguous good phrase.
39:3|My heart grew hot within me;\nas I brooded, fire burned.\nThen my tongue spoke:|Preserve the mounting heat before speech.
39:4|“LORD, let me know my end and the measure of my days.\nLet me understand how fleeting I am.|Keep mortality as the object of requested knowledge.
39:5|You have made my days a few handbreadths;\nmy lifetime is nothing before you.\nSurely every person, even standing firm, is only a breath. Selah.|Retain concrete measure and apparent stability overturned.
39:6|People walk about as mere shadows;\ntheir bustle is only a breath.\nThey heap things up without knowing who will gather them.|Keep shadow, breath, and uncertain inheritor.
39:7|And now, Lord, what do I wait for?\nMy hope is in you.|Retain the question and direct answer.
39:8|Rescue me from all my rebellions;\ndo not make me a fool’s laughingstock.|Keep personal guilt and social disgrace.
39:9|I am silent; I do not open my mouth,\nfor you are the one who has done this.|Preserve God’s agency and renewed silence.
39:10|Remove your blow from me;\nI am spent by the assault of your hand.|Retain the painful appeal against divine attack.
39:11|When you discipline someone with rebukes for wrongdoing,\nyou consume what they cherish like a moth.\nSurely every person is only a breath. Selah.|Keep moral discipline, moth, and repeated frailty refrain.
39:12|Hear my prayer, LORD; listen to my cry for help.\nDo not be silent at my tears.\nI am a resident alien with you, a temporary settler like all my ancestors.|Retain vulnerable residency before God and ancestral connection.
39:13|Look away from me, so I may brighten again\nbefore I go and am no more.”|Keep the unsettling request for divine withdrawal and unresolved ending.
40:1|For the music leader. Of David. A psalm.\nI waited and waited for the LORD;\nhe bent toward me and heard my cry.|Render emphatic waiting through repetition.
40:2|He brought me up from a roaring pit, from clinging mud.\nHe set my feet on a rock and made my steps secure.|Keep roaring and mud images with stable footing.
40:3|He put a new song in my mouth, a song of praise to our God.\nMany will see and fear and trust in the LORD.|Retain the linked responses and shift to our God.
40:4|Happy is the one who makes the LORD their trust,\nwho does not turn to the arrogant or those straying after lies.|Keep trust as allegiance and two rejected alternatives.
40:5|LORD my God, you have done so many wonders; your thoughts are for us.\nNo one compares with you.\nIf I tried to tell and recount them, they would be too many to number.|Retain both thoughts toward us and no comparison to you; separate clauses avoid making thoughts the sole object of comparison.
40:6|You did not desire sacrifice and offering;\nyou dug out ears for me.\nYou did not ask for burnt offering or sin offering.|Preserve pinned ears image rather than replacing it with body.
40:7|Then I said, “Here I am; I have come.\nIn the scroll it is written about me.|Keep the scroll’s relation to speaker open to a note.
40:8|I delight to do your will, my God;\nyour instruction is deep within me.”|Retain delight and embodied inward teaching.
40:9|I have announced righteousness in the great assembly.\nI have not held my lips back, LORD; you know.|Keep public proclamation and divine witness.
40:10|I have not hidden your righteousness in my heart.\nI have told of your faithfulness and salvation;\nI have not concealed your faithful love and truth from the great assembly.|Preserve repeated refusal to conceal and distinct covenant vocabulary.
40:11|You, LORD, will not hold your compassion back from me;\nyour faithful love and truth will always guard me.|Keep correspondence between unrestrained praise and compassion.
40:12|Troubles beyond counting surround me.\nMy wrongdoings have caught up with me, and I cannot see.\nThey are more than the hairs on my head; my heart has failed me.|Retain guilt, blindness, and overwhelming number.
40:13|Be pleased to rescue me, LORD;\nLORD, hurry to help me.|Keep doubled divine address and urgent appeal.
40:14|Let those seeking to destroy my life be ashamed and humiliated together.\nLet those who delight in my harm retreat in disgrace.|Preserve distinct lethal intent and pleasure in harm.
40:15|Let those who say to me, “Aha! Aha!”\nbe appalled at their own shame.|Keep taunt and reversal.
40:16|Let all who seek you rejoice and be glad in you.\nLet those who love your salvation always say, “Great is the LORD!”|Retain communal joy and recurring praise.
40:17|But I am afflicted and needy; may the Lord think of me.\nYou are my help and my rescuer.\nMy God, do not delay.|Keep vulnerability alongside past rescue, ending in urgency.
41:1|For the music leader. A psalm of David.\nHappy is the one who attends to the weak;\nthe LORD will rescue that person on a day of trouble.|Preserve thoughtful care and reciprocal protection.
41:2|The LORD will guard them and keep them alive;\nthey will be called happy in the land.\nDo not hand them over to their enemies’ desires.|Follow read blessed form and preserve shift into prayer.
41:3|The LORD will sustain them on their sickbed;\nyou will turn their whole bed in their illness.|Retain the difficult bed-turning image and person shift for a note.
41:4|I said, “LORD, be gracious to me;\nheal me, for I have sinned against you.”|Keep the speaker’s confession within the illness prayer.
41:5|My enemies say maliciously,\n“When will he die and his name disappear?”|Retain hostile desire for death and forgotten identity.
41:6|A visitor comes and speaks empty words,\ngathering harmful gossip in his heart;\nthen he goes outside and spreads it.|Clarify sickroom visitor’s duplicity without inventing an identity.
41:7|All who hate me whisper together against me;\nthey imagine the worst for me:|Keep collective whispering and open its content.
41:8|“A deadly thing has fastened on him;\nnow that he lies down, he will never rise again.”|Retain ambiguous destructive thing rather than naming a disease.
41:9|Even my close friend, whom I trusted,\nwho ate my bread, has raised his heel against me.|Preserve shared food and the betrayal image.
41:10|But you, LORD, be gracious to me and raise me up,\nso I can repay them.|Keep retributive purpose rather than softening it to recovery alone.
41:11|By this I know you delight in me:\nmy enemy does not shout in triumph over me.|Retain the speaker’s sign of favor.
41:12|You uphold me in my integrity\nand set me in your presence forever.|Keep integrity and enduring presence.
41:13|Blessed be the LORD, the God of Israel,\nfrom everlasting to everlasting.\nAmen and amen.|Retain the closing doxology and repeated amen.
42:1|For the music leader. A maskil of the sons of Korah.\nAs a deer longs for streams of water,\nso I long for you, God.|Bind title and thirsty creature image without modernizing it.
42:2|I thirst for God, for the living God.\nWhen may I come and appear before God’s face?|Follow pointed appear rather than silently changing to see.
42:3|My tears have been my food day and night,\nwhile people keep asking me, “Where is your God?”|Keep unceasing grief and hostile question.
42:4|I remember these things and pour out my life within me:\nhow I went with the crowd, leading them to God’s house,\nwith joyful cries and thanksgiving, a multitude keeping festival.|Choose procession reading and preserve remembered communal worship.
42:5|Why are you bowed down, my soul? Why do you roar within me?\nHope in God, for I will yet thank him\nfor the saving help of his presence.|Preserve pinned his face and distinguish this refrain from the later form.
42:6|My God, my soul is bowed down within me.\nSo I remember you from the land of the Jordan,\nfrom the heights of Hermon, from Mount Mizar.|Keep divine address here and all three geographical expressions.
42:7|Deep calls to deep at the roar of your waterfalls;\nall your breakers and waves have swept over me.|Retain overwhelming waters explicitly called God’s.
42:8|By day the LORD commands his faithful love;\nby night his song is with me, a prayer to the God of my life.|Follow read his song and preserve day/night movement.
42:9|I say to God, my rock, “Why have you forgotten me?\nWhy must I go about mourning under the enemy’s oppression?”|Keep trust title alongside accusation of abandonment.
42:10|Like a deadly blow to my bones, my foes taunt me,\nasking all day long, “Where is your God?”|Retain bodily force and repeated taunt.
42:11|Why are you bowed down, my soul? Why do you roar within me?\nHope in God, for I will yet thank him,\nmy saving help, my God.|Repeat the shared refrain exactly; render salvation of my face as my saving help, explaining the bodily image in a note.
43:1|Vindicate me, God; defend my cause against a faithless nation.\nRescue me from deceitful and unjust people.|Preserve legal appeal and collective hostility.
43:2|You are the God of my refuge. Why have you rejected me?\nWhy must I go about mourning under the enemy’s oppression?|Keep refuge and rejection together with the earlier question.
43:3|Send your light and your truth; let them lead me.\nLet them bring me to your holy mountain, to your dwelling places.|Retain personified guides and sanctuary destination.
43:4|Then I will come to God’s altar, to God, my overflowing joy.\nI will thank you with the lyre, God, my God.|Keep altar, music, and doubled personal address.
43:5|Why are you bowed down, my soul? Why do you roar within me?\nHope in God, for I will yet thank him,\nmy saving help, my God.|Repeat the shared refrain exactly; render salvation of my face as my saving help, explaining the bodily image in a note.
44:1|For the music leader. Of the sons of Korah. A maskil.\nGod, we have heard with our own ears;\nour ancestors told us what you did in their days, long ago.|Preserve title and transmitted communal memory.
44:2|With your hand you drove out nations and planted our ancestors.\nYou afflicted peoples and spread our ancestors abroad.|Clarify changing objects of the parallel verbs while retaining displacement.
44:3|They did not gain the land by their own sword;\ntheir own arm did not save them.\nIt was your right hand, your arm, and the light of your face,\nbecause you favored them.|Retain denial of human power and bodily divine images.
44:4|You are my king, God;\ncommand victories for Jacob.|Keep singular voice within communal prayer.
44:5|Through you we thrust back our foes;\nthrough your name we trample those who rise against us.|Preserve aggressive victory images.
44:6|I do not trust in my bow;\nmy sword cannot save me.|Keep first-person military disavowal.
44:7|You saved us from our foes\nand put those who hate us to shame.|Retain remembered collective rescue.
44:8|In God we boast all day long;\nwe will thank your name forever. Selah.|Keep shift to direct address and enduring praise.
44:9|Yet you have rejected and disgraced us;\nyou no longer march out with our armies.|Preserve abrupt contradiction of prior confidence.
44:10|You make us retreat before the foe;\nthose who hate us plunder us for themselves.|Keep God’s agency in defeat and enemy gain.
44:11|You hand us over like sheep for food\nand scatter us among the nations.|Retain slaughter and dispersion images.
44:12|You sell your people for nothing\nand gain no wealth from their price.|Preserve protest at a sale without benefit.
44:13|You make us a reproach to our neighbors,\na mockery and a jeer to those around us.|Keep God directly accused of public humiliation.
44:14|You make us a byword among the nations,\na people at whom others shake their heads.|Clarify gesture of derision and international setting.
44:15|My disgrace is before me all day;\nshame covers my face,|Preserve shift into singular lament and continue its cause.
44:16|at the voice of the one who taunts and reviles,\nat the sight of the enemy bent on revenge.|Retain both spoken and confronting hostility.
44:17|All this has come upon us, yet we have not forgotten you\nor been false to your covenant.|Keep the community’s claim of undeserved suffering.
44:18|Our hearts have not turned back;\nour steps have not strayed from your path,|Retain negation over both parallel clauses.
44:19|though you crushed us in a place of jackals\nand covered us with deepest darkness.|Preserve God’s agency and desolate animal habitat.
44:20|If we had forgotten our God’s name\nor spread our hands to a foreign god,|Keep hypothetical disloyal worship and its gesture.
44:21|would not God search this out?\nHe knows the secrets of the heart.|Retain rhetorical appeal to divine knowledge as support for innocence.
44:22|Yet because of you we are killed all day long,\ncounted as sheep for slaughter.|Keep suffering for God without harmonizing to later quotation.
44:23|Wake up! Why do you sleep, Lord?\nRise! Do not reject us forever.|Preserve provocative divine-sleep language.
44:24|Why do you hide your face\nand forget our affliction and oppression?|Retain unsoftened question about absence.
44:25|We have sunk down into the dust;\nour bellies cling to the ground.|Keep bodily prostration and abasement.
44:26|Rise to help us;\nredeem us for the sake of your faithful love.|End with relational appeal rather than invented resolution.
45:1|For the music leader. According to “Lilies.” Of the sons of Korah. A maskil. A song of love.\nMy heart overflows with a good word; I address my verses to the king.\nMy tongue is a skilled scribe’s pen.|Include each title element and preserve poet/scribe imagery.
45:2|You are the most handsome of men; grace pours from your lips.\nThat is why God has blessed you forever.|Retain explicit male beauty because the source names it.
45:3|Strap your sword to your thigh, mighty warrior,\nin your splendor and majesty.|Keep royal military dress and address.
45:4|In your majesty ride on to victory\nfor truth, humility, and righteousness;\nlet your right hand teach you awesome deeds.|Preserve difficult linked virtues and instructing hand.
45:5|Your arrows are sharp; peoples fall beneath you—\nthey strike the hearts of the king’s enemies.|Make the compressed arrow action clear without removing violence.
45:6|Your throne, O God, is forever and ever;\nthe scepter of your kingdom is a scepter of fairness.|Preserve consequential divine address and document alternative syntax.
45:7|You love righteousness and hate wickedness.\nSo God, your God, has anointed you\nwith the oil of joy above your companions.|Keep God/your God distinction and anointing comparison.
45:8|All your garments smell of myrrh, aloes, and cassia;\nfrom ivory palaces string music brings you joy.|Supply scent naturally and note uncertain musical term.
45:9|Kings’ daughters are among your honored women;\nat your right hand stands the queen in gold from Ophir.|Retain women’s distinct royal roles and prized gold.
45:10|Listen, daughter; look and bend your ear.\nForget your people and your father’s house.|Preserve the shift to the bride and the demanding instruction.
45:11|Let the king desire your beauty;\nhe is your lord, so bow before him.|Keep hierarchy and physical beauty without modernizing the marriage.
45:12|The daughter of Tyre comes with a gift;\nthe richest of the people seek your favor.|Retain city personification and gifts seeking goodwill.
45:13|The king’s daughter is all splendor within her chamber;\nher clothing is woven with gold.|Read inward location spatially rather than as moral inner beauty.
45:14|In embroidered garments she is led to the king;\nvirgin companions follow her and are brought to you.|Retain female attendants and return to male addressee.
45:15|They are led in with joy and gladness;\nthey enter the king’s palace.|Preserve plural procession and destination.
45:16|Your sons will take the place of your fathers;\nyou will appoint them princes throughout the land.|Keep masculine address and dynastic succession.
45:17|I will make your name remembered in every generation;\nso peoples will praise you forever and ever.|Retain poet’s promise to the king and international praise.
46:1|For the music leader. Of the sons of Korah. According to Alamoth. A song.\nGod is our refuge and strength,\na help readily found in distress.|Keep title and accessibility of help.
46:2|So we will not fear though the earth changes\nand mountains slip into the heart of the seas,|Preserve cosmic instability and continue the sentence.
46:3|though their waters roar and foam\nand mountains shake at their swelling. Selah.|Retain waters’ force and shaking terrain.
46:4|A river’s streams gladden God’s city,\nthe holy dwelling place of the Most High.|Keep singular river with multiple streams and sacred city.
46:5|God is within her; she will not fall.\nGod will help her when morning dawns.|Retain feminine city personification and dawn rescue.
46:6|Nations roar, kingdoms fall;\nhe raises his voice, and the earth melts.|Keep nation/water parallel and divine voice.
46:7|The LORD of Armies is with us;\nthe God of Jacob is our stronghold. Selah.|Establish the refrain exactly for repetition.
46:8|Come and see the LORD’s works,\nthe desolations he has brought upon the earth.|Retain destruction rather than replacing it with generic wonders.
46:9|He stops wars to the ends of the earth.\nHe breaks the bow, cuts the spear apart,\nand burns the wagons with fire.|Follow pinned wagons and keep military disarmament.
46:10|“Let go, and know that I am God.\nI will be exalted among the nations;\nI will be exalted throughout the earth.”|Render cease/release in the conflict context and mark divine speech.
46:11|The LORD of Armies is with us;\nthe God of Jacob is our stronghold. Selah.|Repeat the refrain without unnecessary synonym changes.
47:1|For the music leader. Of the sons of Korah. A psalm.\nClap your hands, all peoples;\nshout to God with joyful cries!|Retain title and universal summons.
47:2|The LORD Most High is awe-inspiring,\na great king over all the earth.|Keep divine title and worldwide kingship.
47:3|He subdues peoples beneath us,\nnations beneath our feet.|Retain subjugation in the communal celebration.
47:4|He chooses our inheritance for us,\nthe pride of Jacob, whom he loves. Selah.|Keep inheritance and loved Jacob without assigning a narrower referent.
47:5|God goes up amid shouts,\nthe LORD amid the sound of the ram’s horn.|Retain ascent and instrument without inventing a ceremony’s details.
47:6|Sing praise to God, sing praise!\nSing praise to our king, sing praise!|Keep all four calls and their emphatic repetition.
47:7|God is king of all the earth;\nsing a song of understanding.|Render maskil’s wisdom association while noting uncertainty.
47:8|God reigns over the nations;\nGod sits on his holy throne.|Keep repeated God and royal imagery.
47:9|The nobles of the peoples gather\nas the people of Abraham’s God.\nThe shields of the earth belong to God;\nhe is greatly exalted.|Keep difficult gathering relation and shields metaphor.
48:1|A song. A psalm of the sons of Korah.\nGreat is the LORD and greatly to be praised\nin our God’s city, his holy mountain.|Preserve title and location of praise.
48:2|Beautiful in height, the joy of all the earth,\nis Mount Zion, in the far north,\nthe city of the great king.|Retain north/Zaphon expression for explanatory note rather than correcting geography.
48:3|Within her citadels,\nGod has made himself known as a stronghold.|Keep city’s feminine reference and divine defense.
48:4|Look, the kings assembled;\ntogether they advanced.|Preserve alliance and movement toward the city.
48:5|They saw and were astonished;\nterrified, they fled in haste.|Keep rapid sequence of defeat without inventing battle details.
48:6|Trembling seized them there,\nanguish like a woman in labor.|Retain gender-specific birth comparison.
48:7|With an east wind\nyou shatter the ships of Tarshish.|Keep sudden direct address and maritime comparison.
48:8|As we heard, so we have seen\nin the city of the LORD of Armies, in our God’s city.\nGod will establish her forever. Selah.|Preserve received tradition confirmed by sight.
48:9|We ponder your faithful love, God,\nwithin your temple.|Keep communal reflection and location.
48:10|Like your name, God, your praise reaches the ends of the earth.\nYour right hand is full of righteousness.|Retain global reach and ethical hand image.
48:11|Let Mount Zion rejoice;\nlet the daughters of Judah be glad because of your judgments.|Keep daughters metaphor with towns as note possibility.
48:12|Walk around Zion; make a circuit.\nCount her towers.|Preserve invitation to inspect concrete defenses.
48:13|Take her rampart to heart; examine her citadels,\nso you can tell the next generation:|Keep observation serving intergenerational transmission.
48:14|“This is God, our God forever and ever.\nHe will guide us unto death.”|Retain difficult final death phrase and document other readings.
49:1|For the music leader. Of the sons of Korah. A psalm.\nHear this, all peoples;\nlisten, everyone who lives in the world,|Preserve title and universal wisdom audience.
49:2|people of low and high standing,\nrich and needy together.|Render paired human designations socially and inclusively.
49:3|My mouth will speak wisdom;\nmy heart’s meditation will bring understanding.|Keep outward speech and inward thought.
49:4|I will bend my ear to a proverb;\nwith a lyre I will unfold my riddle.|Retain teacher also listening and musical explanation.
49:5|Why should I fear in evil days,\nwhen the wrongdoing of those at my heels surrounds me—|Keep threatening heels idiom and continue the referent.
49:6|those who trust in their resources\nand boast of their great wealth?|Identify the threatening wealthy without generalizing all wealth as guilt.
49:7|No one can ransom a brother\nor pay God the price for his life—|Keep specific brother and inability to redeem.
49:8|the ransom for a life is too costly;\none must give up the attempt forever—|Preserve parenthetic explanation and absolute inability.
49:9|so that he might live on forever\nand never see the pit.|Connect purpose to the impossible ransom.
49:10|Anyone can see that the wise die;\nfools and the senseless perish together\nand leave their wealth to others.|Retain shared mortality despite differences in wisdom.
49:11|Their inward thought is that their houses will last forever,\ntheir dwellings through every generation;\nthey name lands after themselves.|Follow pinned inward thought rather than silently changing to graves.
49:12|Human beings in splendor do not endure;\nthey are like animals that perish.|Keep the first refrain’s endure verb distinct from verse 20.
49:13|This is the way of those with foolish confidence,\nand of those after them who approve their words. Selah.|Preserve ambiguous followers’ approval and misplaced confidence.
49:14|Like sheep they are destined for Sheol; Death will shepherd them.\nThe upright will rule over them at morning.\nTheir form will waste away in Sheol, far from their dwelling.|Follow read form and retain difficult final relation in a note.
49:15|But God will ransom my life from Sheol’s hand,\nfor he will take me. Selah.|Keep personal hope without specifying timing or mechanism.
49:16|Do not fear when someone grows rich,\nwhen the splendor of their house increases.|Preserve warning against fear of wealth.
49:17|At death they take none of it;\ntheir splendor does not descend after them.|Keep descent and stripped possessions.
49:18|Though they congratulate themselves while alive—\nand people praise you when you do well for yourself—|Retain aside’s shift to second person.
49:19|they will go to the generation of their ancestors,\nwho will never see light again.|Preserve final darkness in the poem’s own voice.
49:20|Human beings in splendor, without understanding,\nare like animals that perish.|Keep changed refrain wording and wisdom emphasis.
50:1|A psalm of Asaph.\nThe Mighty One, God, the LORD, speaks and summons the earth\nfrom the sun’s rising to its setting.|Preserve Asaph title and El, Elohim, YHWH in source order, followed by the summons spanning sunrise to sunset.
50:2|From Zion, the perfection of beauty,\nGod shines forth.|Keep explicit beauty and divine appearance.
50:3|Our God comes and will not stay silent.\nFire devours before him; a fierce storm rages around him.|Retain terrifying arrival and silence broken.
50:4|He summons heaven above and the earth\nto judge his people:|Keep cosmic witnesses and own people as defendants.
50:5|“Gather my faithful ones to me,\nthose who made my covenant by sacrifice.”|Preserve covenant-making ritual and divine summons.
50:6|The heavens declare his righteousness,\nfor God himself is judge. Selah.|Keep heavens as witness and judge’s identity.
50:7|“Hear, my people, and I will speak.\nIsrael, I will testify against you.\nI am God, your God.|Mark renewed divine speech and covenantal address.
50:8|I do not rebuke you for your sacrifices;\nyour burnt offerings are always before me.|Keep precise denial rather than dismissing all sacrifice.
50:9|I need no bull from your house\nor male goats from your pens,|Express refusal in context of divine ownership.
50:10|for every forest animal is mine,\nthe cattle on a thousand hills.|Keep comprehensive ownership and stated number.
50:11|I know every bird of the mountains;\nthe creatures of the fields are mine.|Retain knowledge and ownership of nonhuman life.
50:12|If I were hungry, I would not tell you,\nfor the world and all it holds belong to me.|Keep the hypothetical and ironic independence.
50:13|Do I eat the flesh of bulls\nor drink the blood of goats?|Preserve rhetorical challenge to feeding God.
50:14|Offer thanksgiving as your sacrifice to God;\nfulfill your vows to the Most High.|Keep thanksgiving’s possible sacrificial sense and vowed obligations.
50:15|Call on me on a day of distress.\nI will rescue you, and you will honor me.”|Close first speech with relational response.
50:16|But to the wicked God says,\n“What right have you to recite my statutes\nand take my covenant on your lips,|Keep new audience and challenge to empty recitation.
50:17|when you hate correction\nand throw my words behind you?|Retain active rejection image.
50:18|When you see a thief, you are pleased to join him;\nyou throw in your lot with adulterers.|Read ratzah as pleased approval and participation with a thief; retain separate company with adulterers.
50:19|You let your mouth loose for evil;\nyour tongue weaves deceit.|Keep unrestricted speech and crafting deceit.
50:20|You sit and speak against your brother,\nslandering your own mother’s son.|Retain intensified kinship betrayal.
50:21|You did these things, and I stayed silent.\nYou thought I was just like you.\nBut I will rebuke you and lay it all before your eyes.|Preserve mistaken inference from silence and confrontation.
50:22|Understand this, you who forget God,\nor I will tear you apart, with no one to rescue you.|Keep violent warning and absence of rescuer.
50:23|The one who offers thanksgiving honors me.\nTo the one who orders their way rightly\nI will show God’s salvation.”|Supply rightly from ethical context while noting compressed final clause.
51:1|For the music leader. A psalm of David, when the prophet Nathan came to him after he had gone in to Bathsheba.\nBe gracious to me, God, according to your faithful love;\nin your great compassion wipe away my rebellions.|Bind both title records and opening prayer, preserving the sexual euphemism with a note.
51:2|Wash me thoroughly from my wrongdoing;\ncleanse me from my sin.|Follow read imperative and retain washing/purification.
51:3|I know my rebellions;\nmy sin is always before me.|Keep acknowledged responsibility and constant awareness.
51:4|Against you, you alone, I have sinned\nand done what is evil in your sight,\nso you are right when you speak and clear when you judge.|Retain emphatic alone without using it to deny human victims.
51:5|I was brought forth in wrongdoing;\nin sin my mother conceived me.|Keep birth-to-conception imagery without assigning a specific maternal offense.
51:6|You desire truth in the inward parts;\nin the hidden place you teach me wisdom.|Retain obscure interior imagery with a concise note.
51:7|Purify me with hyssop, and I will be clean;\nwash me, and I will be whiter than snow.|Keep ritual plant and cleansing comparison.
51:8|Let me hear joy and gladness;\nlet the bones you crushed rejoice.|Retain divine crushing and bodily restoration.
51:9|Hide your face from my sins;\nwipe away all my wrongdoings.|Preserve face turned from guilt rather than from the person.
51:10|Create a clean heart in me, God;\nrenew a steadfast spirit within me.|Keep creation and renewal as paired requests.
51:11|Do not throw me out of your presence\nor take your holy spirit from me.|Retain holy spirit language without adding a later doctrinal definition.
51:12|Restore to me the joy of your salvation;\nsustain me with a willing spirit.|Keep restoration of joy and willing disposition’s uncertain agency.
51:13|Then I will teach rebels your ways,\nand sinners will return to you.|Preserve future instruction arising from restoration.
51:14|Rescue me from bloodguilt, God, the God who saves me;\nmy tongue will sing of your righteousness.|Keep bloodshed responsibility and promised praise.
51:15|Lord, open my lips,\nand my mouth will announce your praise.|Retain God enabling the speech.
51:16|You do not delight in sacrifice, or I would give it;\nyou take no pleasure in a burnt offering.|Keep the speaker’s hypothetical offering and divine refusal.
51:17|The sacrifices of God are a broken spirit;\na broken and crushed heart, God, you will not despise.|Preserve plural sacrifices and repeated brokenness.
51:18|In your favor do good to Zion;\nrebuild Jerusalem’s walls.|Keep communal turn without resolving compositional history.
51:19|Then you will delight in righteous sacrifices,\nin burnt offerings and whole offerings;\nthen bulls will be offered on your altar.|Retain righteous sacrifices, burnt offerings and whole offerings without collapsing the paired terms; preserve final bulls and altar.
52:1|For the music leader. A maskil of David, when Doeg the Edomite came and told Saul, “David has come to Ahimelech’s house.”\nWhy boast of evil, you mighty man?\nGod’s faithful love lasts all day.|Retain historical title and abrupt contrast with divine loyalty.
52:2|Your tongue plots ruin,\nlike a sharpened razor, working deceit.|Keep tongue as destructive agent and sharp tool.
52:3|You love evil more than good,\nlies more than speaking rightly. Selah.|Preserve comparative loves and ethical speech.
52:4|You love every devouring word,\nyou deceitful tongue!|Keep consuming speech and direct address to tongue.
52:5|But God will tear you down forever;\nhe will seize you, pull you from your tent,\nand uproot you from the land of the living. Selah.|Retain escalating destructive actions and uprooting.
52:6|The righteous will see and fear;\nthey will laugh at him:|Keep both fear and laughter without softening.
52:7|“Here is the man who would not make God his stronghold.\nHe trusted in his great wealth\nand made himself strong through destruction.”|Preserve wrong refuge and difficult final source of strength.
52:8|But I am like a flourishing olive tree in God’s house;\nI trust in God’s faithful love forever and ever.|Keep living tree contrast to uprooted enemy.
52:9|I will thank you forever because you have acted.\nI will wait for your name, for it is good,\nin the presence of your faithful ones.|Retain unusual waiting for name and communal setting.
53:1|For the music leader. According to Mahalath. A maskil of David.\nThe fool says in his heart, “There is no God.”\nThey are corrupt and do abhorrent wrong; no one does good.|Keep title and this Psalm’s wrongdoing term distinct from Psalm 14.
53:2|God looks down from heaven on humanity\nto see whether anyone understands, whether anyone seeks God.|Retain God designation rather than harmonizing LORD from Psalm 14.
53:3|All have turned away; together they have become corrupt.\nNo one does good, not even one.|Keep comprehensive repeated indictment.
53:4|Do these evildoers know nothing,\ndevouring my people as they eat bread, never calling on God?|Retain unmarked my people voice and eating image.
53:5|There they trembled with terror where there was no cause for terror.\nGod scattered the bones of those camped against you;\nyou put them to shame, for God rejected them.|Preserve this Psalm’s distinct expanded judgment and second-person address.
53:6|If only Israel’s salvation would come from Zion!\nWhen God restores his people’s fortunes,\nlet Jacob rejoice and Israel be glad.|Keep communal longing and God rather than LORD.
54:1|For the music leader. With stringed instruments. A maskil of David, when the Ziphites came and said to Saul, “Is not David hiding among us?”\nGod, save me by your name;\nvindicate me by your power.|Bind both title records and preserve specific informants.
54:2|God, hear my prayer;\nlisten to the words of my mouth.|Keep doubled appeal to hearing.
54:3|Strangers have risen against me;\nruthless men seek my life.\nThey do not keep God before them. Selah.|Retain pinned strangers rather than substituting arrogant people.
54:4|Look, God is my helper;\nthe Lord is among those who sustain my life.|Keep the unusual among construction without excluding divine primacy.
54:5|He will turn evil back on those watching for my fall.\nIn your faithfulness, destroy them.|Follow read causative and preserve sharp turn into direct destructive appeal.
54:6|I will freely offer you a sacrifice;\nI will thank your name, LORD, for it is good.|Keep voluntary offering and good name.
54:7|He has rescued me from every distress;\nmy eyes have looked upon my enemies.|Do not add triumph or desire absent from the final clause.
55:1|For the music leader. With stringed instruments. A maskil of David.\nGod, listen to my prayer;\ndo not turn away from my plea.|Bind separate title with opening; keep plea against divine withdrawal.
55:2|Pay attention to me and answer.\nI am restless in my complaint, moaning|Let complaint run into the cause in verse 3; arid expresses restless distress.
55:3|at the enemy’s voice,\nunder the wicked man’s pressure.\nThey heap trouble on me\nand pursue me in anger.|Keep hostile speech and pressure, plural turn and anger rather than adding physical blows.
55:4|My heart writhes inside me;\nthe terrors of death have fallen on me.|Retain embodied writhing and death terrors.
55:5|Fear and trembling come over me;\nhorror covers me.|Keep three cumulative fear expressions and covering image.
55:6|I said, “If only I had wings like a dove!\nI would fly away and settle somewhere.|Dove wish is escape and rest without adding heaven.
55:7|I would wander far away\nand spend the night in the wilderness. Selah.|Preserve wilderness lodging and pause within speech.
55:8|I would hurry to find shelter\nfrom the rushing wind and storm.”|Close escape wish at storm; refuge motif remains concrete.
55:9|Swallow them up, Lord; divide their tongues!\nI see violence and conflict in the city.|Keep destructive imperative and divided tongues rather than reducing to confusion alone.
55:10|Day and night they circle it on its walls;\ntrouble and misery are inside it.|Allow violence and conflict personified as circling without identifying invented guards.
55:11|Destruction is within it;\noppression and deceit never leave its square.|Retain civic public square and persistence.
