6:1|Then Solomon said, “The LORD said he would dwell in thick darkness.|Retain the cloud-darkness image introducing Solomon’s response.
14:9|Zerah the Cushite marched against them with an army of a million and three hundred chariots. He advanced as far as Mareshah.|Keep the source’s very large army and exact chariot count.
14:10|Asa went out to meet him, and they drew up for battle in the Valley of Zephathah near Mareshah.|Preserve both place names and battle formation.
14:11|Asa called to the LORD his God: “LORD, no one but you can help in the struggle between the many and the powerless. Help us, LORD our God, for we rely on you. In your name we have come against this vast crowd. You are the LORD our God; do not let mere mortals prevail against you.”|Retain the difficult many-powerless contrast and final appeal against mortal strength.
14:12|The LORD defeated the Cushites before Asa and Judah, and the Cushites fled.|Keep the divine actor and repeated people name.
14:13|Asa and the people with him pursued them as far as Gerar. So many Cushites fell that they could not recover, for they were shattered before the LORD and his camp. Judah carried off enormous plunder.|Retain the severe defeat and the LORD’s camp image.
14:14|They struck all the towns around Gerar, for the dread of the LORD had fallen on them. They plundered every town, where there was much to take.|Keep attacks and plunder explicit.
14:15|They also struck the livestock camps, captured great numbers of sheep and goats and camels, and returned to Jerusalem.|Retain the pastoral camps as targets and the captured animals.
15:1|God’s Spirit came upon Azariah son of Oded.|Introduce the prophet and divine initiative.
15:2|He went out to meet Asa and said, “Listen to me, Asa and all Judah and Benjamin! The LORD is with you when you are with him. If you seek him, he will let you find him; if you abandon him, he will abandon you.|Preserve the reciprocal warning and conditional seeking.
15:3|For a long time Israel was without the true God, without a teaching priest, and without instruction.|Keep the threefold absence without assigning an unstated historical period.
15:4|But in their distress they turned to the LORD, Israel’s God. They sought him, and he let them find him.|Retain turning, seeking and finding in order.
15:5|In those times there was no peace for anyone going out or coming in, for great turmoil troubled all the inhabitants of the lands.|Keep the movement idiom and broad disturbance.
15:6|Nation crushed nation and city crushed city, for God threw them into turmoil with every kind of distress.|Preserve the repeated violence and divine attribution.
15:7|But you, be strong! Do not let your hands grow slack, for your work will be rewarded.”|Keep the hand image and encouragement.
15:8|When Asa heard these words and the prophecy of Oded the prophet, he took courage. He removed the detestable objects from all Judah and Benjamin and the towns he had captured in Ephraim’s hill country. He renewed the LORD’s altar in front of the LORD’s entrance hall.|Retain Oded here with a note about Azariah in verse 1.
15:9|He gathered all Judah and Benjamin, along with the people from Ephraim, Manasseh, and Simeon living among them. Many from Israel had come over to him when they saw that the LORD his God was with him.|Keep each tribal origin and reason for migration.
15:10|They gathered in Jerusalem in the third month of Asa’s fifteenth year as king.|Retain both date elements.
15:11|That day they sacrificed to the LORD seven hundred cattle and seven thousand sheep and goats from the plunder they had brought.|Keep the animals’ origin and both counts.
15:12|They entered a covenant to seek the LORD, their ancestors’ God, with all their heart and all their being.|Preserve covenant and total commitment.
15:13|Anyone who would not seek the LORD, Israel’s God, was to be put to death, whether small or great, man or woman.|Keep the death penalty and full scope without softening coercion.
15:14|They swore to the LORD with loud voices, shouting, trumpets, and rams’ horns.|Distinguish the sounds and two instruments.
15:15|All Judah rejoiced over the oath, for they had sworn with all their heart and sought him with their whole desire. He let them find him, and the LORD gave them rest on every side.|Retain the narrator’s joy beside the preceding penalty.
15:16|King Asa also removed Maacah his mother from her position as queen mother because she had made a monstrous image for Asherah. Asa cut down her image, crushed it, and burned it in the Kidron Valley.|Retain mother as the source states, with generational ambiguity noted.
15:17|The high places were not removed from Israel. Even so, Asa’s heart was whole all his days.|Keep both the remaining sites and positive evaluation without harmonization.
15:18|He brought the things his father had consecrated and his own consecrated gifts into God’s house: silver, gold, and utensils.|Distinguish two generations’ gifts.
15:19|There was no war until the thirty-fifth year of Asa’s reign.|Retain the difficult date without silently correcting it.
16:1|In the thirty-sixth year of Asa’s reign, Baasha king of Israel marched against Judah. He fortified Ramah to prevent anyone from going out or coming in to Asa king of Judah.|Preserve the source date and blockade’s purpose.
16:2|Asa brought silver and gold out of the treasuries of the LORD’s house and the royal house and sent it to Ben-hadad king of Aram, who lived in Damascus, with this message:|Keep both treasuries and the named recipient.
16:3|“Let there be a covenant between me and you, as between my father and yours. I am sending you silver and gold. Break your covenant with Baasha king of Israel so that he withdraws from me.”|Retain covenant repetition and the proposed breach.
16:4|Ben-hadad listened to King Asa and sent his army commanders against Israel’s towns. They struck Ijon, Dan, Abel-maim, and all the storage places of Naphtali’s towns.|Keep Chronicles’ Abel-maim and storage wording.
16:5|When Baasha heard, he stopped fortifying Ramah and abandoned his work.|Preserve the military effect of the attack.
16:6|King Asa brought all Judah to carry away the stones and timber Baasha had used at Ramah. With them he built Geba and Mizpah.|Keep reused materials and both destination towns.
16:7|At that time Hanani the seer came to Asa king of Judah and said, “Because you relied on the king of Aram instead of relying on the LORD your God, the army of the king of Aram has escaped your hand.|Retain Aram as the escaped army rather than substituting Israel.
16:8|Were not the Cushites and Libyans a vast army, with great numbers of chariots and horsemen? Yet when you relied on the LORD, he handed them over to you.|Keep the two named peoples and repeated reliance.
16:9|The LORD’s eyes range throughout the earth to show his strength for those whose hearts are whole toward him. You have acted foolishly in this. From now on, you will have wars.”|Retain roaming eyes, whole hearts and the adverse future.
16:10|Asa was angry with the seer and put him in prison, in stocks, furious at what he had said. At that time Asa also brutally oppressed some of the people.|Keep both the prophet’s confinement and wider oppression explicit.
16:11|Asa’s acts, from first to last, are written in the Book of the Kings of Judah and Israel.|Preserve the source’s record title and order.
16:12|In the thirty-ninth year of his reign, Asa became diseased in his feet, and his illness grew severe. Even in his illness he did not seek the LORD, but sought the physicians.|Retain the contrast as a narrative judgment without a general medical prohibition.
16:13|Asa lay down with his ancestors. He died in the forty-first year of his reign.|Keep both death expressions and the precise year.
16:14|They buried him in the tomb he had cut for himself in David’s City. They laid him on a bier filled with spices and various preparations blended by a perfumer’s skill, and made an exceptionally great fire in his honor.|Distinguish burial from the honorary burning rather than implying cremation.
17:1|His son Jehoshaphat became king in his place and strengthened his position against Israel.|Keep succession and the northern threat distinct.
17:2|He stationed troops in all Judah’s fortified towns and placed garrisons throughout Judah and in the towns of Ephraim his father Asa had captured.|Preserve both territories and their prior capture.
17:3|The LORD was with Jehoshaphat because he walked in the earlier ways of his ancestor David and did not seek the Baals.|Retain David and the earlier-ways qualification.
17:4|Instead, he sought his father’s God and followed his commands, unlike Israel’s practices.|Keep the contrast in seeking and conduct.
17:5|The LORD established the kingdom in his hand. All Judah brought tribute to Jehoshaphat, and he had great wealth and honor.|Preserve divine establishment and the source of tribute.
17:6|His heart took courage in the LORD’s ways. He also removed the high places and Asherah poles from Judah.|Choose positive courage for the lifted-heart image in this context.
17:7|In the third year of his reign he sent his officials Ben-hail, Obadiah, Zechariah, Nethanel, and Micaiah to teach in Judah’s towns.|Keep every official and the year of the teaching mission.
17:8|With them went the Levites Shemaiah, Nethaniah, Zebadiah, Asahel, Shemiramoth, Jehonathan, Adonijah, Tobijah, and Tob-adonijah, and the priests Elishama and Jehoram.|Preserve the full roster and distinguish Levites from priests.
17:9|They taught throughout Judah, carrying the Book of the LORD’s Instruction. They traveled through every town in Judah and taught the people.|Keep the book and repeated scope of teaching.
17:10|Dread of the LORD fell on all the kingdoms surrounding Judah, and they did not go to war with Jehoshaphat.|Preserve the stated relation between dread and peace.
17:11|Some Philistines brought Jehoshaphat gifts and silver as tribute. The Arabs also brought him flocks: seven thousand seven hundred rams and seven thousand seven hundred male goats.|Keep the distinct peoples and both equal totals.
17:12|Jehoshaphat grew greater and greater. He built fortresses and storage towns in Judah.|Retain progressive growth and both building types.
17:13|He had extensive work in Judah’s towns, and capable fighting men in Jerusalem.|Keep work and warriors separate rather than inserting supplies.
17:14|These were their enrolled numbers by ancestral house. From Judah, the commanders of thousands were: Adnah the commander, with three hundred thousand capable warriors;|Introduce the roster and retain the first total.
17:15|next to him, Jehohanan the commander, with two hundred eighty thousand;|Keep the second commander and number.
17:16|and next to him, Amasiah son of Zichri, who volunteered for the LORD, with two hundred thousand capable warriors.|Retain the unusual volunteer description.
17:17|From Benjamin: Eliada, a capable warrior, with two hundred thousand men armed with bows and shields;|Keep tribe, commander, number and equipment.
17:18|and next to him, Jehozabad, with a hundred eighty thousand equipped for military service.|Retain the last commander and troop total.
17:19|These served the king, besides those he had stationed in fortified towns throughout Judah.|Keep the listed forces additional to the garrisons.
18:1|Jehoshaphat had great wealth and honor, and he formed a marriage alliance with Ahab.|Preserve the family basis of the alliance.
18:2|Some years later he went down to Ahab in Samaria. Ahab slaughtered many sheep, goats, and cattle for him and the people with him, and urged him to march against Ramoth-gilead.|Keep hospitality and inducement together.
18:3|Ahab king of Israel asked Jehoshaphat king of Judah, “Will you go with me to Ramoth-gilead?” He answered, “I am as you are, and my people are as your people. I will be with you in the war.”|Retain the solidarity formula and military commitment.
18:4|But Jehoshaphat said to Israel’s king, “Please inquire first for the LORD’s word.”|Make the requested inquiry precede action.
18:5|Israel’s king gathered four hundred prophets and asked, “Should we go to war against Ramoth-gilead, or should I hold back?” They answered, “Go up! God will hand it over to the king.”|Preserve the number and the question’s plural-to-singular shift.
18:6|Jehoshaphat asked, “Is there not another prophet of the LORD here whom we can consult?”|Keep another prophet rather than declaring the four hundred’s status.
18:7|Israel’s king told him, “There is still one man through whom we can inquire of the LORD, but I hate him. He never prophesies good for me; all his days it is disaster. He is Micaiah son of Imlah.” Jehoshaphat replied, “The king should not say that.”|Keep Ahab’s grievance as his own assertion.
18:8|Israel’s king called an officer and said, “Bring Micaiah son of Imlah quickly.”|Render the court role while noting the possible eunuch sense.
18:9|Israel’s king and Jehoshaphat king of Judah sat in their robes, each on his throne, at the threshing floor by Samaria’s gate. All the prophets were prophesying before them.|Retain the earthly throne scene and location.
18:10|Zedekiah son of Chenaanah made iron horns and said, “The LORD says: With these you will gore the Arameans until you destroy them.”|Preserve the enacted violent image and claimed divine speech.
18:11|All the prophets prophesied the same: “March against Ramoth-gilead and succeed! The LORD will hand it over to the king.”|Keep unanimity and the repeated promise.
18:12|The messenger sent to summon Micaiah told him, “Look, the prophets speak with one voice in the king’s favor. Please let your word agree with theirs. Speak favorably.”|Retain the pressure to conform and one-voice image.
18:13|Micaiah answered, “As the LORD lives, I will speak whatever my God says.”|Keep the oath and restriction on his speech.
18:14|When he came to the king, the king asked, “Micaiah, should we go to war against Ramoth-gilead, or should I hold back?” He replied, “Go up and succeed! They will be handed over to you.”|Retain the initial favorable answer without inserting a sarcastic stage direction.
18:15|The king said, “How many times must I put you under oath to tell me nothing but the truth in the LORD’s name?”|Keep the oath-demand and truth criterion.
18:16|Then Micaiah said, “I saw all Israel scattered over the mountains\nlike sheep without a shepherd.\nThe LORD said, ‘These have no master.\nLet each go home in peace.’”|Retain the shepherd image and distinct peace outcome for the people.
18:17|Israel’s king said to Jehoshaphat, “Did I not tell you? He prophesies nothing good for me, only disaster.”|Keep the king’s repeated complaint.
18:18|Micaiah continued, “Then hear the LORD’s word. I saw the LORD seated on his throne, with all heaven’s army standing to his right and left.|Preserve the heavenly throne scene’s correspondence with verse 9.
18:19|The LORD asked, ‘Who will entice Ahab king of Israel to march up and fall at Ramoth-gilead?’ One said this, another said that.|Keep the divine question’s lethal purpose explicit.
18:20|Then the spirit came forward, stood before the LORD, and said, ‘I will entice him.’ The LORD asked, ‘How?’|Retain the definite spirit without assigning a name.
18:21|It replied, ‘I will go out and become a lying spirit in the mouths of all his prophets.’ The LORD said, ‘You will entice him and succeed. Go and do it.’|Preserve the commissioned deception without doctrinal explanation.
18:22|So now the LORD has put a lying spirit in the mouths of these prophets of yours, and the LORD has spoken disaster against you.”|Keep Micaiah’s explicit application to Ahab.
18:23|Zedekiah son of Chenaanah stepped forward and struck Micaiah on the cheek. “Which way did the LORD’s Spirit pass from me to speak to you?” he asked.|Preserve the physical assault and contemptuous question.
18:24|Micaiah replied, “You will see on the day you go into an inner room to hide.”|Keep the future reversal and concealed room.
18:25|Israel’s king ordered, “Take Micaiah and return him to Amon, the city governor, and Joash, the king’s son.|Retain both named custodians and the return order.
18:26|Tell them, ‘The king says: Put this man in prison and give him scant bread and scant water until I return in peace.’”|Keep both restricted rations and the repeated peace claim.
18:27|Micaiah said, “If you return in peace at all, the LORD has not spoken through me.” Then he added, “Listen, all you peoples!”|Preserve the test of the prophecy and broad final address.
18:28|Israel’s king and Jehoshaphat king of Judah marched against Ramoth-gilead.|Keep both rulers in the action after the warning.
18:29|Israel’s king told Jehoshaphat, “I will disguise myself and enter the battle, but you wear your robes.” Israel’s king disguised himself, and they entered the battle.|Clarify the compressed first-person plan while retaining the unequal exposure.
18:30|The king of Aram had ordered his chariot commanders, “Fight no one, small or great, except Israel’s king alone.”|Retain the exclusive target without importing a commander count.
18:31|When the chariot commanders saw Jehoshaphat, they said, “That is Israel’s king!” They surrounded him to fight. Jehoshaphat cried out, and the LORD helped him; God drew them away from him.|Keep Chronicles’ explicit divine rescue.
18:32|When the chariot commanders realized he was not Israel’s king, they turned back from pursuing him.|Preserve recognition as the narrated human action.
18:33|Someone drew a bow without knowing his target and struck Israel’s king between the armor’s joints and breastplate. The king told his chariot driver, “Turn around and take me out of the camp. I am wounded.”|Keep the unknowing shot and uncertain armor terminology without invented anatomy.
18:34|The battle intensified that day. Israel’s king kept himself upright in the chariot facing the Arameans until evening. At sunset he died.|Preserve his active posture and exact time of death.
19:1|Jehoshaphat king of Judah returned safely to his house in Jerusalem.|Carry the peace-return contrast with Ahab’s fate.
19:2|Jehu son of Hanani the seer went out to meet him. He told King Jehoshaphat, “Should you help the wicked and love those who hate the LORD? Because of this, wrath from the LORD is upon you.|Retain the rebuke and the seer’s patronymic.
19:3|Still, good things have been found in you: you removed the Asherah poles from the land and set your heart on seeking God.”|Keep the qualified approval after the rebuke.
19:4|Jehoshaphat lived in Jerusalem. He went out among the people again, from Beer-sheba to Ephraim’s hill country, and brought them back to the LORD, their ancestors’ God.|Preserve the renewed outreach and geographic extent.
19:5|He appointed judges throughout the land, in every fortified town of Judah, town by town.|Keep the repeated local scope.
19:6|He told the judges, “Consider what you are doing. You judge on the LORD’s behalf, not on behalf of human beings, and he is with you when you give judgment.|Retain divine accountability without describing judges as infallible.
19:7|Now let dread of the LORD be upon you. Act with care, for the LORD our God shows no injustice or favoritism and takes no bribes.”|Keep all three judicial prohibitions.
19:8|In Jerusalem too, Jehoshaphat appointed some of the Levites, priests, and heads of Israel’s ancestral houses to give the LORD’s judgments and settle disputes. They returned to Jerusalem.|Preserve the difficult return clause rather than silently replacing its verb.
19:9|He charged them, “This is how you must act: with fear of the LORD, faithfully, and with a whole heart.|Keep the threefold manner of service.
19:10|Whenever a dispute comes to you from your fellow Israelites living in their towns—whether a case of bloodshed or a question about instruction, commandment, statutes, or judgments—you must warn them, so they do not incur guilt before the LORD and bring wrath upon you and your people. Do this, and you will not incur guilt.|Preserve the legal categories and shared accountability.
19:11|Amariah the chief priest is over you in every matter concerning the LORD, and Zebadiah son of Ishmael, leader of Judah’s house, in every matter concerning the king. The Levites will serve you as officers. Be strong and act, and may the LORD be with those who do good.”|Keep differentiated responsibilities and the closing wish.
20:1|After this, the Moabites and Ammonites, with some of the Ammonites, came to wage war against Jehoshaphat.|Retain the repeated people name in the pinned text; note the alternative Meunites.
20:2|Messengers told Jehoshaphat, “A vast crowd is coming against you from beyond the sea, from Aram. They are already at Hazazon-tamar”—that is, En-gedi.|Retain Aram despite geographic difficulty and preserve the narrator’s gloss.
20:3|Jehoshaphat was afraid. He set himself to seek the LORD and proclaimed a fast throughout Judah.|Keep fear before the deliberate response.
20:4|Judah gathered to seek help from the LORD. They came from every town in Judah to seek the LORD.|Retain repeated seeking and every-town participation.
20:5|Jehoshaphat stood in the assembly of Judah and Jerusalem at the LORD’s house, in front of the new courtyard.|Locate the royal prayer precisely.
20:6|He said, “LORD, our ancestors’ God, are you not God in heaven? You rule all the nations’ kingdoms. Power and might are in your hand, and no one can stand against you.|Preserve the opening question and hand image.
20:7|Our God, did you not drive out this land’s inhabitants before your people Israel and give it forever to the offspring of Abraham, who loved you?|Retain dispossession and the active sense of Abraham’s loving.
20:8|They lived in it and built you a sanctuary for your name, saying,|Connect settlement, sanctuary and quoted prayer.
20:9|‘If disaster comes upon us—the sword of judgment, plague, or famine—we will stand before this house and before you, for your name is in this house. We will cry to you in our distress, and you will hear and save.’|Keep the temple-prayer connection and difficult sword phrase.
20:10|“Now look at Ammon, Moab, and Mount Seir. You did not let Israel invade them when Israel came from Egypt. Israel turned away and did not destroy them.|Preserve all three peoples and the remembered restraint.
20:11|See how they repay us: they come to drive us from the inheritance you gave us to possess!|Keep the accusation as Jehoshaphat’s appeal.
20:12|Our God, will you not judge them? We have no strength against this vast crowd coming against us. We do not know what to do, but our eyes are on you.”|Retain confessed powerlessness and the eyes image.
20:13|All Judah stood before the LORD, including their little ones, wives, and sons.|Keep the specifically named participants visible.
20:14|In the middle of the assembly, the LORD’s Spirit came upon Jahaziel son of Zechariah, son of Benaiah, son of Jeiel, son of Mattaniah, a Levite descended from Asaph.|Retain the complete ancestry and setting of the prophetic speech.
20:15|He said, “Listen, all Judah, people of Jerusalem, and King Jehoshaphat! The LORD says to you: Do not be afraid or dismayed by this vast crowd. The battle belongs to God, not to you.|Preserve the addressees and ownership contrast.
20:16|Tomorrow go down against them. They are coming up the Ascent of Ziz, and you will find them at the end of the wadi facing the wilderness of Jeruel.|Keep the route and three geographic terms.
20:17|You will not need to fight in this battle. Take your positions, stand, and see the LORD’s salvation for you, Judah and Jerusalem. Do not be afraid or dismayed. Go out to meet them tomorrow, and the LORD will be with you.”|Retain the specific battle setting and repeated commands.
20:18|Jehoshaphat bowed with his face to the ground. All Judah and Jerusalem’s inhabitants fell before the LORD to worship him.|Keep king and people’s embodied response.
20:19|The Levites from the Kohathites and Korahites stood up to praise the LORD, Israel’s God, with very loud voices.|Retain both Levitical groups and volume.
20:20|Early the next morning they went out to Tekoa’s wilderness. As they left, Jehoshaphat stood and said, “Listen to me, Judah and people of Jerusalem! Trust the LORD your God, and you will stand firm. Trust his prophets, and you will succeed.”|Preserve repeated trust and its wordplay with firmness.
20:21|After consulting the people, he appointed singers to the LORD, praising in holy splendor as they went ahead of the armed troops. They sang, “Give thanks to the LORD, for his faithful love lasts forever.”|Keep consultation, procession and refrain without adding unspecified garments.
20:22|As they began their shouts of joy and praise, the LORD set ambushes against Ammon, Moab, and Mount Seir, who had come against Judah, and they were defeated.|Leave the ambushers unidentified while retaining the divine action.
20:23|Ammon and Moab rose against Mount Seir’s inhabitants to devote them to destruction and wipe them out. When they had finished with Seir’s inhabitants, they helped destroy one another.|Keep the annihilation language and mutual destruction.
20:24|Judah reached the lookout over the wilderness and looked toward the crowd. There lay corpses on the ground; no one had escaped.|Retain the total death claim and Judah’s observation.
20:25|Jehoshaphat and his people came to take the plunder. They found great quantities of possessions, corpses, and valuable objects. They stripped off more than they could carry. They spent three days taking plunder, because there was so much.|Retain corpses amid the difficult inventory and the three-day duration.
20:26|On the fourth day they assembled in the Valley of Beracah, where they blessed the LORD. That is why the place is called the Valley of Beracah to this day.|Keep the naming explanation with blessing wordplay noted.
20:27|Then every man of Judah and Jerusalem returned joyfully to Jerusalem, with Jehoshaphat at their head. The LORD had given them joy over their enemies.|Preserve male army referent and the stated source of joy.
20:28|They entered Jerusalem with harps, lyres, and trumpets and went to the LORD’s house.|Retain all three instruments and destination.
20:29|Dread of God fell on all the kingdoms of the lands when they heard that the LORD had fought against Israel’s enemies.|Keep the widening response and divine warfare claim.
20:30|Jehoshaphat’s kingdom was quiet, for his God had given him rest on every side.|Preserve quiet and surrounding rest as a narrative close.
20:31|Jehoshaphat reigned over Judah. He was thirty-five when he became king and reigned twenty-five years in Jerusalem. His mother was Azubah daughter of Shilhi.|Keep age, reign length and maternal ancestry.
20:32|He followed the way of his father Asa without turning aside, doing what was right in the LORD’s eyes.|Retain the positive evaluation before its qualification.
20:33|Yet the high places remained, and the people still had not set their hearts on their ancestors’ God.|Keep the unresolved qualification despite earlier removals.
20:34|Jehoshaphat’s remaining acts, from first to last, are written in the records of Jehu son of Hanani, which were included in the Book of the Kings of Israel.|Preserve the nested source attribution.
20:35|After this, Jehoshaphat king of Judah joined with Ahaziah king of Israel, who acted wickedly.|Choose Ahaziah as the final clause’s referent while noting possible ambiguity.
20:36|He joined with him to make ships to sail to Tarshish. They built the ships at Ezion-geber.|Retain Tarshish as stated destination without harmonizing Kings.
20:37|Eliezer son of Dodavahu from Mareshah prophesied against Jehoshaphat: “Because you joined with Ahaziah, the LORD has shattered your work.” The ships broke up and could not sail to Tarshish.|Keep the prophet’s full name and the shared shattering image.
