24:1|Jesus was leaving the temple when his disciples came over to show him its buildings.|Connects the participial departure to the disciples’ approach in one natural sentence.
27:55|Many women were there, watching from a distance. They had followed Jesus from Galilee and cared for him.|Retains the women’s continued presence and prior service.
27:56|Among them were Mary Magdalene, Mary the mother of James and Joseph, and the mother of Zebedee’s sons.|Preserves all three identifications without supplying the third woman’s name.
27:57|When evening came, a rich man from Arimathea named Joseph arrived. He too had become a disciple of Jesus.|Retains wealth, origin, and discipleship without importing council membership.
27:58|He went to Pilate and asked for Jesus’ body. Pilate ordered it to be given to him.|Preserves the request and the governor’s authorization.
27:59|Joseph took the body and wrapped it in a clean linen cloth.|Keeps the specified material and cleanness.
27:60|He laid it in his own new tomb, which he had cut into the rock. Then he rolled a large stone across the entrance and left.|Retains ownership, newness, rock cutting, and closure.
27:61|Mary Magdalene and the other Mary were there, sitting opposite the tomb.|Preserves the two witnesses and their position.
27:62|The next day, the day after Preparation, the chief priests and Pharisees gathered before Pilate.|Retains Matthew’s calendar phrasing and the changed group of authorities.
27:63|“Sir,” they said, “we remember that while that deceiver was still alive, he said, ‘After three days I will be raised.’|Keeps deceiver inside their accusation and preserves the quoted prediction.
27:64|So order the tomb to be secured until the third day. Otherwise his disciples may come and steal him, then tell the people, ‘He has been raised from the dead.’ This last deception would be worse than the first.”|Retains their feared scenario as a claim, not narrator fact.
27:65|Pilate told them, “You have a guard. Go and secure it as best you know how.”|Preserves the ambiguous have-a-guard wording; imperative alternative goes in a note.
27:66|They went and secured the tomb, sealing the stone and posting the guard.|Makes the securing actions readable without elaborating the seal’s physical form.
28:1|After the Sabbath, as the first day of the week was dawning, Mary Magdalene and the other Mary came to see the tomb.|Preserves Matthew’s two named visitors and stated purpose without importing spices.
28:2|Suddenly there was a great earthquake, for an angel of the Lord descended from heaven, came to the tomb, rolled away the stone, and sat on it.|Retains the causal connection and the angel’s actions without claiming the stone released Jesus.
28:3|His appearance was like lightning, and his clothing was white as snow.|Preserves both similes without specifying human ethnicity.
28:4|The guards shook with fear of him and became like dead men.|Retains the fear response and death comparison.
28:5|The angel said to the women, “Do not be afraid. I know you are looking for Jesus, who was crucified.|Keeps reassurance addressed to the women and identifies the crucified Jesus.
28:6|He is not here; he has been raised, just as he said. Come and see the place where he lay.|Preserves passive raised and the invitation to inspect the empty place.
28:7|Then go quickly and tell his disciples, ‘He has been raised from the dead and is going ahead of you into Galilee. You will see him there.’ Remember, I have told you.”|Retains the commission, place, promised sight, and angel’s closing reminder.
28:8|They quickly left the tomb, afraid yet filled with great joy, and ran to tell his disciples.|Preserves simultaneous fear and joy and the women’s urgent action.
28:9|Suddenly Jesus met them. “Greetings!” he said. They came to him, took hold of his feet, and worshiped him.|Retains the physical encounter, greeting, and worship action.
28:10|Then Jesus told them, “Do not be afraid. Go and tell my brothers to leave for Galilee. They will see me there.”|Retains brothers for the disciple-directed message without expanding its referent here.
28:11|While the women were on their way, some of the guard went into the city and reported everything that had happened to the chief priests.|Clarifies the concurrent movements and keeps some rather than all guards.
28:12|The chief priests met with the elders and devised a plan. They gave the soldiers a large sum of money|Preserves the planning and payment before the quoted instruction.
28:13|and told them, “Say, ‘His disciples came at night and stole him while we were asleep.’|Keeps the theft account explicitly within the instructed false report.
28:14|If the governor hears about this, we will persuade him and keep you out of trouble.”|Renders freedom-from-anxiety idiom naturally in the threatened official consequences.
28:15|The soldiers took the money and did as they were instructed. This story has circulated among the Jews to this day.|Preserves the narrator’s report without implying agreement by every Jewish person.
28:16|The eleven disciples went to Galilee, to the mountain Jesus had appointed for them.|Retains eleven, location, and prior direction without naming the mountain.
28:17|When they saw him, they worshiped him, but some hesitated.|Renders distazō as hesitation while retaining the tension alongside worship.
28:18|Jesus came to them and said, “All authority in heaven and on earth has been given to me.|Preserves the comprehensive authority and passive gift.
28:19|So go and make disciples of all nations, baptizing them into the name of the Father and of the Son and of the Holy Spirit,|Keeps disciple-making central, all nations, singular name, and the threefold baptismal expression.
28:20|and teaching them to keep everything I have commanded you. And remember, I am with you every day, to the end of the age.”|Preserves obedience-oriented teaching, continuing presence, and the age rather than the world’s destruction.
