1:1|Long ago, God spoke to our ancestors through the prophets in many portions and in many ways.|Preserves the paired diversity of earlier revelation and ancestral audience.
11:25|He chose to suffer mistreatment with God's people rather than enjoy sin's temporary pleasure.|Retains chosen affliction and brief pleasure.
11:26|He considered disgrace for the Christ greater wealth than Egypt's treasures, because he was looking toward the reward.|Keeps surprising Christ reference and economic comparison.
11:27|By faith he left Egypt, not fearing the king's anger, for he persevered as though seeing the invisible one.|Preserves departure, royal rage and paradoxical sight.
11:28|By faith he kept the Passover and the sprinkling of blood, so that the destroyer of the firstborn would not touch them.|Keeps named feast, blood and lethal threat.
11:29|By faith they crossed the Red Sea as on dry land; when the Egyptians attempted it, they were swallowed up.|Retains named sea, miracle and drowning.
11:30|By faith Jericho's walls fell after being encircled for seven days.|Keeps place, walls and exact duration.
11:31|By faith Rahab the prostitute did not perish with those who disobeyed, because she welcomed the spies in peace.|Keeps name, stigmatized occupation and protective reception.
11:32|And what more should I say? Time would fail me if I told about Gideon, Barak, Samson, Jephthah, David, Samuel and the prophets.|Preserves all six names and rhetorical compression.
11:33|Through faith they conquered kingdoms, practiced justice, obtained promises and shut lions' mouths.|Keeps military, ethical, promissory and animal actions.
11:34|They quenched raging fire, escaped the edge of the sword, gained strength from weakness, became mighty in war and put foreign armies to flight.|Retains fire, lethal weapon, reversal and battle violence.
11:35|Women received their dead back by resurrection. Others were tortured, refusing release so that they might obtain a better resurrection.|Keeps women as agents/recipients, torture and chosen nonrelease.
11:36|Others experienced mockery and flogging, and even chains and imprisonment.|Preserves all public and custodial abuse.
11:37|They were stoned, sawn in two and killed by the sword. They went about in sheepskins and goatskins, destitute, afflicted and mistreated—|Keeps graphic killings, clothing and three forms of deprivation.
11:38|the world was not worthy of them—wandering in deserts, mountains, caves and holes in the ground.|Retains evaluative reversal and every refuge.
11:39|All these were approved through their faith, yet they did not receive the promise,|Keeps testimony and delayed fulfillment.
11:40|because God had provided something better for us, so that they would not be perfected without us.|Preserves intergenerational completion and inclusion.
12:1|Therefore, since we too are surrounded by such a great cloud of witnesses, let us lay aside every weight and the sin that so easily entangles us, and run with endurance the race set before us,|Keeps crowd, encumbrance and race imagery.
12:2|fixing our eyes on Jesus, the pioneer and perfecter of faith. For the joy set before him, he endured a cross, despising its shame, and sat down at the right hand of God's throne.|Preserves cross as shameful execution, joy and enthronement.
12:3|Consider the one who endured such hostility from sinners against himself, so that you do not grow weary and lose heart.|Keeps hostile contradiction and inner exhaustion.
12:4|In struggling against sin, you have not yet resisted to the point of shedding blood.|Retains combat image and lethal limit.
12:5|And you have forgotten the encouragement that addresses you as sons: “My son, do not make light of the Lord's discipline or give up when he corrects you,|Keeps masculine filial quotation and correction.
12:6|for the Lord disciplines the one he loves and flogs every son he receives.”|Retains corporal violence in the source's parental analogy.
12:7|Endure for discipline. God is treating you as sons, for what son is not disciplined by his father?|Keeps gendered family argument and endurance.
12:8|But if you are without discipline, in which all sons share, then you are illegitimate children and not sons.|Preserves stigmatizing legitimacy language rather than sanitizing it.
12:9|Furthermore, we had human fathers who disciplined us, and we respected them. Should we not much more submit to the Father of spirits and live?|Keeps father comparison, submission and life.
12:10|They disciplined us for a short time as seemed best to them, but God disciplines us for our benefit, so that we may share his holiness.|Retains human fallibility contrast and intended participation.
12:11|No discipline seems joyful at the time, but painful. Later, however, it yields the peaceful fruit of righteousness to those trained by it.|Keeps pain, training and fruit.
12:12|Therefore, strengthen drooping hands and weakened knees,|Preserves bodily exhaustion and restoration.
12:13|and make straight paths for your feet, so that what is lame may not be dislocated but healed instead.|Keeps path, disability and healing imagery.
12:14|Pursue peace with everyone, and holiness, without which no one will see the Lord.|Retains universal peace and necessary holiness.
12:15|Watch carefully that no one falls short of God's grace and that no root of bitterness grows up to cause trouble and defile many.|Keeps communal oversight, root and spreading contamination.
12:16|See that no one is sexually immoral or profane like Esau, who sold his own birthright for one meal.|Preserves named example, birthright and exact price.
12:17|For you know that afterward, when he wanted to inherit the blessing, he was rejected. He found no opportunity for a change of mind, though he sought the blessing with tears.|Keeps rejection, ambiguous repentance/change and grief.
12:18|For you have not come to something that can be touched, to blazing fire, darkness, gloom and storm,|Retains tangible mountain and four terrifying phenomena.
12:19|to a trumpet blast and a voice whose words made the hearers beg that no further message be spoken to them.|Keeps sound and fearful refusal.
12:20|For they could not bear the command, “Even if an animal touches the mountain, it must be stoned.”|Preserves animal death and mountain boundary.
12:21|The sight was so terrifying that Moses said, “I am terrified and trembling.”|Keeps named Moses and doubled fear.
12:22|But you have come to Mount Zion, the city of the living God, the heavenly Jerusalem, and tens of thousands of angels in joyful assembly,|Retains all place names, innumerable angels and festal gathering.
12:23|to the assembly of the firstborn enrolled in heaven, to God the judge of all and to the spirits of righteous people made perfect,|Keeps heavenly registry, universal judge and perfected spirits.
12:24|to Jesus, mediator of a new covenant, and to sprinkled blood that speaks better than Abel's blood.|Preserves mediator, ritual blood and named comparison.
12:25|See that you do not refuse the one who speaks. If they did not escape when they refused the one who warned them on earth, how much less will we if we turn away from the one who warns from heaven?|Keeps earth/heaven escalation and communal warning.
12:26|At that time his voice shook the earth, but now he has promised, “Once more I will shake not only the earth but also heaven.”|Retains past quake, future promise and cosmic scope.
12:27|The words “once more” indicate the removal of what can be shaken—that is, created things—so that what cannot be shaken may remain.|Keeps interpretive conclusion and creation's removal.
12:28|Therefore, since we are receiving an unshakable kingdom, let us be grateful and in this way worship God acceptably with reverence and awe,|Preserves kingdom, gratitude and fearful worship.
12:29|for our God is a consuming fire.|Keeps the stark fire image.
13:1|Let family love continue.|Retains sibling-love term and ongoing command.
13:2|Do not neglect hospitality, for through it some have welcomed angels without knowing it.|Keeps stranger-love and hidden angelic visitors.
13:3|Remember those in prison as though imprisoned with them, and those being mistreated as people who are yourselves in a body.|Preserves embodied solidarity with incarceration and abuse.
13:4|Let marriage be honored by everyone and the marriage bed kept undefiled, for God will judge the sexually immoral and adulterers.|Keeps public honor, sexual integrity and judgment.
13:5|Keep your life free from love of money, and be content with what you have, for he has said, “I will never leave you and never abandon you.”|Preserves economic warning and emphatic promise.
13:6|So we may say with confidence, “The Lord is my helper; I will not be afraid. What can a human being do to me?”|Keeps courage, divine aid and rhetorical question.
13:7|Remember your leaders who spoke God's word to you. Consider the outcome of their way of life and imitate their faith.|Retains former leaders, life outcome and imitation.
13:8|Jesus Christ is the same yesterday, today and forever.|Preserves threefold temporal constancy.
13:9|Do not be carried away by various strange teachings. It is good for the heart to be strengthened by grace, not by foods that have not benefited those who follow such practices.|Keeps movement image, heart and ineffective food regulations.
13:10|We have an altar from which those who serve at the tent have no right to eat.|Preserves cultic exclusion and right.
13:11|The bodies of the animals whose blood is brought into the holy place by the high priest as an offering for sin are burned outside the camp.|Keeps animal bodies, blood and spatial exclusion.
13:12|Therefore Jesus also suffered outside the city gate in order to make the people holy through his own blood.|Retains execution suffering, location and blood.
13:13|So let us go out to him outside the camp, bearing his disgrace.|Keeps spatial solidarity and shame.
13:14|For here we have no lasting city, but we seek the one to come.|Preserves unsettled present and future city.
13:15|Through Jesus, then, let us continually offer God a sacrifice of praise—the fruit of lips that confess his name.|Keeps sacrificial metaphor and lip-fruit explanation.
13:16|Do not neglect doing good and sharing, for God is pleased with such sacrifices.|Retains practical sacrifices and divine pleasure.
13:17|Obey your leaders and yield to them, for they keep watch over your lives as those who will give an account. Let them do this with joy and not groaning, for that would be unprofitable for you.|Keeps authority, leaders' accountability and community effect.
13:18|Pray for us, for we are convinced that we have a good conscience and desire to conduct ourselves honorably in everything.|Retains prayer request, conscience and intention.
13:19|I urge you all the more to do this, so that I may be restored to you soon.|Keeps intensified request and hoped return.
13:20|Now may the God of peace, who brought back from the dead our Lord Jesus, the great shepherd of the sheep, by the blood of the eternal covenant,|Preserves resurrection, shepherd image and covenant blood.
13:21|equip you with every good thing to do his will, working in us what is pleasing before him through Jesus Christ, to whom be glory forever. Amen.|Keeps divine equipping, inward work and doxology.
13:22|I urge you, brothers and sisters, to bear with this word of encouragement, for I have written to you briefly.|Preserves authorial appeal and ironic brevity claim.
13:23|You should know that our brother Timothy has been released. If he comes soon, I will see you with him.|Keeps named Timothy, release and conditional visit.
13:24|Greet all your leaders and all the saints. Those from Italy greet you.|Retains both recipient groups and geographic origin.
13:25|Grace be with all of you.|Preserves inclusive short blessing.
