25:1|The word of the LORD came to me:|Retains the repeated word-event formula.
33:2|“Son of man, speak to your people. Tell them: Suppose I bring a sword against a land, and its people choose a man from among them and appoint him as their watchman.|Keeps divine initiative and chosen male watchman.
33:3|He sees the sword approaching the land, blows the ram’s horn, and warns the people.|Preserves warning sequence and ancient instrument.
33:4|If someone hears the horn but ignores the warning, and the sword comes and takes that person away, their blood will be on their own head.|Keeps blood-accountability image with generic hearer.
33:5|They heard the horn but ignored the warning; their blood will be their own responsibility. Had they heeded the warning, they would have saved their life.|Retains repetition and alternative outcome.
33:6|But if the watchman sees the sword coming and does not blow the horn, so the people receive no warning, and the sword comes and takes a life, that person is taken in their guilt. Yet I will demand their blood from the watchman’s hand.|Preserves both personal guilt and watchman's accountability.
33:7|“You, son of man, I have appointed as a watchman for the house of Israel. Hear the word from my mouth and give them my warning.|Connects image directly to Ezekiel's commission.
33:8|When I tell the wicked, ‘Wicked one, you will surely die,’ and you do not speak to warn them away from their way, that wicked person will die in their guilt. But I will demand their blood from your hand.|Keeps quoted warning and repeated accountability.
33:9|But if you warn the wicked to turn from their way, and they do not turn from it, they will die in their guilt, while you will have saved your own life.|Preserves contrast of response and messenger responsibility.
33:10|“Son of man, tell the house of Israel: You say, ‘Our rebellions and sins weigh on us, and we are wasting away because of them. How can we live?’|Keeps people's despair as direct speech.
33:11|Tell them: As I live, declares the Lord GOD, I take no pleasure in the death of the wicked, but in the wicked turning from their way and living. Turn back, turn back from your evil ways! Why should you die, house of Israel?|Retains oath, doubled invitation and final question.
33:12|“Son of man, tell your people: The righteousness of the righteous will not rescue them when they rebel. The wickedness of the wicked will not bring them down when they turn from it. A righteous person cannot live by past righteousness when they sin.|Keeps all three claims without doctrinal expansion.
33:13|When I tell the righteous that they will surely live, but they trust in their righteousness and do wrong, none of their righteous deeds will be remembered. They will die because of the wrong they have done.|Follows read-form plural deeds and causal conclusion.
33:14|But when I tell the wicked, ‘You will surely die,’ and they turn from their sin and do what is just and right—|Leaves conditional sentence continuing across verse labels.
33:15|returning what was taken as a pledge, repaying what was stolen, and following the statutes that give life without doing wrong—they will surely live. They will not die.|Keeps practical restitution and emphatic survival.
33:16|None of the sins they committed will be remembered against them. They have done what is just and right; they will surely live.|Retains read-form sins and repeated assurance.
33:17|“Yet your people say, ‘The Lord’s way is not fair.’ It is their own way that is not fair.|Preserves accusation and reversed judgment.
33:18|When the righteous turn from their righteousness and do wrong, they will die because of it.|Keeps changed conduct as stated cause.
33:19|When the wicked turn from their wickedness and do what is just and right, they will live because of it.|Maintains parallel reversal of previous verse.
33:20|Yet you say, ‘The Lord’s way is not fair.’ House of Israel, I will judge each of you according to your ways.”|Retains repeated complaint and individual judgment.
33:21|In the twelfth year of our exile, on the fifth day of the tenth month, a fugitive from Jerusalem came to me and said, “The city has fallen!”|Retains pinned twelfth year and exiles' shared perspective.
33:22|The evening before the fugitive arrived, the hand of the LORD had come upon me. He opened my mouth before the man came to me in the morning. My mouth was opened, and I was no longer silent.|Preserves doubled opened-mouth report and timing.
33:23|The word of the LORD came to me:|Marks subsequent oracle.
33:24|“Son of man, the people living in these ruins on Israel’s soil say, ‘Abraham was only one man, yet he possessed the land. We are many; surely the land has been given to us as a possession.’|Keeps their comparison as their own claim.
33:25|Therefore tell them: This is what the Lord GOD says: You eat with the blood, lift your eyes to your idols, and shed blood. Should you possess the land?|Retains blood wording and questioning entitlement.
33:26|You rely on your sword, commit abominations, and each of you defiles his neighbor’s wife. Should you possess the land?|Keeps male marital violation and repeated question.
33:27|Tell them: This is what the Lord GOD says: As I live, those in the ruins will fall by the sword. Those in the open country I have given to the beasts for food. Those in strongholds and caves will die of pestilence.|Preserves three locations and distinct deaths.
33:28|I will make the land a desolate waste and put an end to its proud strength. Israel’s mountains will lie desolate, with no one passing through.|Retains strength/desolation contrast.
33:29|Then they will know that I am the LORD, when I make the land a desolate waste because of all the abominations they committed.|Keeps stated reason and recognition.
33:30|“As for you, son of man, your people talk about you beside the walls and in the doorways. They say to one another, ‘Come and hear the word that comes from the LORD.’|Preserves ordinary gathering places and invitation.
33:31|They come to you as people do, and my people sit before you. They hear your words but do not act on them. Their mouths express love, but their hearts pursue dishonest gain.|Keeps hearing/action contrast and contested love phrase.
33:32|To them you are like a love song, sung with a beautiful voice and skillfully played. They hear your words but do not act on them.|Preserves musical simile and exact behavioral repetition.
33:33|When it comes—and it is coming—they will know that a prophet has been among them.”|Keeps unspecified event and emphatic approach.
34:1|The word of the LORD came to me:|Retains oracle introduction.
34:2|“Son of man, prophesy against Israel’s shepherds. Prophesy and tell them: This is what the Lord GOD says to the shepherds: Woe to the shepherds of Israel who feed themselves! Should shepherds not feed the flock?|Preserves repeated commission and feeding contrast.
34:3|You eat the fat, wear the wool, and slaughter the well-fed animals, but you do not feed the flock.|Follows pinned fat rather than differently vocalized milk.
34:4|You have not strengthened the weak, healed the sick, bound up the injured, brought back the strays, or searched for the lost. Instead you have ruled them with force and cruelty.|Preserves five failed duties and brutal rule.
34:5|They scattered because they had no shepherd. They became food for every wild beast, and they scattered.|Retains repeated scattering.
34:6|My flock wanders over all the mountains and every high hill. My flock is scattered across the whole earth, with no one searching or seeking them.|Keeps my flock repeated and paired search verbs.
34:7|“Therefore, shepherds, hear the word of the LORD!|Retains renewed summons.
34:8|As I live, declares the Lord GOD, my flock has become plunder and food for every wild beast because it has no shepherd. My shepherds did not search for my flock; they fed themselves and did not feed my flock.|Keeps oath and full repeated accusation.
34:9|Therefore, shepherds, hear the word of the LORD!|Retains deliberate repeated summons.
34:10|This is what the Lord GOD says: I am against the shepherds. I will demand my flock from their hands and remove them from tending it. The shepherds will no longer feed themselves. I will rescue my flock from their mouths, so it will no longer be food for them.|Preserves predator-like shepherds and removal from office.
34:11|“For this is what the Lord GOD says: I myself will search for my flock and look after them.|Keeps emphatic divine replacement of shepherds.
34:12|As a shepherd looks after a flock when he is among his scattered sheep, so I will look after my flock. I will rescue them from every place where they were scattered on a day of cloud and thick darkness.|Retains simile and cloud-darkness setting.
34:13|I will bring them out from the peoples, gather them from the lands, and bring them to their own soil. I will feed them on Israel’s mountains, in the ravines, and in all the inhabited places of the land.|Keeps gathering stages and three feeding locations.
34:14|I will feed them in good pasture, and Israel’s high mountains will be their grazing land. There they will lie down in good grazing land and feed on rich pasture on Israel’s mountains.|Preserves repeated good pasture and mountains.
34:15|I myself will feed my flock, and I myself will let them lie down, declares the Lord GOD.|Retains doubled emphatic I.
34:16|I will search for the lost, bring back the strays, bind up the injured, and strengthen the sick. But I will destroy the fat and the strong. I will feed them with justice.|Keeps pinned destroy, not emended protect.
34:17|“As for you, my flock, this is what the Lord GOD says: I will judge between one sheep and another, between rams and male goats.|Preserves judgment within the flock and male animals.
34:18|Is it not enough for you to feed on good pasture? Must you trample what remains? Is it not enough to drink clear water? Must you muddy the rest with your feet?|Unfolds paired rhetorical questions without losing acts.
34:19|Must my flock feed on what your feet have trampled and drink what your feet have muddied?|Preserves repeated feet and victims' plight.
34:20|“Therefore this is what the Lord GOD says to them: I myself will judge between the fat sheep and the lean sheep.|Keeps contrasting animals and divine emphasis.
34:21|You shove with flank and shoulder and butt all the weak with your horns until you have driven them away.|Retains bodily violence within flock.
34:22|So I will save my flock, and they will no longer be plunder. I will judge between one sheep and another.|Keeps rescue and repeated individual judgment.
34:23|I will raise up one shepherd over them, my servant David, and he will feed them. He will feed them and be their shepherd.|Retains one, David and repeated feeding.
34:24|I, the LORD, will be their God, and my servant David will be prince among them. I, the LORD, have spoken.|Keeps God/prince distinction and both divine names.
34:25|“I will make a covenant of peace with them and remove harmful beasts from the land. They will live safely in the wilderness and sleep in the forests.|Retains covenant and concrete outdoor security.
34:26|I will make them and the places around my hill a blessing. I will send rain in its season; there will be showers of blessing.|Preserves blessing repetition and seasonal rain.
34:27|The trees of the field will bear fruit, and the earth will yield its crops. They will live safely on their own soil. Then they will know that I am the LORD, when I break the bars of their yoke and rescue them from those who enslaved them.|Keeps fertility, freedom and yoke imagery.
34:28|They will no longer be plunder for the nations, and the beasts of the earth will not devour them. They will live safely, with no one making them afraid.|Preserves both human and animal threats removed.
34:29|I will provide a planting of renown for them. They will no longer be taken away by famine in the land or bear the disgrace of the nations.|Retains rare planting-of-renown phrase with note.
34:30|Then they will know that I, the LORD their God, am with them, and that they, the house of Israel, are my people, declares the Lord GOD.|Keeps presence and people formula together.
34:31|You are my flock, the flock of my pasture; you are human beings, and I am your God, declares the Lord GOD.”|Preserves explicit interpretation of flock as humans.
35:1|The word of the LORD came to me:|Retains introduction.
35:2|“Son of man, turn your face toward Mount Seir and prophesy against it.|Keeps mountain as target.
35:3|Tell it: This is what the Lord GOD says: I am against you, Mount Seir. I will stretch out my hand against you and make you a desolate waste.|Preserves embodied threat and direct mountain address.
35:4|I will turn your cities into ruins, and you will be desolate. Then you will know that I am the LORD.|Keeps mountain-and-cities distinction.
35:5|Because you held an age-old hostility and handed the Israelites over to the sword at the time of their disaster, at the time of their final punishment,|Retains cause and repeated time clauses.
35:6|as I live, declares the Lord GOD, I will give you over to bloodshed, and bloodshed will pursue you. Since you did not hate bloodshed, bloodshed will pursue you.|Keeps four blood references and repeated pursuit.
35:7|I will make Mount Seir a desolate waste and cut off everyone coming and going.|Retains travel cessation.
35:8|I will fill its mountains with its slain. On your hills, in your valleys, and in all your ravines, those slain by the sword will fall.|Keeps spatial list and person shift.
35:9|I will make you a perpetual waste, and your cities will not be restored. Then you will know that I am the LORD.|Follows read-form return with written habitation noted.
35:10|“You said, ‘These two nations and these two lands will be mine; we will possess them,’ even though the LORD was there.|Preserves double two and divine presence.
35:11|Therefore, as I live, declares the Lord GOD, I will deal with you according to the anger and jealousy you showed in your hatred of them. I will make myself known among them when I judge you.|Keeps among them rather than changing to you.
35:12|Then you will know that I, the LORD, heard all your insults against Israel’s mountains, when you said, ‘They are desolate; they have been given to us to devour.’|Preserves devouring image and heard speech.
35:13|You boasted against me with your mouths and piled up your words against me. I heard it.|Keeps accumulated speech and emphatic hearing.
35:14|“This is what the Lord GOD says: While the whole earth rejoices, I will make you desolate.|Retains temporal contrast, alternative noted.
35:15|As you rejoiced when the house of Israel’s inheritance became desolate, so I will do to you. Mount Seir, you will be desolate, and all Edom with you. Then they will know that I am the LORD.”|Keeps retributive joy/desolation parallel.
36:1|“Son of man, prophesy to Israel’s mountains. Say: Mountains of Israel, hear the word of the LORD!|Connects restored mountains with preceding Seir oracle.
36:2|This is what the Lord GOD says: The enemy said about you, ‘Aha! The ancient heights have become ours to possess.’|Preserves enemy's boast and ancient heights.
36:3|Therefore prophesy and say: This is what the Lord GOD says: Because they ravaged and crushed you from every side, making you a possession for the remaining nations, and because people made you a subject of gossip and slander,|Keeps accumulating reasons across verse boundary.
36:4|therefore, mountains of Israel, hear the word of the Lord GOD! This is what the Lord GOD says to the mountains and hills, ravines and valleys, desolate ruins and abandoned cities that became plunder and a mockery to the remaining nations all around:|Preserves full addressed landscape and both titles.
36:5|This is what the Lord GOD says: In the fire of my jealousy I have spoken against the remaining nations and all Edom, who took my land as their own possession with wholehearted joy and contempt, making its pastureland plunder.|Keeps divine land claim and difficult pasture term.
36:6|Therefore prophesy over Israel’s soil. Tell the mountains and hills, ravines and valleys: This is what the Lord GOD says: I have spoken in my jealousy and fury because you have borne the nations’ disgrace.|Retains repeated landscape and reason for speech.
36:7|Therefore this is what the Lord GOD says: I have raised my hand in an oath: the nations around you will bear their own disgrace.|Makes oath gesture understandable while retaining it.
36:8|“But you, mountains of Israel, will put out branches and bear fruit for my people Israel, for they are coming soon.|Keeps land fertility for approaching people.
36:9|I am for you. I will turn toward you, and you will be tilled and sown.|Preserves reversal from against-you formulas.
36:10|I will multiply people on you, the whole house of Israel, all of it. The cities will be inhabited and the ruins rebuilt.|Keeps emphatic whole-house formulation.
36:11|I will multiply humans and animals on you; they will increase and be fruitful. I will make you inhabited as before and treat you better than at the beginning. Then you will know that I am the LORD.|Preserves animal restoration and better-than-before promise.
36:12|I will bring people to walk on you, my people Israel. They will possess you, and you will be their inheritance. You will never again bereave them of children.|Retains land personification and bereavement.
36:13|“This is what the Lord GOD says: People say to you, ‘You devour human beings and bereave your nations.’|Keeps read-form plural nations and accusation.
36:14|Therefore you will no longer devour human beings or bereave your nations, declares the Lord GOD.|Follows read-form bereave distinct from stumbling.
36:15|I will no longer let you hear the nations’ insults. You will no longer bear the peoples’ taunts or cause your nations to stumble, declares the Lord GOD.”|Preserves stumbling verb rather than harmonizing bereave.
36:16|The word of the LORD came to me:|Marks new explanation.
36:17|“Son of man, when the house of Israel lived on their own soil, they defiled it by their ways and deeds. Their conduct before me was like menstrual uncleanness.|Keeps ritual bodily comparison with explanatory note.
36:18|So I poured out my fury on them for the blood they shed on the land and for defiling it with their idols.|Preserves bloodshed and idols as distinct causes.
36:19|I scattered them among the nations, and they were dispersed through the lands. I judged them according to their ways and deeds.|Keeps conduct as measure of judgment.
36:20|Wherever they went among the nations, they profaned my holy name. People said of them, ‘These are the LORD’s people, yet they had to leave his land.’|Makes quoted reputational consequence explicit.
36:21|But I had concern for my holy name, which the house of Israel profaned among the nations where they went.|Retains divine name as stated concern.
36:22|“Therefore tell the house of Israel: This is what the Lord GOD says: I am acting for the sake of my holy name, which you profaned among the nations where you went—not for your sake, house of Israel.|Keeps explicit negative and positive motive.
36:23|I will show the holiness of my great name, profaned among the nations, which you profaned among them. The nations will know that I am the LORD, declares the Lord GOD, when I show myself holy through you before their eyes.|Retains repeated profanation and international recognition.
36:24|I will take you from the nations, gather you from all the lands, and bring you to your own soil.|Keeps three movements of return.
36:25|I will sprinkle clean water on you, and you will be clean. I will cleanse you from all your uncleanness and all your idols.|Preserves repeated cleansing and concrete sprinkling.
36:26|I will give you a new heart and put a new spirit within you. I will remove the heart of stone from your flesh and give you a heart of flesh.|Keeps both flesh references and new heart/spirit distinction.
36:27|I will put my spirit within you and cause you to follow my statutes, keeping my judgments and carrying them out.|Preserves divine causation and ensuing conduct.
36:28|You will live in the land I gave your ancestors. You will be my people, and I will be your God.|Keeps ancestral land and covenant relationship formula.
36:29|I will save you from all your uncleanness. I will summon the grain and make it abundant, and I will bring no famine upon you.|Retains summoning grain as personified command.
36:30|I will increase the fruit of the trees and the produce of the field, so you will no longer bear the disgrace of famine among the nations.|Keeps two forms of produce and social disgrace.
36:31|Then you will remember your evil ways and your deeds that were not good. You will loathe yourselves for your guilt and your abominations.|Preserves remorse after restoration, not before.
36:32|I am not doing this for your sake, declares the Lord GOD. Know that! Be ashamed and disgraced for your ways, house of Israel.|Retains repeated motive and sharp imperatives.
36:33|“This is what the Lord GOD says: On the day I cleanse you from all your guilt, I will make the cities inhabited and the ruins rebuilt.|Connects cleansing with restored settlement.
36:34|The desolate land will be tilled instead of lying waste before everyone who passes by.|Keeps public visibility of reversal.
36:35|They will say, ‘This desolate land has become like the garden of Eden. The ruined, desolate, demolished cities are fortified and inhabited.’|Retains Eden comparison and three ruin descriptors.
36:36|Then the nations left around you will know that I, the LORD, rebuilt the demolished places and planted what was desolate. I, the LORD, have spoken, and I will do it.|Preserves both divine names and building/planting pair.
36:37|“This is what the Lord GOD says: I will also let the house of Israel ask me to do this for them: I will multiply their people like a flock.|Keeps permitted inquiry and human-flock image.
36:38|Like flocks for holy offerings, like Jerusalem’s flocks at her festivals, the ruined cities will be filled with flocks of people. Then they will know that I am the LORD.”|Preserves sacrificial comparison without adding deaths of people.
37:1|The hand of the LORD came upon me. He brought me out by the spirit of the LORD and set me down in the middle of a valley full of bones.|Keeps both divine names and spirit-mediated vision.
37:2|He led me all around them. There were very many bones across the valley, and they were very dry.|Preserves doubled intensity and circling inspection.
37:3|He asked me, “Son of man, can these bones live?” I answered, “Lord GOD, you know.”|Keeps question and restrained answer.
37:4|Then he told me, “Prophesy over these bones. Say to them, ‘Dry bones, hear the word of the LORD!|Retains direct address to bones.
37:5|This is what the Lord GOD says to these bones: I am bringing breath into you, and you will live.|Uses breath contextually while noting shared spirit word.
37:6|I will put sinews on you, bring flesh upon you, cover you with skin, and put breath into you. You will live, and you will know that I am the LORD.’”|Preserves bodily sequence before life and recognition.
37:7|So I prophesied as I was commanded. As I prophesied, there was a sound—a rattling—and the bones came together, bone to its bone.|Keeps repeated prophesying and matching bones.
37:8|I looked: sinews were on them, flesh had grown, and skin covered them. But there was no breath in them.|Preserves incompleteness after bodily restoration.
37:9|He told me, “Prophesy to the breath. Prophesy, son of man, and say to the breath: This is what the Lord GOD says: Come from the four winds, breath, and breathe into these slain, so they may live.”|Keeps breath/winds wordplay and violent death.
37:10|I prophesied as he commanded me. Breath entered them; they lived and stood on their feet, an immense army.|Preserves three stages and collective strength.
37:11|He told me, “Son of man, these bones are the whole house of Israel. They say, ‘Our bones have dried up, our hope is lost, and we are cut off.’|Retains explicit identification and people's threefold lament.
37:12|Therefore prophesy and tell them: This is what the Lord GOD says: I am opening your graves and bringing you up from them, my people. I will bring you to Israel’s soil.|Keeps grave image even as explanation names return.
37:13|Then you will know that I am the LORD, when I open your graves and bring you up from them, my people.|Retains repetition and my people address.
37:14|I will put my spirit within you, and you will live. I will settle you on your own soil. Then you will know that I, the LORD, have spoken and done it, declares the LORD.”|Keeps spirit distinct in context and repeated divine name.
37:15|The word of the LORD came to me:|Marks new enacted sign.
37:16|“Son of man, take a stick and write on it, ‘For Judah and the Israelites joined to him.’ Then take another stick and write on it, ‘For Joseph—the stick of Ephraim—and all the house of Israel joined to him.’|Preserves full inscriptions and read-form companions.
37:17|Bring them together into one stick, so they become one in your hand.|Keeps repeated oneness and visible hand.
37:18|When your people ask, ‘Will you not tell us what these mean?’|Retains question introducing interpretation.
37:19|tell them: This is what the Lord GOD says: I am taking Joseph’s stick, which is in Ephraim’s hand, and the tribes of Israel joined to him. I will join them to Judah’s stick and make them one stick. They will be one in my hand.|Preserves Joseph/Ephraim relation and divine hand.
37:20|Hold the sticks you have written on before their eyes.|Keeps visible instruction.
37:21|Tell them: This is what the Lord GOD says: I am taking the Israelites from the nations where they have gone. I will gather them from all around and bring them to their own soil.|Preserves gathering and return sequence.
37:22|I will make them one nation in the land, on Israel’s mountains. One king will rule them all. They will no longer be two nations, never again divided into two kingdoms.|Retains one/two contrast and repeated negation.
37:23|They will no longer defile themselves with their idols, detestable things, or any of their rebellions. I will save them from all the places where they have lived and sinned, and I will cleanse them. They will be my people, and I will be their God.|Keeps pinned dwellings rather than emending to backslidings.
37:24|My servant David will be king over them, and they will all have one shepherd. They will follow my judgments, keep my statutes, and carry them out.|Preserves David, one shepherd and conduct.
37:25|They will live in the land I gave my servant Jacob, where your ancestors lived. They, their children, and their children’s children will live there forever, and my servant David will be their prince forever.|Keeps three generations and repeated forever.
37:26|I will make a covenant of peace with them, an everlasting covenant. I will establish them and make them numerous, and I will put my sanctuary among them forever.|Preserves covenant repetition and permanent sanctuary.
37:27|My dwelling will be over them. I will be their God, and they will be my people.|Keeps over-them spatial wording with alternative noted.
37:28|Then the nations will know that I, the LORD, make Israel holy, when my sanctuary is among them forever.”|Retains sanctifying agent and public recognition.
38:1|The word of the LORD came to me:|Marks Gog oracle.
38:2|“Son of man, turn your face toward Gog of the land of Magog, chief prince of Meshech and Tubal. Prophesy against him.|Reads rosh as chief; proper-name alternative noted.
38:3|Say: This is what the Lord GOD says: I am against you, Gog, chief prince of Meshech and Tubal.|Preserves full repeated address.
38:4|I will turn you around, put hooks in your jaws, and bring you out with your whole army—horses and horsemen, all splendidly equipped, a great assembly with large and small shields, all wielding swords.|Keeps divine compulsion and full military inventory.
38:5|Persia, Cush, and Put are with them, all with shield and helmet;|Keeps ancient names without modern identification.
38:6|Gomer with all its troops, Beth-togarmah from the far north with all its troops—many peoples are with you.|Retains troop repetition and northern location.
38:7|“Get ready! Prepare yourself, you and all the companies gathered around you. Be their guard.|Preserves doubled preparation and guard command.
38:8|After many days you will be summoned. In later years you will enter a land recovered from the sword, its people gathered from many peoples onto Israel’s mountains, which had long been desolate. They were brought out from the peoples, and all now live securely.|Keeps temporal distance, recovery and repeated gathering.
38:9|You will advance like a storm, covering the land like a cloud—you, all your troops, and the many peoples with you.|Retains two similes and full invading company.
38:10|“This is what the Lord GOD says: On that day thoughts will rise in your heart, and you will devise an evil plan.|Preserves inward planning and moral judgment.
38:11|You will say, ‘I will go up against a land of unwalled villages. I will attack people at peace, living securely, all without walls, bars, or gates,’|Keeps quoted opportunism and three absent defenses.
38:12|to seize spoil and take plunder, turning your hand against ruins now inhabited and a people gathered from the nations, acquiring livestock and property, living at the navel of the earth.|Preserves navel image and rebuilding context.
38:13|Sheba, Dedan, the merchants of Tarshish, and all its young lions will ask you, ‘Have you come to seize spoil? Have you gathered your company to take plunder, carry off silver and gold, take livestock and property, and seize great spoil?’|Keeps young-lions image and repeated acquisitive questions.
38:14|“Therefore prophesy, son of man. Tell Gog: This is what the Lord GOD says: On that day, when my people Israel live securely, will you not know it?|Follows pinned know rather than an advance variant.
38:15|You will come from your place in the far north, you and many peoples with you, all riding horses, a great assembly and a mighty army.|Keeps ancient cavalry and northern origin.
38:16|You will advance against my people Israel like a cloud covering the land. In later days I will bring you against my land, so the nations may know me when I show myself holy through you before their eyes, Gog.|Retains divine initiative without excusing evil plan.
38:17|“This is what the Lord GOD says: Are you the one I spoke of in former days through my servants, the prophets of Israel, who prophesied in those days for years that I would bring you against them?|Keeps question and unspecified earlier prophets.
38:18|On that day, when Gog comes against Israel’s soil, declares the Lord GOD, my fury will rise in my anger.|Retains divine bodily anger idiom without extra action.
38:19|In my jealousy, in my blazing wrath, I declare: On that day there will surely be a great earthquake on Israel’s soil.|Keeps oath force and definite earthquake.
38:20|The fish of the sea, birds of the sky, beasts of the field, every creature that crawls on the ground, and every human being on the earth will tremble before me. Mountains will be torn down, cliffs will fall, and every wall will collapse to the ground.|Preserves complete creature list and collapse sequence.
38:21|I will summon a sword against him on all my mountains, declares the Lord GOD. Every man’s sword will be against his brother.|Keeps mutual violence and divine summoning.
38:22|I will bring judgment on him with pestilence and bloodshed. I will rain down torrential rain, hailstones, fire, and sulfur on him, his troops, and the many peoples with him.|Preserves all six forms of judgment and recipients.
38:23|I will show my greatness and holiness and make myself known before many nations. Then they will know that I am the LORD.”|Keeps three divine self-disclosures and refrain.
39:1|“Son of man, prophesy against Gog. Say: This is what the Lord GOD says: I am against you, Gog, chief prince of Meshech and Tubal.|Retains address consistent with chapter38.
39:2|I will turn you around and lead you on, bringing you up from the far north onto Israel’s mountains.|Uses provisional lead-on for rare verb, noted.
39:3|I will strike your bow from your left hand and knock your arrows from your right.|Keeps left/right weapon placement.
39:4|You will fall on Israel’s mountains, you and all your troops and the peoples with you. I have given you as food to birds of prey of every kind and to the beasts of the field.|Preserves full company and scavenger imagery.
39:5|You will fall in the open country, for I have spoken, declares the Lord GOD.|Keeps announced fall and speech guarantee.
39:6|I will send fire on Magog and on those who live securely in the coastlands. Then they will know that I am the LORD.|Preserves judgment beyond invading army.
39:7|I will make my holy name known among my people Israel. I will no longer let my holy name be profaned, and the nations will know that I am the LORD, the Holy One in Israel.|Keeps name repetition and in-Israel wording.
39:8|Look, it is coming; it will happen, declares the Lord GOD. This is the day I have spoken of.|Retains arrival emphasis without calendar speculation.
39:9|“The people of Israel’s cities will go out and burn the weapons for fuel—small and large shields, bows and arrows, clubs and spears. They will use them for fires for seven years.|Preserves six weapon types and duration.
39:10|They will not gather wood from the fields or cut it in the forests, because the weapons will fuel their fires. They will plunder those who plundered them and loot those who looted them, declares the Lord GOD.|Keeps doubled reversal and two wood sources.
39:11|“On that day I will give Gog a burial place in Israel, the Valley of the Travelers east of the sea. It will block the travelers’ way. There they will bury Gog and all his multitude and call it the Valley of Hamon-gog.|Preserves traveler wordplay and burial name.
39:12|The house of Israel will spend seven months burying them to cleanse the land.|Keeps months distinct from weapon-burning years.
39:13|All the people of the land will bury them. It will bring them renown on the day I display my glory, declares the Lord GOD.|Retains collective burial and divine glory.
39:14|They will appoint men for continuing work, traveling through the land and, with those passing through, burying those left on its surface to cleanse it. At the end of seven months they will make a search.|Preserves difficult division of workers with note.
39:15|As the travelers pass through the land, anyone who sees a human bone will set up a marker beside it until the buriers bury it in the Valley of Hamon-gog.|Keeps discovery-marker-burial sequence.
39:16|A city will also be named Hamonah. In this way they will cleanse the land.|Retains related city name and cleansing conclusion.
39:17|“Son of man, this is what the Lord GOD says: Tell every kind of bird and every beast of the field: Gather and come! Assemble from all around for the sacrifice I am preparing for you, a great sacrifice on Israel’s mountains. You will eat flesh and drink blood.|Preserves shocking sacrificial invitation to scavengers.
39:18|You will eat the flesh of warriors and drink the blood of the earth’s princes—rams, lambs, male goats, and bulls, all fattened in Bashan.|Keeps human-animal metaphor and all animal types.
39:19|At the sacrifice I prepare for you, you will eat fat until you are full and drink blood until you are drunk.|Retains saturation and drunkenness imagery.
39:20|At my table you will eat your fill of horses and charioteers, warriors and every fighting man, declares the Lord GOD.|Renders collective chariot term as its human personnel.
39:21|“I will display my glory among the nations. All the nations will see the judgment I have carried out and the hand I have laid upon them.|Keeps divine hand and public judgment.
39:22|From that day onward, the house of Israel will know that I am the LORD their God.|Retains continuing recognition.
39:23|The nations will know that the house of Israel went into exile because of their guilt, because they were unfaithful to me. I hid my face from them and gave them into their enemies’ hands, and all of them fell by the sword.|Keeps stated cause, hidden face and absolute wording.
39:24|I dealt with them according to their uncleanness and rebellions, and I hid my face from them.|Retains repeated hidden-face clause.
39:25|“Therefore this is what the Lord GOD says: Now I will restore Jacob’s fortunes and have compassion on the whole house of Israel. I will be jealous for my holy name.|Keeps compassion and name concern together.
39:26|They will bear their disgrace and all the unfaithfulness they showed me, when they live securely on their own soil with no one making them afraid,|Follows bear reading with forget alternative noted.
39:27|when I bring them back from the peoples and gather them from their enemies’ lands, showing myself holy through them before many nations.|Keeps temporal continuation and visible holiness.
39:28|Then they will know that I am the LORD their God, because I sent them into exile among the nations and gathered them to their own soil. I will leave none of them there.|Preserves divine agency in exile and complete return.
39:29|I will no longer hide my face from them, for I will have poured out my spirit on the house of Israel, declares the Lord GOD.”|Keeps face/spirit resolution without added identification.
40:1|In the twenty-fifth year of our exile, at the beginning of the year, on the tenth day of the month, fourteen years after the city fell—on that very day—the hand of the LORD came upon me, and he brought me there.|Keeps all dating relations without selecting disputed festival.
40:2|In visions of God he brought me to the land of Israel and set me on a very high mountain. On its south side was something like a city’s buildings.|Retains visionary likeness and south orientation.
40:3|He brought me there, and I saw a man whose appearance was like bronze. He stood in the gateway with a linen cord and a measuring reed in his hand.|Keeps bronze likeness and two measuring tools.
40:4|The man said to me, “Son of man, look with your eyes, listen with your ears, and pay attention to everything I show you. You were brought here so I could show it to you. Tell the house of Israel everything you see.”|Preserves three attentional commands and reporting purpose.
40:5|A wall surrounded the temple on the outside. The man’s measuring reed was six long cubits, each a cubit and a handbreadth. He measured the wall: one reed thick and one reed high.|Keeps long-cubit definition and both wall measures.
40:6|He came to the east-facing gate, climbed its steps, and measured the gate’s threshold: one reed wide. The other threshold was also one reed wide.|Retains repeated threshold measure; layout uncertain noted.
40:7|Each guardroom was one reed long and one reed wide. Between the guardrooms were five cubits. The threshold beside the gate’s vestibule, on the temple side, was one reed.|Keeps rooms, gaps and inner threshold distinct.
40:8|He measured the gate’s vestibule on the temple side: one reed.|Retains verse despite different following measurement.
40:9|He measured the gate’s vestibule: eight cubits, with its jambs two cubits. The vestibule was on the temple side.|Preserves eight/two rather than harmonizing prior reed.
40:10|The east gate had three guardrooms on each side, all three the same size. The jambs on both sides also had the same measurements.|Retains symmetrical counts and dimensions.
40:11|He measured the gate opening: ten cubits wide. The gate passage was thirteen cubits long.|Keeps distinct ten/thirteen dimensions.
40:12|A barrier one cubit wide stood before the guardrooms on each side. The guardrooms were six cubits on each side.|Retains barrier and room measurements.
